LG_ST_Code,State,LG_DT_Code,District,Pincode,RegistrationDate,EnterpriseName,CommunicationAddress,Activities
24,GUJARAT,668,CHHOTAUDEPUR,391168,29/03/2021,JAY BHOLE ONLINE CENTER,"01, NEAR HIGH SCHOOL, HIGH SCHOOL, 01, 01, CHHOTAUDEPUR","[{""NIC5DigitId"":""63999"",""Description"":""Other information service activities n.e.c.""},{""NIC5DigitId"":""33190"",""Description"":""Repair of other equipment""},{""NIC5DigitId"":""18129"",""Description"":""Other service activities related to printing n.e.c.""}]"
24,GUJARAT,668,CHHOTAUDEPUR,391160,3/10/2022,AGRI,"00, TEKRI FALIYA, TEKRI FALIYA, 00, JETPUR PAVI, JETPUR","[{""NIC5DigitId"":""96098"",""Description"":""General household maintenance activities like grooming of the floor, dusting, cleaning of utensils etc.""}]"
24,GUJARAT,668,CHHOTAUDEPUR,391150,12/11/2020,RAMIZ FARUKBHAI MEMAN,"SANKAL TANKHALA, SANKAL TANKHALA, STATION ROAD, SANKAL TANKHALA, TANKHALA, NASVADI","[{""NIC5DigitId"":""32909"",""Description"":""Manufacture of other articles n.e.c.""}]"
24,GUJARAT,668,CHHOTAUDEPUR,391170,2/4/2024,Shreenathji Hardware and steel co.,"Near kamnath mahadev, Himanshu Panchal, Main Bazar Parsi Falia, Near kamnath mahadev, Kawant, Kawant","[{""NIC5DigitId"":""47521"",""Description"":""Retail sale of building material such as bricks, wood, sanitary equipment""},{""NIC5DigitId"":""47522"",""Description"":""Retail sale of hardware including paints, varnishes and lacquers and do - it - yourself materials and equipments""}]"
24,GUJARAT,668,CHHOTAUDEPUR,391160,14/02/2023,SHRI KEYURBHAI RATHVA,"0, MANDIR FALIYA,, KHANDIYAKUVA, 0, 0, KHANDIYAKUVA","[{""NIC5DigitId"":""09101"",""Description"":""Services incidental to off shore oil extraction""}]"
24,GUJARAT,668,CHHOTAUDEPUR,391170,31/03/2024,BHIL DITYABHAI,"HOUSE NO 1262-44, NR. GAYTRI MANDIR, NR.GAYRI MANDIR, HOUSE NO 1262-44, KAWANT, KAWANT","[{""NIC5DigitId"":""47110"",""Description"":""Retail sale in non-specialized stores with food, beverages or tobacco predominating""},{""NIC5DigitId"":""77305"",""Description"":""Renting and operational leasing of land-transport equipment (other than motor vehicles) without drivers""}]"
24,GUJARAT,668,CHHOTAUDEPUR,391140,29/03/2024,Shah Mahendrakumar,"0, Kosindra, Kosindra, 0, Bodeli, Chhotaudepur","[{""NIC5DigitId"":""46209"",""Description"":""Whole sale of other agriculture raw materials n.e.c.""}]"
24,GUJARAT,668,CHHOTAUDEPUR,391125,24/11/2022,KGN TRANSPORT,"00, KUA FALIYU, OPP GUSIYA MASJID, 00, 00, SANKHEDA","[{""NIC5DigitId"":""49231"",""Description"":""Motorised road freight transport""}]"
24,GUJARAT,668,CHHOTAUDEPUR,391135,10/8/2022,SHREE LAXMI GLASS,"At Alipura, Bodeli, Khodiyar mandir road, At Alipura, Bodeli, Bodeli","[{""NIC5DigitId"":""23101"",""Description"":""Manufacture of glass in primary or semi-manufactured forms (such as sheets & plate glass) including mirror sheets and wired, coloured, tinted, toughened or laminated glass""}]"
24,GUJARAT,668,CHHOTAUDEPUR,391156,1/12/2022,KETUL HASMUKHLAL PANCHOLI,"04,, APMC MARKET, Chhota udepur Highway Road, 04,, 00, Chhota udepur","[{""NIC5DigitId"":""47110"",""Description"":""Retail sale in non-specialized stores with food, beverages or tobacco predominating""}]"
24,GUJARAT,668,CHHOTAUDEPUR,391135,24/08/2022,SHREE SAI GAS AGENCY,"4390, HARIFAI MARKET, BODELI, 4390, 0, BODELI","[{""NIC5DigitId"":""47736"",""Description"":""Retail sale of household fuel oil, bottled gas, coal and fuel wood""}]"
24,GUJARAT,668,CHHOTAUDEPUR,391135,2/2/2022,Anil foods,"1639, Opp.Gajanand 2, Kherva road, 1639, 113/1, Bodeli","[{""NIC5DigitId"":""10711"",""Description"":""Manufacture of bread""},{""NIC5DigitId"":""10712"",""Description"":""Manufacture of biscuits, cakes, pastries, rusks etc.""}]"
24,GUJARAT,668,CHHOTAUDEPUR,391100,3/8/2022,KGN STORE,"NEAR BHAGOL, KGN STORE, SANKHEDA, NEAR BHAGOL, SANKHEDA, CHHOTA UDEPUR","[{""NIC5DigitId"":""47990"",""Description"":""Other retail sale not in stores, stalls or markets""}]"
24,GUJARAT,668,CHHOTAUDEPUR,391145,12/7/2022,Arjunbhai Tadavi,"21, Debarikadhai, Mandir faliya, 21, Po Akakheda, Ta sankheda","[{""NIC5DigitId"":""56292"",""Description"":""Operation of canteens or (e.g. for factories, offices, hospitals or schools) on a concession basis""}]"
24,GUJARAT,668,CHHOTAUDEPUR,391160,12/10/2022,PRIYA VIDEO AND PHOTO STUDIO,"00, BHAKTI FALIYU, BARAVAD PAVI, 00, 00, JETPUR PAVI","[{""NIC5DigitId"":""59112"",""Description"":""Video production""}]"
24,GUJARAT,668,CHHOTAUDEPUR,391160,15/04/2024,SHAH YOGESHKUMAR KANTILAL,"00, TIN BATTI CIRCLE, JETPUR PAVI, 00, 0, JETPUR PAVI","[{""NIC5DigitId"":""56101"",""Description"":""Restaurants without bars""}]"
24,GUJARAT,668,CHHOTAUDEPUR,391170,1/9/2022,YAHA MOGI PHOTO FRAME,"00, YAHA MOGI PHOTO FRAME, NEAR MAMLATDAR OFFICE, 00, 00, KAWANT","[{""NIC5DigitId"":""74209"",""Description"":""Other photographic activities""}]"
24,GUJARAT,668,CHHOTAUDEPUR,391170,7/10/2022,Rang Fastion,"Pancholi Faliya, Kavant, Ghadhi Chok, Pancholi Faliya, 00, Chhotaudepur","[{""NIC5DigitId"":""14101"",""Description"":""Manufacture of all types of textile garments and clothing accessories""}]"
24,GUJARAT,668,CHHOTAUDEPUR,391160,28/02/2023,NITINBHAI RAYSINGBHAI RATHVA,"1, Mandir Fadiya, Devalia, 1, 0, Chhota Udaipur","[{""NIC5DigitId"":""10509"",""Description"":""Manufacture of other dairy products n.e.c.""}]"
24,GUJARAT,668,CHHOTAUDEPUR,391170,12/4/2024,BHAVANI CONTRACTOR,"0, BHAVANI CONTRACTOR, KAVANT ROAD, 0, NEAR BOR, RAISINGPURA","[{""NIC5DigitId"":""43900"",""Description"":""Other specialized construction activities""}]"
24,GUJARAT,668,CHHOTAUDEPUR,391168,30/03/2022,KAMLESHBHAI CHHARYABHAI RATHVA,"00, PATEL FALIYA, BEDIYA, 00, 00, KAWANT","[{""NIC5DigitId"":""49231"",""Description"":""Motorised road freight transport""},{""NIC5DigitId"":""90009"",""Description"":""Other creative arts and and entertainment activities""}]"
24,GUJARAT,668,CHHOTAUDEPUR,391150,23/02/2023,GUJARAT CHASHMA GHAR,"1, KHETIVADI BAJAR MARKET, STATION ROAD NASVADI, 1, APMC MARKET PLACE, NASVADI","[{""NIC5DigitId"":""47190"",""Description"":""Other retail sale in non-specialized stores""}]"
24,GUJARAT,668,CHHOTAUDEPUR,391135,24/03/2022,FAST BODELI NEWS,"00, Diwan Faliya, Diwan Faliya, 00, 1, Bodeli","[{""NIC5DigitId"":""63910"",""Description"":""News agency activities""}]"
24,GUJARAT,668,CHHOTAUDEPUR,391165,25/03/2022,NAVINDRABHAI M DHANAK,"46 LINDI FALIA, KANAVANT, CHHOTAUDEPUR, 46 LINDI FALIA, CHHOTAUDEPUR, CHHOTAUDEPUR","[{""NIC5DigitId"":""43123"",""Description"":""Clearing of building sites, earth moving: excavation, landfill, levelling and grading of construction sites, trench digging, rock removal, blasting etc.""}]"
24,GUJARAT,668,CHHOTAUDEPUR,391165,6/5/2022,SELF BUSINESS,"00, HARIJANVAS, HARIJANVAS, 00, NA, ZOZ","[{""NIC5DigitId"":""01612"",""Description"":""Operation of agricultural irrigation equipment""}]"
24,GUJARAT,668,CHHOTAUDEPUR,391135,4/8/2022,RATHVA DHMANBHAI - LICENCE IS CANCELLATION,"0, PATEL FALIYU, PAVI JETPUR, 0, 0, PAVIJETPUR","[{""NIC5DigitId"":""32909"",""Description"":""Manufacture of other articles n.e.c.""}]"
24,GUJARAT,668,CHHOTAUDEPUR,391165,30/03/2022,Brajkishor kusvaha,"190, Chhotaudepur, Panjarapol, 190, Chhotaudepur, Chhotaudepur","[{""NIC5DigitId"":""56101"",""Description"":""Restaurants without bars""}]"
24,GUJARAT,668,CHHOTAUDEPUR,391165,29/01/2022,RONAK MOTOR GARWEJ,"00, SHOPING CENTERE, PALACE ROAD KHETI BADI BAJAR, 00, 5, CHHOTAUDEPUR","[{""NIC5DigitId"":""45200"",""Description"":""Maintenance and repair of motor vehicles""}]"
24,GUJARAT,668,CHHOTAUDEPUR,391140,3/6/2022,KOLCHA BHARATBHAI JESINGBHAI,"1, JAMBUDI, MORADUNGARI, 1, 0, KAVANT","[{""NIC5DigitId"":""49231"",""Description"":""Motorised road freight transport""}]"
24,GUJARAT,668,CHHOTAUDEPUR,391140,23/11/2021,SHRI GORI JAKIRHUSEN,"NA, THAKOR FALIYU, PANEJ, NA, NA, GHELPUR","[{""NIC5DigitId"":""49219"",""Description"":""Other urban or suburban passenger transport n.e.c.""}]"
24,GUJARAT,668,CHHOTAUDEPUR,391135,18/01/2022,SHAH CHANDRAKANT LAHERCHAND,"B/84, -, HARIFAI MARKET, B/84, -, BODELI","[{""NIC5DigitId"":""46909"",""Description"":""Other non-specialised wholesale trade n.e.c.""},{""NIC5DigitId"":""47990"",""Description"":""Other retail sale not in stores, stalls or markets""}]"
24,GUJARAT,668,CHHOTAUDEPUR,391150,16/02/2022,VISHNUKUMAR RATHAVA,"00, AYODHYANAGAR, OPP PRIMERY SCHOOL, 00, NA, NASVADI","[{""NIC5DigitId"":""47211"",""Description"":""Retail sale of cereals and pulses, tea, coffee, spices and flour""},{""NIC5DigitId"":""49219"",""Description"":""Other urban or suburban passenger transport n.e.c.""}]"
24,GUJARAT,668,CHHOTAUDEPUR,391165,24/03/2022,SHANKAR PROVISION STORE,"00, BUCHIVAV, 00, 00, 00, CHHOTA UDEPUR","[{""NIC5DigitId"":""47219"",""Description"":""Retail sale of other food products n.e.c.""}]"
24,GUJARAT,668,CHHOTAUDEPUR,391160,30/11/2021,DIVY PRIVISION STORE,"859, NANI RASLI ROAD, VAGHVA ROAD, 859, 00, JETPUR","[{""NIC5DigitId"":""47219"",""Description"":""Retail sale of other food products n.e.c.""}]"
24,GUJARAT,668,CHHOTAUDEPUR,391175,15/11/2021,BHIL TELIYABHAI,"00, KHAL FALIYA, KADIPANI, 00, 00, MOGRA","[{""NIC5DigitId"":""49231"",""Description"":""Motorised road freight transport""},{""NIC5DigitId"":""14105"",""Description"":""Custom tailoring""}]"
24,GUJARAT,668,CHHOTAUDEPUR,391135,6/12/2021,LAXMI  PRINTING PRESS,"6, DABHOI ROAD  BODELI, DABHOI ROAD BODELI, 6, 6, BODELI","[{""NIC5DigitId"":""96091"",""Description"":""Social activities such as escort services, marriage bureaus""}]"
24,GUJARAT,668,CHHOTAUDEPUR,391170,30/08/2022,YAHA MOGI AUTO GARAGE,"00, YAHA MOGI AUTO GARAGE, SAIDIVASHAN ROAD, 00, 00, KAWANT","[{""NIC5DigitId"":""45200"",""Description"":""Maintenance and repair of motor vehicles""}]"
