LG_ST_Code,State,LG_DT_Code,District,Pincode,RegistrationDate,EnterpriseName,CommunicationAddress,Activities
24,GUJARAT,445,DOHAD,389180,9/8/2025,CONTRACTOR,"0, NADI FALIYU, LIMDI, 0, KARATH, DAHOD","[{""NIC5DigitId"":""41003"",""Description"":""Assembly and erection of prefabricated constructions on the site""}]"
24,GUJARAT,445,DOHAD,389180,11/8/2025,PARASNATH MULTI TRADE,"SHOP NO 16, NAVKAR COMPLEX, GODHRA ROAD, SHOP NO 16, DAHOD, DAHOD","[{""NIC5DigitId"":""46639"",""Description"":""Wholesale of other construction equipment n.e.c.""}]"
24,GUJARAT,445,DOHAD,389155,11/8/2025,CONTRACTOR,"0, PATA DUNGRI FALIYU, GANGARDI, 0, TUKI VAJU, DAHOD","[{""NIC5DigitId"":""41003"",""Description"":""Assembly and erection of prefabricated constructions on the site""}]"
24,GUJARAT,445,DOHAD,389152,11/8/2025,bharatabhai parmar,"sampura faliya, vijagadh, vijagadh, sampura faliya, vijagadh, dahod","[{""NIC5DigitId"":""30999"",""Description"":""Manufacture of other transport equipments n.e.c. such as pushcarts, handcarts etc""}]"
24,GUJARAT,445,DOHAD,389151,11/8/2025,FARMING,"0, GAMTAL HIMALA, DAHOD, 0, RACHHARDA, DAHOD","[{""NIC5DigitId"":""10614"",""Description"":""Grain milling other than wheat, rice and dal""}]"
24,GUJARAT,445,DOHAD,389180,11/8/2025,FARMAR,"0, KARTHA FALIYU, LIMDI, 0, LIMDI, DAHOD","[{""NIC5DigitId"":""32909"",""Description"":""Manufacture of other articles n.e.c.""}]"
24,GUJARAT,445,DOHAD,389151,11/8/2025,A 2 TRADING,"16/16, SHIV SHAKTI ADIVASI SOC, UKARDI ROAD, 16/16, 1, DELSAR","[{""NIC5DigitId"":""66120"",""Description"":""Security and commodity contracts brokerage""},{""NIC5DigitId"":""71100"",""Description"":""Architectural and engineering activities and related technical consultancy""},{""NIC5DigitId"":""42909"",""Description"":""Other civil engineering projects n.e.c.""}]"
24,GUJARAT,445,DOHAD,389175,11/8/2025,FARMING,"01, RATODA  FALIYU, RATODA FALIYU, 01, JASUNI, SAJELI","[{""NIC5DigitId"":""10509"",""Description"":""Manufacture of other dairy products n.e.c.""}]"
24,GUJARAT,445,DOHAD,389170,11/8/2025,CONTRACTOR,"0, MUNIYA FALIYU, MUNIYA FALIYU, 0, MUNIYA FALIYU, JHALOD","[{""NIC5DigitId"":""41003"",""Description"":""Assembly and erection of prefabricated constructions on the site""}]"
24,GUJARAT,445,DOHAD,389170,11/8/2025,CONTRACTOR,"0, PETPADA FALIYU, PETPADA FALIYU, 0, PETPADA FALIYU, JHALOD","[{""NIC5DigitId"":""41003"",""Description"":""Assembly and erection of prefabricated constructions on the site""}]"
24,GUJARAT,445,DOHAD,389154,11/8/2025,FARMING,"0, PATEL FALIYU, DAHOD, 0, SIMLIYAKHURD, DAHOD","[{""NIC5DigitId"":""10614"",""Description"":""Grain milling other than wheat, rice and dal""}]"
24,GUJARAT,445,DOHAD,389190,11/8/2025,Bariya Mahesh bhai,"0, v, 0, 0, 0, 0","[{""NIC5DigitId"":""49110"",""Description"":""Passenger rail transport""}]"
24,GUJARAT,445,DOHAD,389146,11/8/2025,Jagadish farming,"62, bariya faliyu, ushra road, 62, zerjitgadh, limdi","[{""NIC5DigitId"":""10509"",""Description"":""Manufacture of other dairy products n.e.c.""}]"
24,GUJARAT,445,DOHAD,389180,11/8/2025,SAINATH BULLION REFINERY,"A, GODHRA ROAD, NEAR DABGARWADA NAKA, A, A, JHALOD","[{""NIC5DigitId"":""24205"",""Description"":""Production and refining of precious metals (such as gold, silver platinum etc.) and alloys""}]"
24,GUJARAT,445,DOHAD,389170,12/8/2025,Dindod Dineshkumar,"0, Dindod Faliyu, Dindod Faliyu, 0, 0, Jhalod","[{""NIC5DigitId"":""79120"",""Description"":""Tour operator activities""}]"
24,GUJARAT,445,DOHAD,389175,12/8/2025,Saniya mobile shop,"000, Old sanjeli faliyu mandli, Sanjeli, 000, Sanjeli, Dahod","[{""NIC5DigitId"":""47599"",""Description"":""Retail sale of other household appliances n.e.c. ( security systems, such as locking devices, safes, and vaults, without installation or maintenance services etc. , wooden, cork and wickerwork goods, sewing and knitting machine and other household utensils and durables n.e.c.)""}]"
24,GUJARAT,445,DOHAD,389140,12/8/2025,CONTRACTOR,"32, VELALI FALIYU, VELALI FALIYU, 32, KUNLLI, DAHOD","[{""NIC5DigitId"":""41002"",""Description"":""Activities relating to alteration, addition, repair, maintenance carried out on own-account basis or on a fee or contract basis""}]"
24,GUJARAT,445,DOHAD,389180,12/8/2025,CONTRACTOR,"0, SATI FALIYU, LIMDI, 0, LIMDI, DAHOD","[{""NIC5DigitId"":""41003"",""Description"":""Assembly and erection of prefabricated constructions on the site""}]"
24,GUJARAT,445,DOHAD,389152,12/8/2025,BHURIYA JAYDIPSINH,"Bhuriya Faliyu, Aambali, Dahod, Bhuriya Faliyu, Nandhelav, Dahod","[{""NIC5DigitId"":""96096"",""Description"":""Astrological and spiritualists’ activities""}]"
24,GUJARAT,445,DOHAD,389180,12/8/2025,Labana Shradhhaben Rajendrabhai,"Labana faliyu, Lilavadeva, ..,, Labana faliyu, Dahod, Jhalod","[{""NIC5DigitId"":""56210"",""Description"":""Event catering""}]"
24,GUJARAT,445,DOHAD,389151,12/8/2025,PARMAR NRESHKUMAR MANHARLAL,"196, NANA DABGARWAD, DAHOD, 196, -, DAHOD","[{""NIC5DigitId"":""24202"",""Description"":""Manufacture of Aluminium from alumina and by other methods and products of aluminium and alloys""}]"
24,GUJARAT,445,DOHAD,389180,12/8/2025,CONTRACTOR,"231, DUMKHEDA FALIYU, LIMDI, 231, PAREVA, DAHOD","[{""NIC5DigitId"":""41003"",""Description"":""Assembly and erection of prefabricated constructions on the site""}]"
24,GUJARAT,445,DOHAD,389130,12/8/2025,Farmer,"0, Nishal Faliyu, Randhikpur, 0, Mander, Randhikpur","[{""NIC5DigitId"":""10502"",""Description"":""Manufacture of milk-powder, ice-cream powder and condensed milk except baby milk food""}]"
24,GUJARAT,445,DOHAD,389154,12/8/2025,SAVABHAI RUGABHAI MEDA,"00, SIMALKHEDI FALIYU, SIMALKHEDI FALIYU, 00, 00, KHANGELA","[{""NIC5DigitId"":""43900"",""Description"":""Other specialized construction activities""}]"
24,GUJARAT,445,DOHAD,389350,12/8/2025,MILK BUSNESS & AGRICULTURE,"Tekra faliyu, Nathudi, Rama road, Tekra faliyu, DEVGADH BARIA, DEVGADH BARIA","[{""NIC5DigitId"":""10504"",""Description"":""Manufacture of cream, butter, cheese, curd, ghee, khoya etc.""}]"
24,GUJARAT,445,DOHAD,389151,12/8/2025,RITIK SHESMANI GUPTA,"HAZARIYA FALIYA, HAZARIYA FALIYA, GODHRA ROAD, HAZARIYA FALIYA, DAHOD, DAHOD","[{""NIC5DigitId"":""56292"",""Description"":""Operation of canteens or (e.g. for factories, offices, hospitals or schools) on a concession basis""}]"
24,GUJARAT,445,DOHAD,389175,12/8/2025,KOKILA MEDICAL AND GENERAL STORE,"MILKAT NO.2362, G/F SHOP NO.01, NEAR BHANPUR FATAK, MILKAT NO.2362, SANJELI, SANJELI","[{""NIC5DigitId"":""47721"",""Description"":""Retail sale of pharmaceuticals, medical and orthopaedic goods and toilet articles""}]"
24,GUJARAT,445,DOHAD,389151,12/8/2025,PHONE FIX,"Shop no 2, Near Jalaram Mandir, Mandavav Road, Shop no 2, Dahod, Dahod","[{""NIC5DigitId"":""95210"",""Description"":""Repair of consumer electronics""}]"
24,GUJARAT,445,DOHAD,389154,12/8/2025,farming,"0, VADAKHIYA FALIYU, dahod, 0, VANBHORI dahod, dahod","[{""NIC5DigitId"":""32909"",""Description"":""Manufacture of other articles n.e.c.""}]"
24,GUJARAT,445,DOHAD,389180,12/8/2025,JAI MAHAKALI KIRANA STORE,"Mata faliyu, Khakhakuva, Dahod, Mata faliyu, Dahod, Dahod","[{""NIC5DigitId"":""46305"",""Description"":""Wholesale of edible oils, fats, sugar and processed\/manufactured spices etc.""}]"
24,GUJARAT,445,DOHAD,389180,10/8/2025,CONTRACTOR,"539, KAGALAKHEDI FALIYU, LIMDI, 539, LIMDI, DAHOD","[{""NIC5DigitId"":""41003"",""Description"":""Assembly and erection of prefabricated constructions on the site""}]"
24,GUJARAT,445,DOHAD,389151,10/8/2025,FARMING,"0, MAL FALIYU, DAHOD, 0, MOTI KHARAJ, DAHOD","[{""NIC5DigitId"":""10619"",""Description"":""Other grain milling and processing n.e.c.""}]"
24,GUJARAT,445,DOHAD,389151,10/8/2025,CONTRACTOR,"0, KATIJA FALIYU, DAHOD, 0, DUNGARPUR DAHOD, DAHOD","[{""NIC5DigitId"":""41001"",""Description"":""Construction of buildings carried out on own-account basis or on a fee or contract basis""}]"
24,GUJARAT,445,DOHAD,389140,10/8/2025,CONTRACTOR AND FARMING,"NINAMA FALIYU, NINAMA FALIYU, NINAMA FALIYU, NINAMA FALIYU, MOTA MAL, DAHOD","[{""NIC5DigitId"":""41001"",""Description"":""Construction of buildings carried out on own-account basis or on a fee or contract basis""}]"
24,GUJARAT,445,DOHAD,389154,10/8/2025,CONTRACTOR,"0, BID FALIYU, DAHOD, 0, BORKHEDA, DAHOD","[{""NIC5DigitId"":""41003"",""Description"":""Assembly and erection of prefabricated constructions on the site""}]"
24,GUJARAT,445,DOHAD,389175,10/8/2025,FARMING,"01, SANAGADA FALIYU, SANAGADA FALIYU, 01, PARMAR NA DUGARPUR, SANJELI","[{""NIC5DigitId"":""10509"",""Description"":""Manufacture of other dairy products n.e.c.""}]"
24,GUJARAT,445,DOHAD,389180,8/8/2025,CONTRACTOR,"0, TIMBI FALIYU, TIMBI FALIYU, 0, TIMBI FALIYU, JHALOD","[{""NIC5DigitId"":""41003"",""Description"":""Assembly and erection of prefabricated constructions on the site""}]"
24,GUJARAT,445,DOHAD,389180,8/8/2025,CONTRACTOR,"0, KAGALAKHEDA FALIYU, LIMDI, 0, SIMALIYA, DAHOD","[{""NIC5DigitId"":""41003"",""Description"":""Assembly and erection of prefabricated constructions on the site""}]"
24,GUJARAT,445,DOHAD,389180,8/8/2025,NANABHAI FARMING,"DUDKA FALIYU, KHARVANI, KHARVANI ROAD, DUDKA FALIYU, LIMDI, LIMDI","[{""NIC5DigitId"":""10509"",""Description"":""Manufacture of other dairy products n.e.c.""}]"
24,GUJARAT,445,DOHAD,389151,8/8/2025,Bariya Kirana Store,"00, 00, Dungra Faliyu, 00, 00, Dahod","[{""NIC5DigitId"":""96010"",""Description"":""Washing and (dry-) cleaning of textile and fur products""}]"
24,GUJARAT,445,DOHAD,389172,8/8/2025,FARMER,"001, Nishal faliyu, Sukshar road, 001, Nindhka, Fatepura","[{""NIC5DigitId"":""21003"",""Description"":""Manufacture of `ayurvedic’ or `unani’ pharmaceutical preparation""}]"
24,GUJARAT,445,DOHAD,389151,8/8/2025,CAR SPA,"MISSION 10 QWATER, NEAR OVER BRIDGE GODI ROAD, DAHOD, MISSION 10 QWATER, DAHOD, DAHOD","[{""NIC5DigitId"":""50220"",""Description"":""Inland freight water transport""}]"
24,GUJARAT,445,DOHAD,389190,8/8/2025,Sangada Rakesh,"01, 01, Santrampur road sukhsar, 01, 01, Padaliya","[{""NIC5DigitId"":""10509"",""Description"":""Manufacture of other dairy products n.e.c.""}]"
24,GUJARAT,445,DOHAD,389180,8/8/2025,D N MEN'S FASHION,"D N MEN'S FASHION, D N MEN'S FASHION, DAHOD ROAD, D N MEN'S FASHION, DAHOD ROAD, DAHOD","[{""NIC5DigitId"":""47711"",""Description"":""Retail sale of readymade garments, hosiery goods, other articles of clothing and clothing accessories such as gloves, ties, braces etc.""}]"
24,GUJARAT,445,DOHAD,389154,8/8/2025,CONTRACTORE,"00, 00, SUL FALIYA, 00, 00, DAHOD","[{""NIC5DigitId"":""96098"",""Description"":""General household maintenance activities like grooming of the floor, dusting, cleaning of utensils etc.""}]"
24,GUJARAT,445,DOHAD,389151,8/8/2025,Dhruvisha Kariyana Store,"Gamtal faliyu, Racharda, Main road, Gamtal faliyu, Dahod, Dahod","[{""NIC5DigitId"":""56304"",""Description"":""Mobile beverage vendors""}]"
24,GUJARAT,445,DOHAD,389380,8/8/2025,Chauhan Sanjay Kumar,"0, 0, dhanpur, 0, taramkach, dahod","[{""NIC5DigitId"":""79120"",""Description"":""Tour operator activities""}]"
24,GUJARAT,445,DOHAD,389154,8/8/2025,CONTRACTOR,"0, MATA FALIYU, KHANGELA, 0, VADBARA, DAHOD","[{""NIC5DigitId"":""41003"",""Description"":""Assembly and erection of prefabricated constructions on the site""}]"
24,GUJARAT,445,DOHAD,389151,5/10/2025,Govind Kirana store,"Kadava kotar faliyu, Kadava kotar faliyu Naghrala, Kadava kotar faliyu Naghrala, Kadava kotar faliyu, Dahod, Dahod","[{""NIC5DigitId"":""47110"",""Description"":""Retail sale in non-specialized stores with food, beverages or tobacco predominating""}]"
24,GUJARAT,445,DOHAD,389151,5/10/2025,BARIYA SAVITABEN CHUNIYABHAI,"00, OPPSITE NAYRA PETROLPUMP, GARBADA BHABHRA ROAD, 00, DAHOD, DAHOD","[{""NIC5DigitId"":""47110"",""Description"":""Retail sale in non-specialized stores with food, beverages or tobacco predominating""}]"
