LG_ST_Code,State,LG_DT_Code,District,Pincode,RegistrationDate,EnterpriseName,CommunicationAddress,Activities
24,GUJARAT,447,JAMNAGAR,361004,9/8/2025,MOMAI HOTEL PAN AND COLDRINKS,"BEDI BANDAR RING ROA, JAMNAGAR, JAMNAGAR, BEDI BANDAR RING ROA, JAMNAGAR, JAMNAGAR","[{""NIC5DigitId"":""47230"",""Description"":""Retail sale of tobacco products in specialized stores""}]"
24,GUJARAT,447,JAMNAGAR,361001,9/8/2025,AI KHODIYAR KARUPA,"Plot No.105/B, Ashirwad Deep 4, Kalavad Road, Plot No.105/B, JAMNAGAR, JAMNAGAR","[{""NIC5DigitId"":""47213"",""Description"":""Retail sale of meat, meat products, poultry products, fish, other seafood and products thereof""}]"
24,GUJARAT,447,JAMNAGAR,361001,11/8/2025,BHAVNA DHULIYA,"FIRST FLOOR, ABHAY SHOPING CENTER, OFFICE NO.8, OPP, DSP BANGLOW, FIRST FLOOR, 0, JAMNAGAR","[{""NIC5DigitId"":""64990"",""Description"":""Other financial service activities, except insurance and pension funding activities, n.e.c""}]"
24,GUJARAT,447,JAMNAGAR,361007,11/8/2025,KANCHAVA DHARMENDRASINH,"01, B/H PRATHMIK SCHOOL, JUNA NAGNA, 01, GULABNAGAR, JAMNAGAR","[{""NIC5DigitId"":""10719"",""Description"":""Manufacture of other bakery products n.e.c.""}]"
24,GUJARAT,447,JAMNAGAR,361120,11/8/2025,SHREE RAM BRASS INDUSTRIES,"01, Shree Ram Brass Industries, Down Street, Satvara Pado,, 01, 01, Jamnagar","[{""NIC5DigitId"":""27900"",""Description"":""Manufacture of other electrical equipment""}]"
24,GUJARAT,447,JAMNAGAR,361001,11/8/2025,Aashiyana Cottan,"S18, Juni post, Ranjitsager road, S18, M27, Jamnagar","[{""NIC5DigitId"":""56291"",""Description"":""Activities of food service contractors (e.g. for transportation companies)""}]"
24,GUJARAT,447,JAMNAGAR,361005,11/8/2025,NILKANTH ENGINEERING WORKS,"C-2/35, GIDC, JAMNAGAR, C-2/35, UDHYOGNAGAR, JAMNAGAR","[{""NIC5DigitId"":""28299"",""Description"":""Manufacture of other special-purpose machinery n.e.c.""}]"
24,GUJARAT,447,JAMNAGAR,361250,11/8/2025,ASHIF LAKHA,"-, AT BHADRA, JODIYA ROAD, -, -, JODIYA","[{""NIC5DigitId"":""47190"",""Description"":""Other retail sale in non-specialized stores""}]"
24,GUJARAT,447,JAMNAGAR,361170,11/8/2025,KAMDIYA DINESH PARBATBHAI,"LALPUR, LALPUR, LALPUR, LALPUR, LALPUR, LALPUR","[{""NIC5DigitId"":""47214"",""Description"":""Retail sale of bakery products, dairy products and eggs""},{""NIC5DigitId"":""49231"",""Description"":""Motorised road freight transport""}]"
24,GUJARAT,447,JAMNAGAR,361005,11/8/2025,BLACK SALES AGENCY,"GIDC PHASE-3, PLOT NO - 4423, DARED JAMNAGAR, GIDC PHASE-3, SHOP NO-5, JAMNAGAR","[{""NIC5DigitId"":""47230"",""Description"":""Retail sale of tobacco products in specialized stores""}]"
24,GUJARAT,447,JAMNAGAR,361005,11/8/2025,ROYAL ALLOYS,"ROYAL CROWN, GROUND FLOOR, LALPUR BYPASS, ROYAL CROWN, ., JAMNAGAR","[{""NIC5DigitId"":""16229"",""Description"":""Manufacture of builders' carpentry and joinery n.e.c.""}]"
24,GUJARAT,447,JAMNAGAR,361220,11/8/2025,SPCURTINO (OPC) PRIVATE LIMITED,"C/O PRAVINBHAI, AMARSHIBHA, PLOT VISTAR, C/O PRAVINBHAI, PLOT VISTAR, DHROL","[{""NIC5DigitId"":""46499"",""Description"":""Wholesale of other households goods, n.e.c. [Includes wholesale of household equipment and appliances, n.e.c; photographic equipment, games, toys and sports goods (also includes bicycles, cycle rickshaw, tonga & other non-mechanised vehicles); leather goods and travel accessories; cleaning materials etc.]""}]"
24,GUJARAT,447,JAMNAGAR,361160,11/8/2025,SANGANI SAJAN ASHOKBHAI,"GOKUL NAGAR, KUMBHNATHPARA, PRABHUJI PIPALIYA ROAD, GOKUL NAGAR, NR. SHIVHARI SCHOOL, KALAVAD","[{""NIC5DigitId"":""43219"",""Description"":""Other electrical electrical installation n.e.c.""}]"
24,GUJARAT,447,JAMNAGAR,361001,11/8/2025,SHREE MAHAKALI GAS CERVICE,"DEVBHAI CHOK, MOTA ASHAPURAMA MANDIR, OPP SADA NO 16, DEVBHAI CHOK, DEVBHAI CHOK, JAMNAGAR","[{""NIC5DigitId"":""95299"",""Description"":""Repair of other personal and household goods n.e.c.""}]"
24,GUJARAT,447,JAMNAGAR,361120,11/8/2025,GAYATRI NAKUM,"DHUNVAV, DHUNVAV MAIN ROAD, NA, DHUNVAV, NA, JAMNAGAR","[{""NIC5DigitId"":""96020"",""Description"":""Hairdressing and other beauty treatment""}]"
24,GUJARAT,447,JAMNAGAR,361005,12/8/2025,Parmar Kiranben,"Vrundavan Park 1, Near Mayur Township, Jamnagar, Vrundavan Park 1, Jamnagar, Jamnagar","[{""NIC5DigitId"":""95292"",""Description"":""Repair and alteration of clothing""}]"
24,GUJARAT,447,JAMNAGAR,361210,12/8/2025,REHAN PLASTICE STORE,"REHAN PLASTICE STOR, GANDHI CHOWK, RAJKOT ROAD, REHAN PLASTICE STOR, DHROL, JAMNAGAR","[{""NIC5DigitId"":""47190"",""Description"":""Other retail sale in non-specialized stores""}]"
24,GUJARAT,447,JAMNAGAR,361005,12/8/2025,NEW CHAND PLATERS,"SHED NO.353/4353/5, GIDC SHANKAR TEKRI, UDHYOG NAGAR, SHED NO.353/4353/5, NA, JAMNAGAR","[{""NIC5DigitId"":""28222"",""Description"":""Manufacture of electroplating machinery""}]"
24,GUJARAT,447,JAMNAGAR,361140,12/8/2025,MAAN INFRA,"HOUSE NO. 863, CHORA AREA, KHAMBHALIYA ROAD, HOUSE NO. 863, TAL-JAMNAGAR, JAMNAGAR","[{""NIC5DigitId"":""77100"",""Description"":""Renting and leasing of motor vehicles""},{""NIC5DigitId"":""77303"",""Description"":""Renting and operational leasing of construction and civil-engineering machinery and equipment without operator""},{""NIC5DigitId"":""77305"",""Description"":""Renting and operational leasing of land-transport equipment (other than motor vehicles) without drivers""}]"
24,GUJARAT,447,JAMNAGAR,361001,12/8/2025,AUTO DRIVER,"SENA NAGAR, DHICHDA ROAD, DHICHDA ROAD, SENA NAGAR, NAGAR AREA FORS GAT, JAMNAGAR","[{""NIC5DigitId"":""96096"",""Description"":""Astrological and spiritualists’ activities""}]"
24,GUJARAT,447,JAMNAGAR,361110,12/8/2025,REHMAT FOOTWEAR,"HUSHENI CHOWK, 0, NEAR SHAK MARKET, ALIA, HUSHENI CHOWK, 0, JAMNAGAR","[{""NIC5DigitId"":""47990"",""Description"":""Other retail sale not in stores, stalls or markets""}]"
24,GUJARAT,447,JAMNAGAR,361001,12/8/2025,I P FRUIT COMPANY,"SUBHASH MARKET, OPP ASHAPURA TEMPLE, BESIDE A K M FRUIT,, OPP ASHAPURA TEMPLE,, SUBHASH MARKET, SUBHASH MARKET, JAMNAGAR.","[{""NIC5DigitId"":""46301"",""Description"":""Wholesale of fruits & vegetables""}]"
24,GUJARAT,447,JAMNAGAR,361007,12/8/2025,DAUDIYA RAJUBHAI SHIVLALBHAI,"BLOCK NO 402 E WING, ATTAL RESIDENCY, NR GD SHAH SCHOOL, BLOCK NO 402 E WING, BLOCK NO 402, JAMNGAR","[{""NIC5DigitId"":""96098"",""Description"":""General household maintenance activities like grooming of the floor, dusting, cleaning of utensils etc.""}]"
24,GUJARAT,447,JAMNAGAR,361004,12/8/2025,SUN ENTERPRISE,"483, NEAR BY Udyognagar Sub Post Office, Hirji Mistry Road, 483, GIDC PHASE I, JAMNAGAR","[{""NIC5DigitId"":""28243"",""Description"":""Manufacture of earth-moving machinery (bulldozers, angle-dozers, graders, scrapers, levellers, mechanical shovels, shovel loaders, off-road dumping trucks etc.)""}]"
24,GUJARAT,447,JAMNAGAR,361004,12/8/2025,BAJRANG ENTERPRISE,"RS.NO.1408/P, PLOT NO.56, PATEL ESTATE, JAKAT NAKA CIRCLE, RS.NO.1408/P, STREET NO.2, JAMNAGAR","[{""NIC5DigitId"":""17092"",""Description"":""Manufacture of paper cups, saucers, plates, hoops, cones and other similar products""}]"
24,GUJARAT,447,JAMNAGAR,361006,12/8/2025,VAIBHAV ENTERPRISES,"Flat No.401, Madhav Palace, Jakat Naka Road,, Flat No.401, Nr. Samarpan Circle, Jamnagar","[{""NIC5DigitId"":""41002"",""Description"":""Activities relating to alteration, addition, repair, maintenance carried out on own-account basis or on a fee or contract basis""},{""NIC5DigitId"":""41003"",""Description"":""Assembly and erection of prefabricated constructions on the site""},{""NIC5DigitId"":""43900"",""Description"":""Other specialized construction activities""}]"
24,GUJARAT,447,JAMNAGAR,361005,12/8/2025,BASIL ENTERPRISE,"1,, MARIYAM MANJIL, HANUMAN TEMPLE KISHAN CHOWK, 1,, 1, JAMNAGAR","[{""NIC5DigitId"":""78200"",""Description"":""Temporary employment agency activities""}]"
24,GUJARAT,447,JAMNAGAR,361140,12/8/2025,Shahil Enterprise,"01, 1711, Ambavadi vistar, 01, 01, Moti Khavdi","[{""NIC5DigitId"":""77301"",""Description"":""Renting and operational leasing, without operator, of other machinery and equipment that are generally used as capital goods by industries""}]"
