LG_ST_Code,State,LG_DT_Code,District,Pincode,RegistrationDate,EnterpriseName,CommunicationAddress,Activities
24,GUJARAT,450,KHEDA,387334,9/8/2025,Digital School System,"DAVEPOL, DAVEPOL, NEAR VAIJNATH MAHADEV MANDIR, DAVEPOL, MAHUDHA, MAHUDHA","[{""NIC5DigitId"":""62011"",""Description"":""Writing , modifying, testing of computer program to meet the needs of a particular client excluding web-page designing""}]"
24,GUJARAT,450,KHEDA,387620,9/8/2025,PATHAN SAHILKHAN FARIDKHAN,"GOPALPURA, SARKARI GODOWN NI BAJU MA, KAPADWANJ, GOPALPURA, KAPADWANJ, KAPADWANJ","[{""NIC5DigitId"":""47522"",""Description"":""Retail sale of hardware including paints, varnishes and lacquers and do - it - yourself materials and equipments""}]"
24,GUJARAT,450,KHEDA,387630,9/8/2025,Y S TAILOR,"0, NEAR JANTA BANK, MAIN BAZAR, 0, 0, KATHLAL","[{""NIC5DigitId"":""14105"",""Description"":""Custom tailoring""}]"
24,GUJARAT,450,KHEDA,387130,11/8/2025,SHAH SUDIPKUMAR (HUF),"4, JAY MAHARAJ SHOPPING CENTRE, HALDHARVAS ROAD NENPUR CHOKDI, 4, 4, KHEDA","[{""NIC5DigitId"":""46209"",""Description"":""Whole sale of other agriculture raw materials n.e.c.""}]"
24,GUJARAT,450,KHEDA,387130,11/8/2025,Vegetable Business - Road side wender,"000, HALDARVAS, HALDARVAS, 000, 000, HALDARVAS","[{""NIC5DigitId"":""46301"",""Description"":""Wholesale of fruits & vegetables""}]"
24,GUJARAT,450,KHEDA,388307,11/8/2025,Parmar Kalpeshbhai Dilipbhai,"250, UGAMNU FALIYU, NA, 250, NA, BADHARPURA","[{""NIC5DigitId"":""49231"",""Description"":""Motorised road freight transport""}]"
24,GUJARAT,450,KHEDA,388230,11/8/2025,CHAVDA NARENDRASINH HARISINH,"204, MITHAPURA JESAPURA, MITHAPURA, 204, KHEDA, MITHAPURA","[{""NIC5DigitId"":""10503"",""Description"":""Manufacture of baby milk foods""}]"
24,GUJARAT,450,KHEDA,387640,11/8/2025,ketkistudio,"67, Fagvel, Maharaj na muvada, 67, 45, Fagvel","[{""NIC5DigitId"":""32119"",""Description"":""Manufacture of other articles of gold, silver and other precious and semi precious metal and stone""}]"
24,GUJARAT,450,KHEDA,387370,11/8/2025,ASHOK TRAVELS,"UTTARSANDA, UTTARSANDA, NADIAD UTTARSANDA ROAD, UTTARSANDA, UTTARSANDA, UTTARSANDA","[{""NIC5DigitId"":""79900"",""Description"":""Other reservation service and related activities""}]"
24,GUJARAT,450,KHEDA,387115,11/8/2025,Krishna video & photography,"00, Shaktinagar, Chalali road, 00, 00, Nadiad","[{""NIC5DigitId"":""87900"",""Description"":""Other residential care activities n.e.c.""}]"
