LG_ST_Code,State,LG_DT_Code,District,Pincode,RegistrationDate,EnterpriseName,CommunicationAddress,Activities
24,GUJARAT,438,AHMADABAD,380001,15/04/2026,HIMANSHU M NAYAK,"1395, SALVI NO KHANCHO, KALUPUR, 1395, DHANA SUTHAR POLE, AHMEDABAD","[{""NIC5DigitId"":""32111"",""Description"":""Manufacture of jewellery of gold, silver and other precious or base metal metal clad with precious metals or precious or semi-precious stones, or of combinations of precious metal and precious or semi-precious stones or of other materials""}]"
24,GUJARAT,438,AHMADABAD,382443,15/04/2026,AHAAN STEEL SYNDICATE,"32, MAHECHHA SOCIETY, NEAR ISANPUR BUS STOP, 32, 0, AHMEDABAD","[{""NIC5DigitId"":""46620"",""Description"":""Wholesale of metals and metal ores""},{""NIC5DigitId"":""46699"",""Description"":""Wholesale of metal and non-metal waste and scrap n.e.c.""}]"
24,GUJARAT,438,AHMADABAD,382405,15/04/2026,M.A. CREATION,"GROUND FLOOR,, PLOT NO 4, DEVDIWALA COMPOUND, VATVA ROAD,N'R WAIZMEN PROCESS, GROUND FLOOR,, ., AHMEDABAD","[{""NIC5DigitId"":""14101"",""Description"":""Manufacture of all types of textile garments and clothing accessories""}]"
24,GUJARAT,438,AHMADABAD,380016,15/04/2026,ASHAPURA TEXTILE,"A 311 3RD FLOOR, ABHISHEK 2 COMPLEX, CIVIL HOSPITAL ROAD, A 311 3RD FLOOR, NEAR HARIPURA BUS STAND, AHMEDABAD","[{""NIC5DigitId"":""45401"",""Description"":""Wholesale or retail sale of new motorcycles, mopeds, scooters and three wheelers""}]"
24,GUJARAT,438,AHMADABAD,382418,14/02/2026,VISHWA ENTERPRISE,"B/108, GIRIVAR GALAXY, OPP PETROL PUM, S.V.P RING ROAD, B/108, B, AHMEDABAD","[{""NIC5DigitId"":""27101"",""Description"":""Manufacture of power generators (except battery charging alternators for internal combustion engines), motor generator sets (except turbine generator set units)""}]"
24,GUJARAT,438,AHMADABAD,380051,14/02/2026,PARMAR DILSADBANU TAUSIF,"36, NEAR AAYSA MASJID, VAJALPUR, 36, 36, AHMEDABAD","[{""NIC5DigitId"":""96020"",""Description"":""Hairdressing and other beauty treatment""}]"
24,GUJARAT,438,AHMADABAD,382415,14/02/2026,BHAGVATI KIRANA STORE,"S/13,, RANCHHODRAI PARK, RABARI VASAHAT SOCIETY, S/13,, ODHAV, AHMEDABAD","[{""NIC5DigitId"":""47110"",""Description"":""Retail sale in non-specialized stores with food, beverages or tobacco predominating""}]"
24,GUJARAT,438,AHMADABAD,380015,14/02/2026,OM TRAVELS,"B/2, SURYA APARTMENT, BODAKDEV, B/2, BEHIND MADHAR MILK PALACE, AHMEDABAD","[{""NIC5DigitId"":""49223"",""Description"":""Rental of private cars with driver""},{""NIC5DigitId"":""49224"",""Description"":""Taxi operation""}]"
24,GUJARAT,438,AHMADABAD,386001,14/02/2026,UMANG HANDLOOM,"284, K.K.NAGAR SOCIETY PART 3, PATIDAR CHOWK, 284, PART-3, ahmedabad","[{""NIC5DigitId"":""47510"",""Description"":""Retail sale of textiles in specialized stores""}]"
24,GUJARAT,438,AHMADABAD,382430,14/02/2026,SHREE MAHAKALI ENGINEERING WORKS,"B 17, RADHE KRISHNA IND HUB, KATHWADA BHUVALDI, B 17, 0, AHMEDABAD","[{""NIC5DigitId"":""28132"",""Description"":""Manufacture of other pumps, compressors, taps and valves etc.""}]"
24,GUJARAT,438,AHMADABAD,380023,14/02/2026,SAYRIN GARMENT,"SECOND FLOOR B-216, TEJENDRA ARCADE, RAKHIYAL CROSS ROAD RAKHIYAL, SECOND FLOOR B-216, ., AHMEDABAD","[{""NIC5DigitId"":""13999"",""Description"":""Manufacture of other textiles\/textile products n.e.c.""},{""NIC5DigitId"":""14101"",""Description"":""Manufacture of all types of textile garments and clothing accessories""},{""NIC5DigitId"":""14105"",""Description"":""Custom tailoring""},{""NIC5DigitId"":""14109"",""Description"":""Manufacture of wearing apparel n.e.c.""}]"
24,GUJARAT,438,AHMADABAD,382220,14/02/2026,SHRI CHAMUNDA KATLARI AND HOUSE KEEPING,"OPP NEW POST OFFICE, SHANTINAGAR SOCIETY, BAVLA, OPP NEW POST OFFICE, BAVLA, AHMEDABAD","[{""NIC5DigitId"":""47721"",""Description"":""Retail sale of pharmaceuticals, medical and orthopaedic goods and toilet articles""}]"
24,GUJARAT,438,AHMADABAD,382415,14/02/2026,Retention Labs,"203, MADHAV RESIDENCY, NR , LANGADIIYA HANUMAN MANDIR, VIRAT NAGAR ROAD, 203, D, Ahmedabad","[{""NIC5DigitId"":""62099"",""Description"":""Other information technology and computer service activities n.e.c""},{""NIC5DigitId"":""74109"",""Description"":""Other specialized design activities n.e.c.""},{""NIC5DigitId"":""90009"",""Description"":""Other creative arts and and entertainment activities""}]"
24,GUJARAT,438,AHMADABAD,382340,14/02/2026,JAI MATA DI DRESS,"49, E WARD KUBERNAGAR, NEAR DENA BANK, 49, E WARD, AHMEDABAD","[{""NIC5DigitId"":""13999"",""Description"":""Manufacture of other textiles\/textile products n.e.c.""}]"
24,GUJARAT,438,AHMADABAD,380054,14/02/2026,IMPACT INFOEDGE PRIVATE LIMITED,"OFFICE NO 704, ZION ZI, SINDHUBHAVAN ROAD, OFFICE NO 704, -, Ahmedabad","[{""NIC5DigitId"":""63999"",""Description"":""Other information service activities n.e.c.""}]"
24,GUJARAT,438,AHMADABAD,382140,14/02/2026,VIJAY AMARSANG THAKOR,"00, GROUND FLOOR, RAMPURA, 00, -, RAMPURA","[{""NIC5DigitId"":""78100"",""Description"":""Activities of employment placement agencies""}]"
24,GUJARAT,438,AHMADABAD,382418,14/02/2026,JV SPHERE INFOTECH,"P 502, BLUE IRIS, S P RING ROAD, P 502, OPP. RAF CAMP, VASTRAL","[{""NIC5DigitId"":""62011"",""Description"":""Writing , modifying, testing of computer program to meet the needs of a particular client excluding web-page designing""},{""NIC5DigitId"":""62012"",""Description"":""Web-page designing""},{""NIC5DigitId"":""62013"",""Description"":""Providing software support and maintenance to the clients""}]"
24,GUJARAT,438,AHMADABAD,382418,14/02/2026,MEENAL PATEL,"B 2 Devkrupa, tenament, Vastral, B 2 Devkrupa, Vastral, ahmedabad","[{""NIC5DigitId"":""62099"",""Description"":""Other information technology and computer service activities n.e.c""}]"
24,GUJARAT,438,AHMADABAD,382445,14/02/2026,Deepak enterprise,"2206, Hari Om estate nishane, Vatva gidc, 2206, 2206, Ahmedabad","[{""NIC5DigitId"":""56102"",""Description"":""Cafeterias, fast-food restaurants and other food preparation in market stalls""}]"
