LG_ST_Code,State,LG_DT_Code,District,Pincode,RegistrationDate,EnterpriseName,CommunicationAddress,Activities
24,GUJARAT,439,AMRELI,394107,14/10/2022,Riziya Dayaben Rajkamalbhai,"0, J-102 Welcome Residency Near Shrushti Row house, Sayan Road, 0, 0, Surat","[{""NIC5DigitId"":""14309"",""Description"":""Manufacture of other knitted and crocheted apparel including hosiery""}]"
24,GUJARAT,439,AMRELI,365601,18/02/2022,Om Construction,"66, Harivihar Society, Liliya Road, 66, -, Amreli","[{""NIC5DigitId"":""41001"",""Description"":""Construction of buildings carried out on own-account basis or on a fee or contract basis""}]"
24,GUJARAT,439,AMRELI,365220,18/02/2021,ARJUN INDUSTRIES,"SURVEY NO. 11 P1,, AT: MEMDA,, DAMNAGAR ROAD,, SURVEY NO. 11 P1,, Taluka Lathi, AT: MEMDA,","[{""NIC5DigitId"":""10406"",""Description"":""Manufacture of oil cakes & meals incl. residual products, e.g. Oleostearin,Palmstearin""}]"
24,GUJARAT,439,AMRELI,365601,31/03/2021,DHARTI CEMENT PRODUCT,"-, -, SAVARKUNDLA ROAD, -, -, AMRELI","[{""NIC5DigitId"":""23954"",""Description"":""Manufacture of R.C.C. bricks and blocks""}]"
24,GUJARAT,439,AMRELI,365220,31/03/2021,Sonani Mayurbhai.,"--, Dahithara, Ta- Lathi,, Lathi,, --, --, Amreli","[{""NIC5DigitId"":""32112"",""Description"":""Working of diamonds and other precious and semi-precious stones including the working of industrial quality stones and synthetic or reconstructed precious or semi-precious stones""}]"
24,GUJARAT,439,AMRELI,365650,31/03/2021,Manjulaben Handicrafts,"Plot no. 55, Laljibhai ratnabhai Sheladiya, Near Hanuman Deri, Plot no. 55, Chorapa Vistar, Khambhai","[{""NIC5DigitId"":""90009"",""Description"":""Other creative arts and and entertainment activities""}]"
24,GUJARAT,439,AMRELI,365601,23/12/2021,NAVNIT AUTO CENTRE,"NAVNIT AUTO CENTRE, NAVNIT AUTO CENTRE, NEAR GOPI CINEMA, STATION ROAD, NAVNIT AUTO CENTRE, 1, AMRELI","[{""NIC5DigitId"":""33190"",""Description"":""Repair of other equipment""}]"
24,GUJARAT,439,AMRELI,365601,27/06/2022,FAIRY BEAUTY PARLOUR,"12, LIFE LINE CORNER, MAIN ROAD, 12, MANEKPARA, AMRELI","[{""NIC5DigitId"":""96020"",""Description"":""Hairdressing and other beauty treatment""}]"
24,GUJARAT,439,AMRELI,365601,27/06/2022,SHIV SAKTI INVESTMENT,"FIRST FLOOR, NIKHIL SAREE, TOWER ROAD, FIRST FLOOR, 0, AMRELI","[{""NIC5DigitId"":""66110"",""Description"":""Administration of financial markets""}]"
24,GUJARAT,439,AMRELI,365560,4/9/2022,VAJA NANJIBHAI NARANBHAI,"BHERAI, BHERAI, BHERAI, BHERAI, BHERAI, RAJULA","[{""NIC5DigitId"":""08932"",""Description"":""Salt production by evaporation of sea water or other saline waters""}]"
24,GUJARAT,439,AMRELI,365601,17/08/2022,K K KIRANA STORE,"12, TARVADI ROAD, MINI KASBA, 12, 04, AMRELI","[{""NIC5DigitId"":""56291"",""Description"":""Activities of food service contractors (e.g. for transportation companies)""}]"
