LG_ST_Code,State,LG_DT_Code,District,Pincode,RegistrationDate,EnterpriseName,CommunicationAddress,Activities
24,GUJARAT,440,ANAND,388001,15/04/2021,SHREE MARUTI TAILORS,"D-83, KRISHNA COMPLEX, BORSAD CHOKDI, D-83, GROUND FLOOR, ANAND","[{""NIC5DigitId"":""14105"",""Description"":""Custom tailoring""}]"
24,GUJARAT,440,ANAND,388530,2/6/2021,TRANSPORTATION,"5, KALYANPURA, SAROL ROAD, 5, SAROL, BORSAD","[{""NIC5DigitId"":""49226"",""Description"":""Passenger transport by man- or animal-drawn vehicles""}]"
24,GUJARAT,440,ANAND,388001,2/6/2021,Dineshbhai U Chavda,"Na, Rupapura, Na, Na, Na, Anand","[{""NIC5DigitId"":""49229"",""Description"":""Other non urban passenger land transport n.e.c.""}]"
24,GUJARAT,440,ANAND,388620,21/09/2021,EVA CRYSTALS,"0, PIRAJPUR, NR GAJISHAB PIR NI DARGAH, 0, PIRAJPUR, KHAMBHAT","[{""NIC5DigitId"":""46697"",""Description"":""Wholesale of precious stones""}]"
24,GUJARAT,440,ANAND,387220,14/07/2021,PRAYOSHAM GRUH UDYOG,"MALATAJ DABHOU ROAD, HIGH SCHOOL NI BAJUMA, MALATAJ DABHOU ROAD, MALATAJ DABHOU ROAD, 1, ANAND","[{""NIC5DigitId"":""10799"",""Description"":""Other semi-processed, processed or instant foods n.e.c. except farinaceous products and malted foods and manufacturing activities like manufacture of egg powder, sambar powder etc. (this excludes the activities covered under 10619)""}]"
24,GUJARAT,440,ANAND,388180,11/6/2021,SHRI BHIKHABHAI KHOJA,"KANAVADA ROAD, KANAVADA ROAD, KANAVADA ROAD, KANAVADA ROAD, KANAVADA ROAD, ANAND","[{""NIC5DigitId"":""49231"",""Description"":""Motorised road freight transport""}]"
24,GUJARAT,440,ANAND,388320,9/3/2021,JANTA DUGDHALAY,"0, BARAIYA NO TEKRO, BARAIYA NO TEKRO, 0, ANAND, ANAND","[{""NIC5DigitId"":""32909"",""Description"":""Manufacture of other articles n.e.c.""}]"
24,GUJARAT,440,ANAND,388360,27/09/2021,SHAIKH MANJAR AJIJ,"531, BHALEJ ROAD, BHALEJ ROAD, 531, SADANAPURA, SADANAPURA","[{""NIC5DigitId"":""13991"",""Description"":""Embroidery work and making of laces and fringes""}]"
24,GUJARAT,440,ANAND,388307,22/12/2021,MADHAV PASHU AAHAR,"-, -, RAMDEVJI NA MANDIR PACHAL, -, -, ANAND","[{""NIC5DigitId"":""01620"",""Description"":""Support activities for animal production""}]"
24,GUJARAT,440,ANAND,387240,14/07/2021,BABA SITARAM NASTA HOUSE,"SOJITRA CHOKDI, SOJITRA, ANAND - TARAPUR HIGHWAY, SOJITRA CHOKDI, SOJITRA, SOJITRA","[{""NIC5DigitId"":""56102"",""Description"":""Cafeterias, fast-food restaurants and other food preparation in market stalls""}]"
24,GUJARAT,440,ANAND,388550,24/09/2021,Parmar Vajesinh,"Parmar Vajesinh, BHAVANIPURA, KANKAPURA, Parmar Vajesinh, KANKAPURA, KANKAPURA","[{""NIC5DigitId"":""49229"",""Description"":""Other non urban passenger land transport n.e.c.""}]"
24,GUJARAT,440,ANAND,388120,24/09/2021,NEW GOHEL FOOTWARE,"2, FOOTWEAR BAZAR, NANA BAZAR, 2, 2, V V NAGAR","[{""NIC5DigitId"":""46413"",""Description"":""Wholesale of footwear""}]"
24,GUJARAT,440,ANAND,388205,22/09/2021,JAY DASHAMA COLOUR WORKS,"00, Rampura, Rampura, 00, 00, Post : Dagjipura","[{""NIC5DigitId"":""43303"",""Description"":""Interior and exterior painting, glazing, plastering and decorating of buildings or civil engineering structures""}]"
24,GUJARAT,440,ANAND,388001,28/01/2021,Sami property consultancy,"0, KHAN PALACE, JUNA PADHARIYA, 0, GULISTA SOCIETY, ANAND","[{""NIC5DigitId"":""70200"",""Description"":""Management consultancy activities""}]"
24,GUJARAT,440,ANAND,388001,28/04/2021,R F CONSTRUCTIONS,"A - 309, SANKET TOWER, OPP ANAND LAW COLLEGE, A - 309, A - 309, NEAR GRID, ANAND","[{""NIC5DigitId"":""41001"",""Description"":""Construction of buildings carried out on own-account basis or on a fee or contract basis""},{""NIC5DigitId"":""41002"",""Description"":""Activities relating to alteration, addition, repair, maintenance carried out on own-account basis or on a fee or contract basis""},{""NIC5DigitId"":""42101"",""Description"":""Construction and maintenance of motorways, streets, roads, other vehicular and pedestrian ways, highways, bridges, tunnels and subways""}]"
24,GUJARAT,440,ANAND,387310,30/09/2021,PUNAM CHINESE AND PAV BHAJI,"A8, PANDAV FARM, PANDAV FARM, A8, A8, ANAND","[{""NIC5DigitId"":""56291"",""Description"":""Activities of food service contractors (e.g. for transportation companies)""}]"
24,GUJARAT,440,ANAND,388410,11/12/2021,HEENA D J,"2250, JEDVAPURA, BANDHANI CHOKDI, 2250, 2250, TA-PETLAD","[{""NIC5DigitId"":""59202"",""Description"":""Activities of misic publishing""}]"
24,GUJARAT,440,ANAND,388320,11/4/2022,Jashoda Shravankumar Valand,"5, GOKULDHAM RESIDENCY, VAGHASI, 5, B/H PRATHMIK SHALA, ANAND","[{""NIC5DigitId"":""96020"",""Description"":""Hairdressing and other beauty treatment""}]"
24,GUJARAT,440,ANAND,388001,26/01/2021,Jai Sikotar Ma Provision Store,"00, New Gamdi road, opposite Toran Society, Gamdi, New Gamdi road, 00, 00, Anand","[{""NIC5DigitId"":""56291"",""Description"":""Activities of food service contractors (e.g. for transportation companies)""}]"
24,GUJARAT,440,ANAND,388315,12/12/2021,NEEPA  GIFT AND  ARTICLES,"14, RAGHUVIR TENAMENTS, B/H  VAIBHAV CINEMA, 14, 0, ANAND","[{""NIC5DigitId"":""47190"",""Description"":""Other retail sale in non-specialized stores""},{""NIC5DigitId"":""74909"",""Description"":""Other professional, scientific and technical activities n.e.c.""}]"
24,GUJARAT,440,ANAND,388110,9/2/2022,saiyad kapad center,"indira nagari, indira nagari, hadgood, indira nagari, 11, anand","[{""NIC5DigitId"":""47110"",""Description"":""Retail sale in non-specialized stores with food, beverages or tobacco predominating""}]"
24,GUJARAT,440,ANAND,388001,24/11/2020,DEEPAK M SHAH,"204, STOCKHOLDING, AMBE GOLD, OPP AMUL DAIRY, 204, STOCKHOLDING, ABOVE PATANJALI SUPER STORE, ANAND","[{""NIC5DigitId"":""69201"",""Description"":""Accounting, bookkeeping and auditing activities""}]"
24,GUJARAT,440,ANAND,388325,4/8/2021,KALI CREATION,"6, Amra kunj socity, Karamsad, 6, Vidyanagar, Anand","[{""NIC5DigitId"":""14201"",""Description"":""Manufacture of wearing apparel and clothing accessories made of fur""}]"
24,GUJARAT,440,ANAND,388543,9/2/2022,PRAVIN BHAI ROHIT,"ALARSA, ALARSA, ALARSA, ALARSA, ALARSA, BORSAD","[{""NIC5DigitId"":""49213"",""Description"":""Urban or suburban underground or elevated rillways""}]"
24,GUJARAT,440,ANAND,388001,14/04/2021,DEVANSHI CONSTRUCTION,"A/4, VATSALYA VILLA, 100 FT ROAD, A/4, B/H ZYDUS HOSPITAL, ANAND","[{""NIC5DigitId"":""41002"",""Description"":""Activities relating to alteration, addition, repair, maintenance carried out on own-account basis or on a fee or contract basis""}]"
24,GUJARAT,440,ANAND,388306,7/2/2022,BHAVANI GRUH UDHYOG,"0, BEHIND YEAS WAY BRIDGE, IN VIJAY PLUS MILL, 0, VASAD, VASAD","[{""NIC5DigitId"":""10797"",""Description"":""Manufacture of vitaminised high protein flour, frying of dal and other cereals""}]"
24,GUJARAT,440,ANAND,388610,23/10/2021,GAYATRI KAPAD STORE,"DHUVARAN, DHUVARAN, DHUVARAN, DHUVARAN, KHAMBHAT, DHUVARAN","[{""NIC5DigitId"":""46419"",""Description"":""Wholesale of other clothing items n.e.c.""}]"
24,GUJARAT,440,ANAND,388510,20/10/2021,Chhasatiya Vipulsinh,"KINKHLOD, KINKHLOD, KINKHLOD CHOKDI, KINKHLOD, BORSAD, ANAND","[{""NIC5DigitId"":""50119"",""Description"":""Other sea and coastal water transport n.e.c.""}]"
24,GUJARAT,440,ANAND,388180,20/10/2021,ARJUNKUMR SURABHAI BHARVAD,"180, NAVI JOK, JICHKA, 180, JICHKA, TARAPUR","[{""NIC5DigitId"":""49231"",""Description"":""Motorised road freight transport""}]"
24,GUJARAT,440,ANAND,388001,1/2/2021,M/S SHARDA PHARMA,"00, ZENIL BARI, NR BALIYAKAKA ROAD, 00, NR BALIYA KAKA ROAD, ANAND","[{""NIC5DigitId"":""21001"",""Description"":""Manufacture of medicinal substances used in the manufacture of pharmaceuticals: antibiotics, endocrine products, basic vitamins; opium derivatives; sulpha drugs; serums and plasmas; salicylic acid, its salts and esters; glycosides and vegetable alkaloids; chemically pure suger etc.""}]"
24,GUJARAT,440,ANAND,387001,21/09/2021,SOHEL SCRAP TRADERS,"1378, SOHEL SCRAP T, 1378, SOHEL SCRAP T, MARIDA ROAD, 1378, SOHEL SCRAP T, 1378, NADIAD","[{""NIC5DigitId"":""46699"",""Description"":""Wholesale of metal and non-metal waste and scrap n.e.c.""}]"
24,GUJARAT,440,ANAND,388180,21/09/2021,NUTAN AGRO INDUSTRIES,"L.S. No. 557, Opp. Lakhani weigh bridge, Kanawada Road, L.S. No. 557, 557, Tarapur","[{""NIC5DigitId"":""10612"",""Description"":""Rice milling""}]"
