LG_ST_Code,State,LG_DT_Code,District,Pincode,RegistrationDate,EnterpriseName,CommunicationAddress,Activities
24,GUJARAT,672,ARVALLI,383276,9/8/2025,gidc,"19, Rakhiyal, Ashutoshmahadev, 19, 19, Modasa","[{""NIC5DigitId"":""01463"",""Description"":""Operation of poultry hatcheries""}]"
24,GUJARAT,672,ARVALLI,383245,9/8/2025,Navnit Photography,"FFF5, Neersagar Plaza, Shamlaji road, FFF5, F, Bhiloda","[{""NIC5DigitId"":""59123"",""Description"":""Post production activities of video production""}]"
24,GUJARAT,672,ARVALLI,383345,9/8/2025,Khodiyar sadi center,"78, Danti Faliyu, Danti Faliyu, 78, Malpur, Malpur","[{""NIC5DigitId"":""46411"",""Description"":""Wholesale of textiles, fabrics, yarn, household linen, articles of clothing, floor coverings and tapestry, sports clothes""}]"
24,GUJARAT,672,ARVALLI,383350,11/8/2025,Jalaram Kagan Fotwar,"Vaghpur, Vaghpur, Vaghpur, Vaghpur, Vaghpur, Meghraj","[{""NIC5DigitId"":""96098"",""Description"":""General household maintenance activities like grooming of the floor, dusting, cleaning of utensils etc.""}]"
24,GUJARAT,672,ARVALLI,383340,11/8/2025,FARMING AND CATTLING,"0, BORDI, SATHAMBA ROAD, 0, 0, BAYAD","[{""NIC5DigitId"":""10502"",""Description"":""Manufacture of milk-powder, ice-cream powder and condensed milk except baby milk food""}]"
24,GUJARAT,672,ARVALLI,383317,11/8/2025,SHREE DEV NOVELTY,"shop no 20, ashvmegh complex, modasa to shamlai road, shop no 20, maraidya, maradiya","[{""NIC5DigitId"":""47190"",""Description"":""Other retail sale in non-specialized stores""}]"
24,GUJARAT,672,ARVALLI,383330,12/8/2025,MAHAKAL KIRANA STORE,"MOTIPURA, AMODRA, AMODRA ROAD, MOTIPURA, AMODRA, BAYAD","[{""NIC5DigitId"":""47990"",""Description"":""Other retail sale not in stores, stalls or markets""}]"
24,GUJARAT,672,ARVALLI,383251,12/8/2025,milk,"11, MODIYA FALI, MODIYA FALI, 11, BHILODA, SHAMALAJI","[{""NIC5DigitId"":""96010"",""Description"":""Washing and (dry-) cleaning of textile and fur products""}]"
24,GUJARAT,672,ARVALLI,383350,12/8/2025,MANANKUMAR DINESHBHAI VALAND,"1, Sisodara, Meghraj, 1, 5, Meghraj","[{""NIC5DigitId"":""10504"",""Description"":""Manufacture of cream, butter, cheese, curd, ghee, khoya etc.""}]"
24,GUJARAT,672,ARVALLI,383317,12/8/2025,electrical shop,"000, dadhaliya, dadhaliya, 000, dadhaliya, dadhaliya","[{""NIC5DigitId"":""35202"",""Description"":""Disrtibution and sale of gaseous fuels through mains""}]"
24,GUJARAT,672,ARVALLI,383315,12/8/2025,BHAGYODAY TEA DEPOT,"2, KHADAYATA BORDING, MODASA, 2, MODASA, MODASA","[{""NIC5DigitId"":""47990"",""Description"":""Other retail sale not in stores, stalls or markets""}]"
24,GUJARAT,672,ARVALLI,383350,12/8/2025,PARMAR ALPESHKUMAR DINESHBHAI,"108 K, PARMAR FALIYU, SANGAL, 108 K, SHANGAL, ARVALLI","[{""NIC5DigitId"":""49229"",""Description"":""Other non urban passenger land transport n.e.c.""}]"
24,GUJARAT,672,ARVALLI,383325,12/8/2025,Patel Dhavalkumar,"A, Radodara, Radodara, A, A, Radodara","[{""NIC5DigitId"":""66290"",""Description"":""Other activities auxiliary to insurance and pension funding""}]"
24,GUJARAT,672,ARVALLI,383310,12/8/2025,YUG ENTERPRISE,"236, BRAHMAN FALI, NR.BANK OF BARODA, 236, -, DHANSURA","[{""NIC5DigitId"":""78100"",""Description"":""Activities of employment placement agencies""}]"
24,GUJARAT,672,ARVALLI,383345,12/8/2025,Milk Business Khant Babubhai Amrabhai,"00, Koyaliya, Koyaliya, 00, Koyaliya, Malpur","[{""NIC5DigitId"":""46302"",""Description"":""Wholesale of raw milk & dairy products""}]"
24,GUJARAT,672,ARVALLI,383350,12/8/2025,MILK BUSINESS PATEL LILABEN KANTIBHAI,"IPLODA, IPLODA, PATEL FALI, IPLODA, IPLODA, MEGHRAJ","[{""NIC5DigitId"":""47990"",""Description"":""Other retail sale not in stores, stalls or markets""}]"
24,GUJARAT,672,ARVALLI,383335,8/8/2025,FARMER AND MILK SUPPLY,"VATRAK COLONY, BHEMPODA, BHEMPODA, VATRAK COLONY, BHEMPODA, BHEMPODA","[{""NIC5DigitId"":""01493"",""Description"":""Raising of silk worms, production of silk worm cocoons""}]"
24,GUJARAT,672,ARVALLI,383245,8/8/2025,CONSTRUCTION CONTRACTORS,"417, VANSLI, VANSLI, 417, 00, BHILODA","[{""NIC5DigitId"":""96098"",""Description"":""General household maintenance activities like grooming of the floor, dusting, cleaning of utensils etc.""}]"
24,GUJARAT,672,ARVALLI,383350,8/8/2025,DAMOR MAHENDRBHAI RAMESHBHAI,"1, MEGHRAJ, MEGHRAJ, 1, MEGHRAJ, MEGHRAJ","[{""NIC5DigitId"":""45200"",""Description"":""Maintenance and repair of motor vehicles""}]"
24,GUJARAT,672,ARVALLI,383315,8/8/2025,ARVALLI STEEL FURNITURE,"6, SHYAM ARCADE, MEGHRAJ ROAD, 6, MODASA, MODASA","[{""NIC5DigitId"":""31003"",""Description"":""Manufacture of furniture primarily of metal""}]"
24,GUJARAT,672,ARVALLI,383316,8/8/2025,CHAUHAN MILK DAIRY,"120, CHAUHAN DEVUBEN, Arvlli, 120, Arvlli, Arvlli","[{""NIC5DigitId"":""96091"",""Description"":""Social activities such as escort services, marriage bureaus""},{""NIC5DigitId"":""96098"",""Description"":""General household maintenance activities like grooming of the floor, dusting, cleaning of utensils etc.""}]"
24,GUJARAT,672,ARVALLI,383307,3/10/2025,Jainikkumar Valajibhai Patel,"A, shyamnagar, shyamnagar, A, A, shyamnagar","[{""NIC5DigitId"":""66290"",""Description"":""Other activities auxiliary to insurance and pension funding""}]"
24,GUJARAT,672,ARVALLI,383450,3/10/2025,FARMER AND PASHUPALAN,"00, JUMSAR, JUMSAR, 00, 00, BHILODA","[{""NIC5DigitId"":""10509"",""Description"":""Manufacture of other dairy products n.e.c.""}]"
24,GUJARAT,672,ARVALLI,383315,3/10/2025,Khodiyar Enterprise,"36, Indraprasth Society, Meghraj Road, 36, Modasa, Modasa","[{""NIC5DigitId"":""56210"",""Description"":""Event catering""},{""NIC5DigitId"":""56292"",""Description"":""Operation of canteens or (e.g. for factories, offices, hospitals or schools) on a concession basis""}]"
24,GUJARAT,672,ARVALLI,383315,3/10/2025,VALAND JIMI SHANTIBHAI,"51, AMARDIP SOCIETY, NEAR RTO OFFICE, 51, MODASA, MODASA","[{""NIC5DigitId"":""56302"",""Description"":""Tea\/coffee shops""}]"
24,GUJARAT,672,ARVALLI,383325,6/10/2025,PATEL AASHISHKUMAR RAJESHBHAI,"PATEL VAS, AMBALIYARA, AMBALIYARA, PATEL VAS, BAYAD, BAYAD","[{""NIC5DigitId"":""47591"",""Description"":""Retail sale of household furniture""}]"
24,GUJARAT,672,ARVALLI,383246,6/10/2025,FARMER AND PASHUPAL,"00, BHANMER, BHANMER, 00, 00, BHILODA","[{""NIC5DigitId"":""10509"",""Description"":""Manufacture of other dairy products n.e.c.""}]"
24,GUJARAT,672,ARVALLI,383307,6/10/2025,M.D PARMAR LABOR CONTRACTOR,"00, 00, RAJPUR, 00, 00, RAJPUR","[{""NIC5DigitId"":""74103"",""Description"":""Services of graphic designers""}]"
24,GUJARAT,672,ARVALLI,383325,6/10/2025,ZALA SURESHKUMAR JAVANSINH,"00, DAKHNESVAR, DAKHNESVAR, 00, DAKHNESVAR, BAYAD","[{""NIC5DigitId"":""10799"",""Description"":""Other semi-processed, processed or instant foods n.e.c. except farinaceous products and malted foods and manufacturing activities like manufacture of egg powder, sambar powder etc. (this excludes the activities covered under 10619)""}]"
24,GUJARAT,672,ARVALLI,383335,6/10/2025,Kotval Jashvantbhai,"Juna Viraniya, Juna Viraniya, Juna Viraniya, Juna Viraniya, Juna Viraniya, Malpur","[{""NIC5DigitId"":""33131"",""Description"":""Repair and maintenance of measuring, testing, navigating and control equipment of group 265""},{""NIC5DigitId"":""33132"",""Description"":""Repair and maintenance of irradiation, electromedical and electro theraputic equipmemts of class 2660""},{""NIC5DigitId"":""46303"",""Description"":""Wholesale of meat, fish & eggs""}]"
24,GUJARAT,672,ARVALLI,383350,6/10/2025,VALAND PRIYANKKUMAR,"LIMBODRA, LIMBODRA, LIMBODRA, LIMBODRA, LIMBODRA, MALPUR","[{""NIC5DigitId"":""01462"",""Description"":""Production of eggs""}]"
24,GUJARAT,672,ARVALLI,383315,6/10/2025,Aalishan Enterprise,"D 111, Vande Mataram Bus Port, Bus Station Road, D 111, Modasa, Modasa","[{""NIC5DigitId"":""47890"",""Description"":""Retail sale via stalls and markets of other goods""}]"
24,GUJARAT,672,ARVALLI,383315,6/10/2025,Farmer and milk supply,"Kolikhand, Kolikhand, Kolikhand, Kolikhand, Modasa, Modasa","[{""NIC5DigitId"":""01493"",""Description"":""Raising of silk worms, production of silk worm cocoons""}]"
24,GUJARAT,672,ARVALLI,383325,6/10/2025,Luhariya Gokalbhai Bhimjibhai,"jitapur, Luhariya Gokalbhai Bhimjibhai, bayad, jitapur, bayad, bayad","[{""NIC5DigitId"":""49300"",""Description"":""Transport via pipeline""}]"
24,GUJARAT,672,ARVALLI,383335,6/10/2025,JAY MAA MANDAP DECORATION,"00, RUPNAGAR, BAYAD ROAD, 00, 0, BAYAD","[{""NIC5DigitId"":""47990"",""Description"":""Other retail sale not in stores, stalls or markets""}]"
24,GUJARAT,672,ARVALLI,383315,7/10/2025,Jay Goga,"Mu- Chapra, Vaniyad, Vaniyad Chapra RD, Mu- Chapra, 0, Vaniyad","[{""NIC5DigitId"":""96098"",""Description"":""General household maintenance activities like grooming of the floor, dusting, cleaning of utensils etc.""}]"
24,GUJARAT,672,ARVALLI,383315,7/10/2025,MALLA NASIRBHAI AJIJBHAI,"23, Mirja Park, Dhansura Road,, Mirja Park, Dhansura Road,, 23, Modasa, Modasa","[{""NIC5DigitId"":""47740"",""Description"":""Retail sale of second-hand goods""}]"
24,GUJARAT,672,ARVALLI,383315,7/10/2025,UKAZ ENTERPRISE,"SHOP NO.G/11, ALAP COMPLEX, COLLEGE ROAD, SHOP NO.G/11, 0, MODASA","[{""NIC5DigitId"":""63999"",""Description"":""Other information service activities n.e.c.""}]"
24,GUJARAT,672,ARVALLI,383315,7/10/2025,RUTVIK BHOI,"00, CHANARA BANK, MALPUR ROAD MODASA, 00, MODASA, MODADSA","[{""NIC5DigitId"":""47640"",""Description"":""Retail sale of games and toys in specialized stores""}]"
24,GUJARAT,672,ARVALLI,383315,7/10/2025,RUSHI MEDICAL,"3rd Floor, NEAR MEDI CARE HOSPITAL&ICU, MODASA, 3rd Floor, MODASA, MODASA","[{""NIC5DigitId"":""86201"",""Description"":""Medical practice activities""}]"
24,GUJARAT,672,ARVALLI,383315,7/10/2025,SHREE MAHAKALI AUTO GEREJ,"5, NEAR G.E.B SHAMLAJI ROAD MODASA, SHAMLAJI ROAD MODASA, 5, MODASA, MODASA","[{""NIC5DigitId"":""33150"",""Description"":""Repair of transport equipment, except motor vehicles""}]"
24,GUJARAT,672,ARVALLI,383315,11/9/2025,MILK BUSINESS KATARA BHURABHAI LAXMANBHAI,"JHALODAR, JHALODAR, KATARA FALI, JHALODAR, JHALODAR, MODASA","[{""NIC5DigitId"":""47990"",""Description"":""Other retail sale not in stores, stalls or markets""}]"
24,GUJARAT,672,ARVALLI,383335,11/9/2025,KHANT SURAYABEN,"000, BARNOLI, DHANSURA ROAD, 000, DHANSURA, MODASA","[{""NIC5DigitId"":""01620"",""Description"":""Support activities for animal production""}]"
24,GUJARAT,672,ARVALLI,383350,11/9/2025,TAILOR,"00, DHANDHASAN, DHANDHASAN, 00, 00, BHILODA","[{""NIC5DigitId"":""13131"",""Description"":""Finishing of cotton and blended cotton textiles.""}]"
24,GUJARAT,672,ARVALLI,383310,11/9/2025,VAGHRI NILESHBHAI NATUBHAI,"DHANSURA, DHANSURA, BAYAD, DHANSURA, BAYAD, DHANSURA","[{""NIC5DigitId"":""47212"",""Description"":""Retail sale of fresh or preserved fruit and vegetables""}]"
24,GUJARAT,672,ARVALLI,383310,11/9/2025,Hasmukh bharavad,"00, Saradi, Santipura, 00, 00, Dhansura","[{""NIC5DigitId"":""46302"",""Description"":""Wholesale of raw milk & dairy products""}]"
24,GUJARAT,672,ARVALLI,383310,11/9/2025,VANJARA AJITBHAI SHUBRATI,"Rupan, Rupan, Rupan, Rupan, Dhansura, Dhansura","[{""NIC5DigitId"":""46532"",""Description"":""Wholesale of ploughs, manure spreaders, seeders, harvesters, threshers""}]"
24,GUJARAT,672,ARVALLI,383335,11/9/2025,Milk Business Surmaji Khant,"SAKHWANIYA, SAKHWANIYA, SAKHWANIYA, SAKHWANIYA, SAKHWANIYA, MALPUR","[{""NIC5DigitId"":""46302"",""Description"":""Wholesale of raw milk & dairy products""}]"
24,GUJARAT,672,ARVALLI,383245,11/9/2025,farmer and pashupalan,"00, bhiloda, bhiloda, 00, 00, bhiloda","[{""NIC5DigitId"":""10509"",""Description"":""Manufacture of other dairy products n.e.c.""}]"
24,GUJARAT,672,ARVALLI,383350,4/10/2025,BHAGORA SANJAYBHAI RAMESHBHAI,"169, CO BHAGORA RAMESHBHAI, BORKHAD, 169, BORKHAD, ARVALLI","[{""NIC5DigitId"":""47990"",""Description"":""Other retail sale not in stores, stalls or markets""}]"
24,GUJARAT,672,ARVALLI,388260,4/10/2025,FARMING AND CATTING,"00, VAGHAS, VIRPUR ROAD, 00, 00, BAYAD","[{""NIC5DigitId"":""10304"",""Description"":""Manufacture of fruit or vegetable juices and their concentrates, squashes and powder""}]"
24,GUJARAT,672,ARVALLI,383325,4/10/2025,RAVAL SAMIR,"AMIYAPUR, AMIYAPUR, AMIYAPUR, AMIYAPUR, AMIYAPUR, AMIYAPUR","[{""NIC5DigitId"":""79120"",""Description"":""Tour operator activities""}]"
24,GUJARAT,672,ARVALLI,383315,4/10/2025,Dharti Seeds Corporation,"Plotno 14710148, Ganeshpur GIDC Modasa Gujarat, Ganeshpur, Plotno 14710148, Ganeshpur, Ganeshpur","[{""NIC5DigitId"":""46209"",""Description"":""Whole sale of other agriculture raw materials n.e.c.""}]"
24,GUJARAT,672,ARVALLI,383325,9/9/2025,BABARI PASHU AAHAR,"A, GABAT ROAD, GABT ROAD, A, B, BAYAD","[{""NIC5DigitId"":""46204"",""Description"":""Wholesale of straw, fodder & other animal\/poultry feed""}]"
24,GUJARAT,672,ARVALLI,383350,9/9/2025,JAGDAMBA AUTOMOBILES,"ISRI RELLWADA ROAD, OPP PETROL PUMP, RELLWADA, ISRI RELLWADA ROAD, RELLWADA, RELLWADA","[{""NIC5DigitId"":""45101"",""Description"":""Wholesale and retail sale of new vehicles (passenger motor vehicles, ambulances, minibuses, jeeps, trucks, trailers and semi-trailers)""}]"
24,GUJARAT,672,ARVALLI,383335,9/9/2025,GANPATBHAI MILK BUSINESS,"PATELIYANA MUVADA, PATELIYANA MUVADA, PATELIYANA MUVADA, PATELIYANA MUVADA, PATELIYANA MUVADA, MALPUR","[{""NIC5DigitId"":""46302"",""Description"":""Wholesale of raw milk & dairy products""}]"
24,GUJARAT,672,ARVALLI,383315,9/9/2025,KISHAN AGRO TEC,"JILANI PARK, APSRA CINEMA SAME MODASA, COLLEGE ROAD, JILANI PARK, 31, MODASA","[{""NIC5DigitId"":""45101"",""Description"":""Wholesale and retail sale of new vehicles (passenger motor vehicles, ambulances, minibuses, jeeps, trucks, trailers and semi-trailers)""}]"
24,GUJARAT,672,ARVALLI,383340,11/9/2025,BARIYA PRABHATSINH RAYAJIBHAI,"1-119, DERIVALI FALI, ODHA, 1-119, 00, SATAHMBA","[{""NIC5DigitId"":""10501"",""Description"":""Manufacture of pasteurised milk whether or not in bottles\/ polythene packs etc. (plain or flavoured)""}]"
24,GUJARAT,672,ARVALLI,383315,2/10/2025,NATRAJ PARLOUR,"579/1, INDIRA NAGAR, DUGARVADA, 579/1, DUGARVADA, MODASA","[{""NIC5DigitId"":""47219"",""Description"":""Retail sale of other food products n.e.c.""}]"
24,GUJARAT,672,ARVALLI,383250,2/10/2025,BARANDA SHAILESHBHAI,"01, TINTOI, TINTOI, 01, 01, ARVALLI","[{""NIC5DigitId"":""52294"",""Description"":""Weighing of goods""}]"
24,GUJARAT,672,ARVALLI,383245,2/10/2025,Stifan photographer,"Tirupati market, Aambedkar Road, Bhiloda, Tirupati market, Asia, Bhiloda","[{""NIC5DigitId"":""96010"",""Description"":""Washing and (dry-) cleaning of textile and fur products""},{""NIC5DigitId"":""45101"",""Description"":""Wholesale and retail sale of new vehicles (passenger motor vehicles, ambulances, minibuses, jeeps, trucks, trailers and semi-trailers)""},{""NIC5DigitId"":""33133"",""Description"":""Repair and maintenance of optical instruments and equipment of class 2670""},{""NIC5DigitId"":""08109"",""Description"":""Mining of refractory non-clay minerals (andalusite, kyanite, sillimanite, dunite, diaspore magnesite, diaspore, magnesite)""}]"
24,GUJARAT,672,ARVALLI,383245,2/10/2025,JAYESHKUMAR BIPINBHAI PATEL,"SHOP NO 9, LATI MARKET, SHAMLAJI BHILODA ROAD, SHOP NO 9, FIRT FLOOR, BHILODA","[{""NIC5DigitId"":""13139"",""Description"":""Other activities relating to finishing of textile n.e.c.""}]"
24,GUJARAT,672,ARVALLI,383450,2/10/2025,TAILOR BUSINESS,"00, MUDETI, MUDETI, 00, 00, BHILODA","[{""NIC5DigitId"":""13139"",""Description"":""Other activities relating to finishing of textile n.e.c.""}]"
