LG_ST_Code,State,LG_DT_Code,District,Pincode,RegistrationDate,EnterpriseName,CommunicationAddress,Activities
24,GUJARAT,441,BANAS KANTHA,385310,17/11/2025,PRUTHVI IRRIGATION,"AT- DUVA, NEAR ASHAPURA KARIYANA STORE, DUVA, AT- DUVA, THARAD, THARAD","[{""NIC5DigitId"":""74909"",""Description"":""Other professional, scientific and technical activities n.e.c.""}]"
24,GUJARAT,441,BANAS KANTHA,385310,17/11/2025,RAMDEV PARLOUR,"SHOP NO-1, MEMAN VAS SHERI, NEAR LIBRARY, SHOP NO-1, DHANERA, DHANERA","[{""NIC5DigitId"":""47219"",""Description"":""Retail sale of other food products n.e.c.""},{""NIC5DigitId"":""47222"",""Description"":""Retail sale of non-alcoholic beverages including icecream not for consumption on the premises""}]"
24,GUJARAT,441,BANAS KANTHA,385130,17/11/2025,NEW GAJANAND CONSTRUCTION,"AT AMIRGADH, AMIRGADH, AMIRGADH, AT AMIRGADH, AMIRGADH, AMIRGADH","[{""NIC5DigitId"":""43299"",""Description"":""Other construction projects n.e.c.""},{""NIC5DigitId"":""43900"",""Description"":""Other specialized construction activities""}]"
24,GUJARAT,441,BANAS KANTHA,385565,17/11/2025,PRAJAPATI NASTA HOUSE,"00, THARA ROAD, NAGARPALIKA ROAD, 00, 00, THARA","[{""NIC5DigitId"":""56301"",""Description"":""Bars and Restaurants with bars""}]"
24,GUJARAT,441,BANAS KANTHA,385001,17/11/2025,Vishwakarma Enterprise,"House No. 406, Panchal Vas, Panchal Vas, House No. 406, ., Palanpur","[{""NIC5DigitId"":""47411"",""Description"":""Retail sale of computers and computer peripherals""},{""NIC5DigitId"":""47510"",""Description"":""Retail sale of textiles in specialized stores""},{""NIC5DigitId"":""47531"",""Description"":""Retail sale of carpets, rugs, curtains and net curtains""},{""NIC5DigitId"":""47592"",""Description"":""Retail sale of household utensils and cutlery, crockery, glassware, china and pottery""},{""NIC5DigitId"":""47640"",""Description"":""Retail sale of games and toys in specialized stores""},{""NIC5DigitId"":""47711"",""Description"":""Retail sale of readymade garments, hosiery goods, other articles of clothing and clothing accessories such as gloves, ties, braces etc.""},{""NIC5DigitId"":""47713"",""Description"":""Retail sale of footwear""},{""NIC5DigitId"":""47721"",""Description"":""Retail sale of pharmaceuticals, medical and orthopaedic goods and toilet articles""},{""NIC5DigitId"":""47911"",""Description"":""Retail sale via mail order houses""},{""NIC5DigitId"":""47912"",""Description"":""Retail sale via e-commerce""},{""NIC5DigitId"":""47990"",""Description"":""Other retail sale not in stores, stalls or markets""},{""NIC5DigitId"":""45402"",""Description"":""Wholesale or retail sale of parts and accessories of motorcycles, mopeds, scooters and three wheelers""}]"
24,GUJARAT,441,BANAS KANTHA,385310,17/11/2025,CHAMUNDA FRUIT CENTER,"KARGIL HOTAL KE PASS, DHANERA, DHANERA, KARGIL HOTAL KE PASS, DHANERA, Dhanera","[{""NIC5DigitId"":""74909"",""Description"":""Other professional, scientific and technical activities n.e.c.""}]"
24,GUJARAT,441,BANAS KANTHA,385001,17/11/2025,SANGITABA GHANSHYAMSINH GADHAVI,"Shop No-18, Aarvik Aarced, Ambaji Highway, Shop No-18, 1, Vadgam","[{""NIC5DigitId"":""10795"",""Description"":""Grinding and processing of spices""}]"
24,GUJARAT,441,BANAS KANTHA,385001,17/11/2025,ARYAN VIKRAMKUMAR JOSHI,"22, AMIT CHAMBER, GIRDHAR PATEL MARG, 22, PALANPUR, PALANPUR","[{""NIC5DigitId"":""32120"",""Description"":""Manufacture of imitation jewellery and related articles""}]"
24,GUJARAT,441,BANAS KANTHA,385120,17/11/2025,SUNDHESHWARI CLOTH STORES,"AT.DANTA, POST.DANTA, MAIN BAZAR, AT.DANTA, 0, DANTA","[{""NIC5DigitId"":""14101"",""Description"":""Manufacture of all types of textile garments and clothing accessories""},{""NIC5DigitId"":""14105"",""Description"":""Custom tailoring""}]"
24,GUJARAT,441,BANAS KANTHA,385001,17/11/2025,DARJI JEEL VIPULBHAI,"0, PREM GALI, OPP.MAHILA MANDAL, 0, 0, PALANPUR","[{""NIC5DigitId"":""47211"",""Description"":""Retail sale of cereals and pulses, tea, coffee, spices and flour""},{""NIC5DigitId"":""47219"",""Description"":""Retail sale of other food products n.e.c.""},{""NIC5DigitId"":""47890"",""Description"":""Retail sale via stalls and markets of other goods""}]"
24,GUJARAT,441,BANAS KANTHA,385320,17/11/2025,GM restaurant and hotel,"23B, Sp soping, Jaliyan mobile Shop near by, 23B, Nh highway, Bhabhar","[{""NIC5DigitId"":""56102"",""Description"":""Cafeterias, fast-food restaurants and other food preparation in market stalls""}]"
24,GUJARAT,441,BANAS KANTHA,385555,17/11/2025,BHAVANI ENTERPRISE,"GROUND FLOOR,DHOP 5, RIDDHI-SIDDHI COMPLEX VANIJYA PLOT NO.16, VALINATH MANDIR ROAD, GROUND FLOOR,DHOP 5, KANKREJ, THARA","[{""NIC5DigitId"":""25111"",""Description"":""Manufacture of doors, windows and their frames, shutters and rolling shutters, gates and similer articles used on buildings""}]"
24,GUJARAT,441,BANAS KANTHA,385001,17/11/2025,CHELANI POOJA PRITIBEN,"0, PREM GALI, OPPOSITE MAHILA MANDAL, 0, 0, PALANPUR","[{""NIC5DigitId"":""47211"",""Description"":""Retail sale of cereals and pulses, tea, coffee, spices and flour""},{""NIC5DigitId"":""47219"",""Description"":""Retail sale of other food products n.e.c.""},{""NIC5DigitId"":""47890"",""Description"":""Retail sale via stalls and markets of other goods""}]"
24,GUJARAT,441,BANAS KANTHA,385320,17/11/2025,JAY MA MULAYA WOOD FURNICHAR,"203, DHENKWADI, UJJANWADA, 203, 11, BHABHAR","[{""NIC5DigitId"":""45200"",""Description"":""Maintenance and repair of motor vehicles""}]"
24,GUJARAT,441,BANAS KANTHA,385001,13/11/2025,MEHULKUMAR NATHALAL PATEL,"P.N.18-19, NEAR VIR RESIDENCY, KALA HANUMAN ROAD, P.N.18-19, P.N.18-19, PALANPUR","[{""NIC5DigitId"":""46633"",""Description"":""Wholesale of hardware and sanitary fittings and fixtures and flat glass including tools such as hammers, saws, screwdrivers and other hand tools""}]"
24,GUJARAT,441,BANAS KANTHA,385535,13/11/2025,Chamunda Tailor,"--, --, Kansari Road, Sherpura, --, --, DEESA","[{""NIC5DigitId"":""14105"",""Description"":""Custom tailoring""}]"
24,GUJARAT,441,BANAS KANTHA,385001,13/11/2025,RUSHI RAJNIKANT PRAJAPATI,"SHREERAMSHANTI FARM, NEAR SHANTI PURAM FARM, NEAR DHARAKUVI,FARM HOUSE, SHREERAMSHANTI FARM, 0, PALANPUR","[{""NIC5DigitId"":""46633"",""Description"":""Wholesale of hardware and sanitary fittings and fixtures and flat glass including tools such as hammers, saws, screwdrivers and other hand tools""}]"
24,GUJARAT,441,BANAS KANTHA,385330,13/11/2025,FIROJBHAI BRICKS VALA,"No, GOGA MAHARAJ MANDIR NI PACHAL, SHIHORI ROAD, No, BANASKHNTHA, DIYODAR","[{""NIC5DigitId"":""32909"",""Description"":""Manufacture of other articles n.e.c.""}]"
24,GUJARAT,441,BANAS KANTHA,385210,13/11/2025,VEER KRUPA MEDICAL,"0, Mahi, Mahi, 0, 0, Vadgam","[{""NIC5DigitId"":""21001"",""Description"":""Manufacture of medicinal substances used in the manufacture of pharmaceuticals: antibiotics, endocrine products, basic vitamins; opium derivatives; sulpha drugs; serums and plasmas; salicylic acid, its salts and esters; glycosides and vegetable alkaloids; chemically pure suger etc.""}]"
24,GUJARAT,441,BANAS KANTHA,385330,13/11/2025,Chamunda Hardware And General Store,"999, Kotarvada, Vav Highway, 999, -, Palanpur","[{""NIC5DigitId"":""47522"",""Description"":""Retail sale of hardware including paints, varnishes and lacquers and do - it - yourself materials and equipments""}]"
24,GUJARAT,441,BANAS KANTHA,385320,13/11/2025,SHRI ASHAPURA NASTA HOUSE,"18, NEAR SHANTI NAGAR SOCIETY, HIGHWAY ROAD, 18, BHABHAR, BHABHAR","[{""NIC5DigitId"":""47219"",""Description"":""Retail sale of other food products n.e.c.""}]"
24,GUJARAT,441,BANAS KANTHA,385110,13/11/2025,Patani Ashaben Ganeshbhai,"0, gram panchayat ni baju ma, main Bajar, 0, 0, Ambaji","[{""NIC5DigitId"":""56291"",""Description"":""Activities of food service contractors (e.g. for transportation companies)""}]"
24,GUJARAT,441,BANAS KANTHA,385535,13/11/2025,Vishwakarma auto garage,"jasara, jashra, jasra, jasara, 11, deesa","[{""NIC5DigitId"":""96010"",""Description"":""Washing and (dry-) cleaning of textile and fur products""}]"
24,GUJARAT,441,BANAS KANTHA,385570,13/11/2025,Vasantkumar sivabhai vanol,"0719, Bhatasana, Palot Vistar, 0719, Bhatasana, Suigam","[{""NIC5DigitId"":""49110"",""Description"":""Passenger rail transport""},{""NIC5DigitId"":""58112"",""Description"":""Publishing of atlases, maps and charts""}]"
24,GUJARAT,441,BANAS KANTHA,385001,13/11/2025,SHAN AUTO GARAGE AND PARTS,"14, GATHAMAN ROAD, GATHAMAN ROAD, 14, PALANPUR, PALANPUR","[{""NIC5DigitId"":""45200"",""Description"":""Maintenance and repair of motor vehicles""}]"
