LG_ST_Code,State,LG_DT_Code,District,Pincode,RegistrationDate,EnterpriseName,CommunicationAddress,Activities
24,GUJARAT,442,BHARUCH,393001,17/11/2025,MAA NAVDURGA STORE,"SHOP NO G-4/G-35, INDIA TREAD CENTRE, RAJPIPLA CHOKDI ROAD, SHOP NO G-4/G-35, ., GADKHOL ANKLESHWAR","[{""NIC5DigitId"":""47110"",""Description"":""Retail sale in non-specialized stores with food, beverages or tobacco predominating""}]"
24,GUJARAT,442,BHARUCH,393001,17/11/2025,MAHAVEER GURJAR,"8, BHASKORA, BHASKORA, 8, 0, ANKLESWAR","[{""NIC5DigitId"":""47110"",""Description"":""Retail sale in non-specialized stores with food, beverages or tobacco predominating""}]"
24,GUJARAT,442,BHARUCH,392015,17/11/2025,PATEL ARIF ALI,"ASHIYANA NAGAR, SHERPURA, SHERPURA, ASHIYANA NAGAR, SHERPURA, BHARUCH","[{""NIC5DigitId"":""79900"",""Description"":""Other reservation service and related activities""}]"
24,GUJARAT,442,BHARUCH,393002,17/11/2025,GAYKAR TRANSPORT SERVICES,"404 PLOT NO H 305331, SHREE VILA CHSL GIDC, GOLDEN POINT GIDC, 404 PLOT NO H 305331, B H PLATINA 2, BHARUCH","[{""NIC5DigitId"":""49231"",""Description"":""Motorised road freight transport""}]"
24,GUJARAT,442,BHARUCH,392001,17/11/2025,KUMBHA RAM,"NAVI VASAHAT, JUNA TAWARA, BHARUCH, NAVI VASAHAT, TAVRA, BHARUCH","[{""NIC5DigitId"":""95240"",""Description"":""Repair of furniture and home furnishings""}]"
24,GUJARAT,442,BHARUCH,392130,17/11/2025,PATEL NARESHBHAI DOLATSANG,"00, NARNAVI, DAHEJ, 00, A, BHARUCH","[{""NIC5DigitId"":""49300"",""Description"":""Transport via pipeline""}]"
24,GUJARAT,442,BHARUCH,393001,17/11/2025,GOHIL SHAILENDRASINH DEVENDRASINH,"A-5, SWAPNA VIHAR SOCIETY, HANSOT ROAD, A-5, A, BHARUCH","[{""NIC5DigitId"":""49300"",""Description"":""Transport via pipeline""}]"
24,GUJARAT,442,BHARUCH,392001,17/11/2025,PATEL MEDICAL AGENCY,"CITY SURVEY WARD N 4, A4 1ST FLOOR AARZOO COMPLEX, BHARUCH, CITY SURVEY WARD N 4, BHARUCH, BHARUCH","[{""NIC5DigitId"":""47721"",""Description"":""Retail sale of pharmaceuticals, medical and orthopaedic goods and toilet articles""}]"
24,GUJARAT,442,BHARUCH,393001,17/11/2025,SHREE GANESH ROADLINES,"B-44, NIRMALA NIWAS, GEB OFFICE, B-44, 1, ANKLESHWAR","[{""NIC5DigitId"":""49231"",""Description"":""Motorised road freight transport""}]"
24,GUJARAT,442,BHARUCH,392001,17/11/2025,SHIV ENGINEERING,"A/3-25, NARAYAN RESIDENCY, BEHIND NARAYAN SHRUSHTI, A/3-25, -, BHARUCH","[{""NIC5DigitId"":""25999"",""Description"":""Manufacture of other fabricated metal products n.e.c.""}]"
24,GUJARAT,442,BHARUCH,393001,17/11/2025,RATHOD DHIRUBHAI VIRAMBHAI,"293, NISHAL FALIYU, BORBHATHA ROAD, 293, -, ANKLESHWAR","[{""NIC5DigitId"":""96098"",""Description"":""General household maintenance activities like grooming of the floor, dusting, cleaning of utensils etc.""}]"
24,GUJARAT,442,BHARUCH,393010,17/11/2025,Hari Om Mobile,"S3, Siddheshwari Shopping Center, Andada Road, S3, S3, Ankleshwar","[{""NIC5DigitId"":""46524"",""Description"":""Wholesale of telephone, mobile phone and communications equipment and parts""}]"
24,GUJARAT,442,BHARUCH,392150,13/11/2025,SHEKH STORE,"KAMAR SOCIETY, JAMBUSAR, JAMBUSAR, KAMAR SOCIETY, JAMBUSAR, JAMBUSAR","[{""NIC5DigitId"":""56291"",""Description"":""Activities of food service contractors (e.g. for transportation companies)""}]"
24,GUJARAT,442,BHARUCH,393001,13/11/2025,Adarsh juice center,"1, Near ayyappa mandir, Andada road, 1, 1, Ankleshwar","[{""NIC5DigitId"":""56303"",""Description"":""Fruit juice bars""}]"
24,GUJARAT,442,BHARUCH,393001,13/11/2025,JAY AMBE COLD PANIPURI CENTER,"OPPOSIT, PASHUPATINATH TEMPLE, JALDHARA CHOKDI ROAD, OPPOSIT, GIDC, ANKLESHWAR","[{""NIC5DigitId"":""56291"",""Description"":""Activities of food service contractors (e.g. for transportation companies)""}]"
24,GUJARAT,442,BHARUCH,392220,13/11/2025,LUKEYSSPORTS,"0, LUCKEYSSPORTS, MAIN BAZAR, 0, 0, palej","[{""NIC5DigitId"":""47630"",""Description"":""Retail sale of sporting equipment in specialized stores""}]"
24,GUJARAT,442,BHARUCH,393002,13/11/2025,SHREE NARAYAN TRANSPORT,"S-2, 2nd floor, Gurukrupa complex, Rajwadi hotel, S-2, 2nd floor, Ankleshwar, Ankleshwar","[{""NIC5DigitId"":""49232"",""Description"":""Non-motorised road freight transport""}]"
24,GUJARAT,442,BHARUCH,392001,13/11/2025,VRUND K CORP PRIVATE LIMITED,"SHOP NO 23, NARMADA DARSHAN, OPP GEB MAKTAMPUR ROAD, SHOP NO 23, Bharuch, Bharuch","[{""NIC5DigitId"":""49231"",""Description"":""Motorised road freight transport""},{""NIC5DigitId"":""77309"",""Description"":""Renting and leasing of other machinery and equipment n.e.c. without operator""}]"
24,GUJARAT,442,BHARUCH,392001,13/11/2025,JAY AMBE ENTERPRISE,"A-14, SARVESHWAR NAGAR SOCIETY, ZADESHWAR, A-14, 00, BHARUCH","[{""NIC5DigitId"":""46632"",""Description"":""Wholesale of construction materials (sand, gravel etc.)""}]"
24,GUJARAT,442,BHARUCH,393001,20/11/2025,SHAILY FASHION,"38, SHAK MARKET, ANKLESHWAR, 38, ANKLESHWAR, ANKLESHWAR","[{""NIC5DigitId"":""47711"",""Description"":""Retail sale of readymade garments, hosiery goods, other articles of clothing and clothing accessories such as gloves, ties, braces etc.""}]"
24,GUJARAT,442,BHARUCH,392001,20/11/2025,SWEET WATER TECHNOLOGY,"SHOP 21 VISHVAMBHAR, COMPLEX, DAHEJ BY PASS ROAD, SHOP 21 VISHVAMBHAR, BHARUCH, BHARUCH","[{""NIC5DigitId"":""96098"",""Description"":""General household maintenance activities like grooming of the floor, dusting, cleaning of utensils etc.""}]"
24,GUJARAT,442,BHARUCH,393017,20/11/2025,YASHREE MARKETING & SERVICE'S,"621, MATRU CHAAYA, SHUBHASH STREET, 621, AVIDHA, BHARUCH","[{""NIC5DigitId"":""63999"",""Description"":""Other information service activities n.e.c.""}]"
24,GUJARAT,442,BHARUCH,392011,20/11/2025,SHIV SHAKTI ENTERPRISE,"20, Pushprajsinh Rana, Tavra Road, 20, Tavra, Bharuch","[{""NIC5DigitId"":""46632"",""Description"":""Wholesale of construction materials (sand, gravel etc.)""},{""NIC5DigitId"":""33111"",""Description"":""Repair and maintenance of structural products""},{""NIC5DigitId"":""52219"",""Description"":""Other land transport services n.e.c""},{""NIC5DigitId"":""74909"",""Description"":""Other professional, scientific and technical activities n.e.c.""}]"
24,GUJARAT,442,BHARUCH,393135,20/11/2025,VASAVA SUNILBHAI VIJAYBHAI,"0, KONDH, NR TEMPLE, 0, JHAGADIA, BHARUCH","[{""NIC5DigitId"":""49110"",""Description"":""Passenger rail transport""}]"
24,GUJARAT,442,BHARUCH,392020,20/11/2025,reshmabanu khalid diwan,"padar street, dayadra, bharuch, padar street, bharuch, bharuch","[{""NIC5DigitId"":""96020"",""Description"":""Hairdressing and other beauty treatment""}]"
24,GUJARAT,442,BHARUCH,392035,22/10/2025,Sunil Enterprises (L.C.),"347, Shri Sadan, Bharuch, 347, Amod, Matar","[{""NIC5DigitId"":""78100"",""Description"":""Activities of employment placement agencies""}]"
24,GUJARAT,442,BHARUCH,393001,22/10/2025,BALAJI MOBILE AND ELECTRONICS,"02, MARUTI DHAM COMPLEX, RAJPIPLA ROAD, 02, ANKLESHWAR, LAXMAN NAGAR","[{""NIC5DigitId"":""47300"",""Description"":""Retail sale of automotive fuel in specialized stores [includes the activity of petrol filling stations.""}]"
24,GUJARAT,442,BHARUCH,393010,20/11/2025,UMIYA SAFETY SOLUTIONS,"GF 13/14, NIRAV HERITAGE, OLD NH 48, GF 13/14, GADKHOL PATIYA, ANKLESHWAR","[{""NIC5DigitId"":""32902"",""Description"":""Manufacture of protective safety equipment (fire-resistant and protective safety clothing, linemen’s safety belts and other belts for occupational use, cork life preservers, plastics hard hats and other personal safety equipment of plastics, fire-fighting protection suits, metal safety headgear and other metal personal safety devices, gas masks etc.)""}]"
24,GUJARAT,442,BHARUCH,393010,20/11/2025,RABBIT TRANSPORT,"201, Golden Square, Old NH-48, 201, Ankleshwar, Ankleshwar",NA
24,GUJARAT,442,BHARUCH,392001,20/11/2025,AAI MATA SUPER STORE,"SHOP NO. 2 AND 3, NR MADHURAM PARTY PLOT, ZADESHWAR ROAD, SHOP NO. 2 AND 3, ZADESHWAR, BHARUCH","[{""NIC5DigitId"":""47110"",""Description"":""Retail sale in non-specialized stores with food, beverages or tobacco predominating""}]"
24,GUJARAT,442,BHARUCH,392230,20/11/2025,AJAYBHAI RAMESHBHAI PATANVADIYA,"00, SUTHODRA, Suthodra, 00, 00, Bharuch","[{""NIC5DigitId"":""49229"",""Description"":""Other non urban passenger land transport n.e.c.""}]"
24,GUJARAT,442,BHARUCH,393001,20/11/2025,Shah tempo service,"297, Ambaji faliyu, Jhagadia, 297, Jhagadia, Bharuch","[{""NIC5DigitId"":""49231"",""Description"":""Motorised road freight transport""}]"
24,GUJARAT,442,BHARUCH,392001,4/10/2025,PATEL SADIKBHAI ABDULLAHBHAI,"57, NEW ROSHAN PARK, BYPASS CHOKDI, 57, BHARUCH, BHARUCH","[{""NIC5DigitId"":""47738"",""Description"":""Activities of commercial art galleries""}]"
24,GUJARAT,442,BHARUCH,393001,4/10/2025,CHEMCORE RESOURCES,"GF, Plot No.08, Yogi Estate 2, Ankleshwar, GF, Plot No.08, 0, Bharuch","[{""NIC5DigitId"":""46909"",""Description"":""Other non-specialised wholesale trade n.e.c.""},{""NIC5DigitId"":""47990"",""Description"":""Other retail sale not in stores, stalls or markets""}]"
24,GUJARAT,442,BHARUCH,392001,4/10/2025,MAX TRADING,"7TH, 702 PENT HOUSE, SHRI HIEGTS, SHALIMAR ROAD, NAGARPALIKA, 7TH, 702 PENT HOUSE, BHARUCH, BHARUCH","[{""NIC5DigitId"":""43123"",""Description"":""Clearing of building sites, earth moving: excavation, landfill, levelling and grading of construction sites, trench digging, rock removal, blasting etc.""}]"
24,GUJARAT,442,BHARUCH,393115,4/10/2025,jay goga dudh deri,"315, goga dudh  deri, netrang road, 315, 315, rajpardi","[{""NIC5DigitId"":""46201"",""Description"":""Wholesale of cereals & pulses""}]"
