LG_ST_Code,State,LG_DT_Code,District,Pincode,RegistrationDate,EnterpriseName,CommunicationAddress,Activities
24,GUJARAT,676,BOTAD,364710,11/8/2025,HOUSEKEEPING CONTRACTOR,"0, VALMIKI VAS, BHAMBHAN ROAD, 0, 0, BOTAD","[{""NIC5DigitId"":""81299"",""Description"":""Other building and industrial cleaning activities""}]"
24,GUJARAT,676,BOTAD,364710,11/8/2025,jayeshbhai  Senting Business,"diamond society, bhavnagar road, bhavnagar road, diamond society, diamond society, botad","[{""NIC5DigitId"":""13997"",""Description"":""Manufacture of metallised yarn or gimped yarn, rubber thread or cord covered with textile material, textile yarn or strip impregnated, covered or sheathed with rubber or plastic""}]"
24,GUJARAT,676,BOTAD,364750,11/8/2025,JOSHI BHARGAV RAJENDRABHAI,"000, RAVAL SHERI, KHOJA MASJIDNI PASE, 000, 000, GADHADA","[{""NIC5DigitId"":""10303"",""Description"":""Radiation preservation of fruit and vegetables""}]"
24,GUJARAT,676,BOTAD,382245,11/8/2025,Kismat Kirana Store,"Near Ramdevpir Mandi, Near Ramdevpir Mandir, Dharpipla, Near Ramdevpir Mandi, Ranpur, Dharpipla","[{""NIC5DigitId"":""47110"",""Description"":""Retail sale in non-specialized stores with food, beverages or tobacco predominating""}]"
24,GUJARAT,676,BOTAD,364710,11/8/2025,DHARMENDRA R KANSAGARA,"25, AMARDEEP PETROLPUMP, BOTAD, 25, 00, BOTAD","[{""NIC5DigitId"":""49224"",""Description"":""Taxi operation""}]"
24,GUJARAT,676,BOTAD,364720,11/8/2025,MISSION MILK DAIRY,"0, 0, PALIYAD ROAD, 0, 0, BOTAD","[{""NIC5DigitId"":""46302"",""Description"":""Wholesale of raw milk & dairy products""}]"
24,GUJARAT,676,BOTAD,364710,11/8/2025,Khodal studio,"0, Tulshinagar 2, Dhankaniya road, 0, 0, Botad","[{""NIC5DigitId"":""59111"",""Description"":""Production of motion picture""}]"
24,GUJARAT,676,BOTAD,364710,12/8/2025,SHREE GANESH AGRO,"BOTAD, ANANDDHAM RESIDENCY, PALIYAD ROAD, BOTAD, BOTAD, BOTAD","[{""NIC5DigitId"":""20129"",""Description"":""Manufacture of other fertilizers n.e.c.""}]"
24,GUJARAT,676,BOTAD,364710,12/8/2025,BIPIN BHAI K KANZARIYA,"0, HANUMANTPURI, TURKHA ROAD, 0, 0, BOTAD","[{""NIC5DigitId"":""08991"",""Description"":""Mining of gemstones (agate, diamond, emerald, garnet (gem), jasper, rubby\/saphire etc.""}]"
24,GUJARAT,676,BOTAD,382450,10/8/2025,Kapde ka dukan,"444, Bharvad vas, Salangpur, 444, 444, Botad","[{""NIC5DigitId"":""80100"",""Description"":""Private security activities""}]"
