LG_ST_Code,State,LG_DT_Code,District,Pincode,RegistrationDate,EnterpriseName,CommunicationAddress,Activities
24,GUJARAT,444,DANG,394710,10/6/2024,Perfect jeans tailor,"300 mansit complex, Main road ahwa, Main road, 300 mansit complex, Ahwa, Ahwa","[{""NIC5DigitId"":""14105"",""Description"":""Custom tailoring""}]"
24,GUJARAT,444,DANG,394716,3/1/2024,ANKUR flour mill,"NISHAL FALIYU, JARSOL, SUBIR, NISHAL FALIYU, 0, SUBIR","[{""NIC5DigitId"":""47990"",""Description"":""Other retail sale not in stores, stalls or markets""},{""NIC5DigitId"":""10799"",""Description"":""Other semi-processed, processed or instant foods n.e.c. except farinaceous products and malted foods and manufacturing activities like manufacture of egg powder, sambar powder etc. (this excludes the activities covered under 10619)""}]"
24,GUJARAT,444,DANG,394730,20/12/2023,SOHLA TRANSPORT,"43, BHARWAD FALIYU, NR TEMPLE, 43, -, WAGHAI","[{""NIC5DigitId"":""49232"",""Description"":""Non-motorised road freight transport""}]"
24,GUJARAT,444,DANG,394710,13/12/2023,SABBIR GULAM PINJARA,"357, AHWA, PETROL PAMP AHWA, 357, AHWA, AHWA","[{""NIC5DigitId"":""96098"",""Description"":""General household maintenance activities like grooming of the floor, dusting, cleaning of utensils etc.""}]"
24,GUJARAT,444,DANG,394716,10/9/2021,CMS AND ED CENTRE,"DUKAN FALIYA, AT PIPAL DAHAD, AT PIPAL DAHAD, DUKAN FALIYA, AT PIPAL DAHAD, AT PIPAL DAHAD","[{""NIC5DigitId"":""86100"",""Description"":""Hospital activities""},{""NIC5DigitId"":""86909"",""Description"":""Other human health activities n.e.c. (including independent ambulance activities)""}]"
24,GUJARAT,444,DANG,394710,22/12/2023,URMILABEN RAMANBHAI GAYKAWAD,"176, DUNGRI FALIYA AHWA, MAIN ROAD AHWA, 176, AHWA, AHWA","[{""NIC5DigitId"":""47110"",""Description"":""Retail sale in non-specialized stores with food, beverages or tobacco predominating""}]"
24,GUJARAT,444,DANG,394716,9/2/2024,krishna hotel,"pipaldahad, pipaldahad, pipaldahad, pipaldahad, subir, pipaldahad","[{""NIC5DigitId"":""55101"",""Description"":""Hotels and Motels, inns, resorts providing short term lodging facilities; includes accommodation in house boats""}]"
24,GUJARAT,444,DANG,394716,27/01/2023,SHRI ISHVARBHAI SHAKHARAM PAWAR,"32, MOTI KASAD, MOTI KASAD, 32, SCHOOL, MAHAL","[{""NIC5DigitId"":""46301"",""Description"":""Wholesale of fruits & vegetables""}]"
24,GUJARAT,444,DANG,394710,25/03/2023,COSMOS ENTERPRISES,"01, JADAV COMPLEX, NAVAPUR ROAD, 01, 01, AHWA","[{""NIC5DigitId"":""46103"",""Description"":""Activities of commission agents dealing in wholesale trade in machinery & equipment, other than transport machinery""}]"
24,GUJARAT,444,DANG,394710,2/3/2023,BHAGYASHREE CARTING & CONTRUCTION,"22, MISION COLONY MAIN ROAD, MAIN ROAD AHWA, 22, AHWA, AHWA","[{""NIC5DigitId"":""08106"",""Description"":""Operation of sand or gravel pits, basalt \/ porphyry, clay (ordinary), crushing and breaking of stone for use as a flux or raw material in lime or cement, manufacture or as building material, road metal or ballast and other materials for construction""}]"
24,GUJARAT,444,DANG,394710,27/02/2023,GAVALI TRANSPORT,"-, MANDALBARI, CHINCHALI ROAD, -, -, AHWA","[{""NIC5DigitId"":""49231"",""Description"":""Motorised road freight transport""}]"
24,GUJARAT,444,DANG,394730,13/02/2024,khusi beauty parlor,"patel faliyu, susarda, saputara road, patel faliyu, waghai, susarda","[{""NIC5DigitId"":""96020"",""Description"":""Hairdressing and other beauty treatment""}]"
24,GUJARAT,444,DANG,394720,20/09/2023,SESARAM JETHARAMBHAI CHAUDHARY,"SAPUTARA, NEW SHOPPING CENTRE, NEW SHOPPING CENTRE, SAPUTARA, AHWA, SAPUTARA","[{""NIC5DigitId"":""47110"",""Description"":""Retail sale in non-specialized stores with food, beverages or tobacco predominating""}]"
