LG_ST_Code,State,LG_DT_Code,District,Pincode,RegistrationDate,EnterpriseName,CommunicationAddress,Activities
24,GUJARAT,674,DEVBHOOMI DWARKA,361305,17/11/2025,MADHAV FERTILIZER,"Shop No.1, Survey No.227, Khambhalia to Dwarka National, Shop No.1, NA, Devbhumi Dwarka","[{""NIC5DigitId"":""46539"",""Description"":""Wholesale of other agriculture machinery n.e.c.""}]"
24,GUJARAT,674,DEVBHOOMI DWARKA,361305,17/11/2025,RAJADHIRAJ ENTERPRISE,"Shop No. 3, -, city Survey No. 2968/a, Shop No. 3, -, jam khambhalia","[{""NIC5DigitId"":""46691"",""Description"":""Wholesale of industrial chemicals,""},{""NIC5DigitId"":""32909"",""Description"":""Manufacture of other articles n.e.c.""}]"
24,GUJARAT,674,DEVBHOOMI DWARKA,361345,13/11/2025,S V ENGINEERING,"SHOP NO 37/39, S V ENGINEERING, NR. MARKER, SHOP NO 37/39, TATA TOWNSHIP, DEVBHUMI DWARKA","[{""NIC5DigitId"":""49231"",""Description"":""Motorised road freight transport""},{""NIC5DigitId"":""33190"",""Description"":""Repair of other equipment""}]"
24,GUJARAT,674,DEVBHOOMI DWARKA,361350,13/11/2025,Sindhava Groups & Company,"NA, Sindhava's, Navi nagari, NA, NA, Okha Port","[{""NIC5DigitId"":""50219"",""Description"":""Other inland water transport n.e.c.""}]"
24,GUJARAT,674,DEVBHOOMI DWARKA,361345,20/11/2025,nayani naresh shivubha,"-, -, -, -, -, mithapur","[{""NIC5DigitId"":""77100"",""Description"":""Renting and leasing of motor vehicles""}]"
24,GUJARAT,674,DEVBHOOMI DWARKA,361335,20/11/2025,varsing varjang khambhala,"rabari pado, -, -, rabari pado, -, varvala","[{""NIC5DigitId"":""77210"",""Description"":""Renting and leasing of recreational and sports goods""}]"
24,GUJARAT,674,DEVBHOOMI DWARKA,361315,20/11/2025,PARMAR ASHWIN,"00, NA, NA, 00, 00, KHAMBHALIYA","[{""NIC5DigitId"":""56210"",""Description"":""Event catering""}]"
24,GUJARAT,674,DEVBHOOMI DWARKA,360515,4/10/2025,PASHUPALAN,"BABARZAR, BABARZAR, LALPUR, BABARZAR, BABARZAR, KHAMBHALIA","[{""NIC5DigitId"":""08103"",""Description"":""Quarrying of slate and building and monumental stone other than marble and granite""}]"
24,GUJARAT,674,DEVBHOOMI DWARKA,361347,3/10/2025,CARPENTER,"UDYOGNAGAR SURAJKARA, OKHAMANDAL OKHAMANDAL, OKHA GJ, UDYOGNAGAR SURAJKARA, OKHA GJ, OKHA GJ","[{""NIC5DigitId"":""55101"",""Description"":""Hotels and Motels, inns, resorts providing short term lodging facilities; includes accommodation in house boats""}]"
24,GUJARAT,674,DEVBHOOMI DWARKA,360510,11/9/2025,BHAVI REFREGRETION,"0, BHAVI REFREGRETION, OPP S T BUS STAND, 0, 0, BHANVAD","[{""NIC5DigitId"":""33190"",""Description"":""Repair of other equipment""}]"
