LG_ST_Code,State,LG_DT_Code,District,Pincode,RegistrationDate,EnterpriseName,CommunicationAddress,Activities
24,GUJARAT,446,GANDHINAGAR,382305,9/8/2025,DHARMIK ENTERPRISE,"A/1, M G AMIN COMPLEX, NANDOL ROAD,, NANDOL ROAD, A/1, DEHGAM, DEHGAM","[{""NIC5DigitId"":""47190"",""Description"":""Other retail sale in non-specialized stores""}]"
24,GUJARAT,446,GANDHINAGAR,382006,11/8/2025,jay texi service,"901/1, jay texi service, ring road, 901/1, 901/1, gandhinagar","[{""NIC5DigitId"":""53200"",""Description"":""Courier activities""}]"
24,GUJARAT,446,GANDHINAGAR,382016,11/8/2025,VARIETY FAST FOOD,"STOLL NO 35, GH 5 9-5 FOOD CORT, SEC-16, STOLL NO 35, GHANDHINAGAR, GHANDHINAGAR","[{""NIC5DigitId"":""56102"",""Description"":""Cafeterias, fast-food restaurants and other food preparation in market stalls""}]"
24,GUJARAT,446,GANDHINAGAR,382845,11/8/2025,ALPESHKUMAR B. PATEL,"., NAVA HANUMANPURA, MANSA, ., PARVATINAGAR, DIST - GANDHINAGAR","[{""NIC5DigitId"":""65120"",""Description"":""Non-life insurance""},{""NIC5DigitId"":""68200"",""Description"":""Real estate activities on a fee or contract basis""}]"
24,GUJARAT,446,GANDHINAGAR,382721,11/8/2025,KALPESHKUMAR GOVINDBHAI PIYEJA,"00, RIGHT BUILDING, MATHURIYA AREA, 00, 00, KALOL","[{""NIC5DigitId"":""86100"",""Description"":""Hospital activities""}]"
24,GUJARAT,446,GANDHINAGAR,382421,11/8/2025,GURJAR VISHAL,"404, PRAJAPATI VAS, SARGASAN, 404, SARGASAN, GANDHINAGAR","[{""NIC5DigitId"":""79110"",""Description"":""Travel agency activities""}]"
24,GUJARAT,446,GANDHINAGAR,382355,11/8/2025,Rameshbhai Chaudhary,"NA, Navo Vas, Dashela, NA, NA, Gandhinagar","[{""NIC5DigitId"":""49224"",""Description"":""Taxi operation""}]"
24,GUJARAT,446,GANDHINAGAR,382006,11/8/2025,RIMABEN PRADIPBHAI PATEL,"880/1, SECTOR-5 C, GANDHINAGAR, 880/1, GANDHINAGAR, GANDHINAGAR","[{""NIC5DigitId"":""49231"",""Description"":""Motorised road freight transport""}]"
24,GUJARAT,446,GANDHINAGAR,382845,11/8/2025,SEJALBEN D. PATEL,"06, MARUTI BUNGLOWS, TAKHTESHWAR MAHADEV ROAD, 06, MANSA, DIST - GANDHINAGAR","[{""NIC5DigitId"":""47990"",""Description"":""Other retail sale not in stores, stalls or markets""},{""NIC5DigitId"":""68200"",""Description"":""Real estate activities on a fee or contract basis""}]"
24,GUJARAT,446,GANDHINAGAR,382845,11/8/2025,Ocean breeze trading,"PARMARVAS, PARMARVAS, MANSA, PARMARVAS, MANSA, GANDHINAGAR","[{""NIC5DigitId"":""47190"",""Description"":""Other retail sale in non-specialized stores""}]"
24,GUJARAT,446,GANDHINAGAR,382721,11/8/2025,KHAMAR DHARMISHTHABEN,"00, BHOYRA VALO VAS, BAROT VAS, 00, -, KALOL","[{""NIC5DigitId"":""56210"",""Description"":""Event catering""}]"
24,GUJARAT,446,GANDHINAGAR,382305,11/8/2025,Melabhai Transpot,"00, 00, Rabari vas, 00, 00, Dahegam","[{""NIC5DigitId"":""96098"",""Description"":""General household maintenance activities like grooming of the floor, dusting, cleaning of utensils etc.""}]"
24,GUJARAT,446,GANDHINAGAR,382308,11/8/2025,KAMINI ENTERPRISE,"0, PATEL VAS, DEHGAM ROAD, 0, DEHGAM, GANDHINAGAR","[{""NIC5DigitId"":""41001"",""Description"":""Construction of buildings carried out on own-account basis or on a fee or contract basis""},{""NIC5DigitId"":""41002"",""Description"":""Activities relating to alteration, addition, repair, maintenance carried out on own-account basis or on a fee or contract basis""}]"
24,GUJARAT,446,GANDHINAGAR,382421,11/8/2025,Glory Infotech,"16, Pratishtha palace, Tanki road, 16, 16, Gandhinagar","[{""NIC5DigitId"":""62012"",""Description"":""Web-page designing""},{""NIC5DigitId"":""63112"",""Description"":""Web hosting activities""}]"
24,GUJARAT,446,GANDHINAGAR,382721,11/8/2025,RAVIKUMAR PATEL,"C-202, EARTH ELEGANCE, KALOL, C-202, KALOL, KALOL","[{""NIC5DigitId"":""82990"",""Description"":""Other business support service activities n.e.c.""}]"
24,GUJARAT,446,GANDHINAGAR,382835,11/8/2025,THAKOR REKHABEN PRAVINJI,"6/40, THAKOR VAS, RIDROL, 6/40, RIDROL, GANDHINAGAR","[{""NIC5DigitId"":""79110"",""Description"":""Travel agency activities""}]"
24,GUJARAT,446,GANDHINAGAR,382013,11/8/2025,D B ENTERPRISE,"1ST FLOOR, SAI COMPLEX, SECTOR 13, 1ST FLOOR, 1ST, GANDHINAGAR","[{""NIC5DigitId"":""10750"",""Description"":""Manufacture of prepared meals and dishes""}]"
24,GUJARAT,446,GANDHINAGAR,382729,11/8/2025,Gayatri Enterprise,"3414/1/C,Phase-4, GIDC, Mahesana-Ahmedabad Highway, 3414/1/C,Phase-4, 3414/1/C, Gandhinagar","[{""NIC5DigitId"":""96010"",""Description"":""Washing and (dry-) cleaning of textile and fur products""}]"
24,GUJARAT,446,GANDHINAGAR,382610,11/8/2025,HITESH VISHNUBHAI RAVAL,"00, RAVAL VAS, NEAR POLICE STATION, 00, 0, GANDHINAGAR","[{""NIC5DigitId"":""49110"",""Description"":""Passenger rail transport""}]"
24,GUJARAT,446,GANDHINAGAR,382640,11/8/2025,PRAJAPATI ALPESHKUMAR MAFATLAL,"7, PRAJAPATI VAS, JALUND, 7, JALUND, GANDHINAGAR","[{""NIC5DigitId"":""79110"",""Description"":""Travel agency activities""}]"
24,GUJARAT,446,GANDHINAGAR,382030,12/8/2025,SHREEJI CONSTRUCTION,"749/1, JAGRUTI PARK, SECTOR 30, 749/1, 0, GANDHINAGAR","[{""NIC5DigitId"":""41001"",""Description"":""Construction of buildings carried out on own-account basis or on a fee or contract basis""}]"
