LG_ST_Code,State,LG_DT_Code,District,Pincode,RegistrationDate,EnterpriseName,CommunicationAddress,Activities
24,GUJARAT,675,GIR SOMNATH,362720,27/05/2021,GURUKRUPA ROAD LINES,"03, GURUKRUPA, MAIN ROAD, 03, 03, KODINAR","[{""NIC5DigitId"":""49231"",""Description"":""Motorised road freight transport""}]"
24,GUJARAT,675,GIR SOMNATH,362268,17/09/2021,The Famous,"House of Bhagabhai, Bhagabhai Barad, Savni Road, House of Bhagabhai, 1, Veraval","[{""NIC5DigitId"":""63910"",""Description"":""News agency activities""}]"
24,GUJARAT,675,GIR SOMNATH,362265,5/4/2021,BHAVYA ELECTRIC,"1, SIDHHI VINAYAK COM, 80 FOOT ROAD, 1, 1, VERVAL","[{""NIC5DigitId"":""27400"",""Description"":""Manufacture of electric lighting equipment""}]"
24,GUJARAT,675,GIR SOMNATH,362565,23/10/2020,Mahira Organics,"37, Nilkanth, Bhaktinagar Society, 37, Girgadhda, Dhokadava","[{""NIC5DigitId"":""10795"",""Description"":""Grinding and processing of spices""}]"
24,GUJARAT,675,GIR SOMNATH,362266,19/01/2021,YASIN MEAT SHOP,"DARI VILLAGE, DARI, DARI, DARI VILLAGE, TAL VERAVAL, VERAVAL","[{""NIC5DigitId"":""10101"",""Description"":""Mutton-slaughtering, preparation""}]"
24,GUJARAT,675,GIR SOMNATH,362268,5/10/2021,CHOPADA RANABHAI LAKHAMANBHAI,"HARBHOLE SOCIETY, BHALKA,, BHALPARA, HARBHOLE SOCIETY, VERAVAL, VERAVAL","[{""NIC5DigitId"":""36000"",""Description"":""Water collection, treatment and supply""}]"
24,GUJARAT,675,GIR SOMNATH,362560,9/10/2022,M/S HARBHOLE BUILDERS AND CONSTRUCTION,"., M/S HARBHOLE BUILDERS AND CONSTRUCTION, AMBAJI NAGAR, ., 18A, UNA","[{""NIC5DigitId"":""41001"",""Description"":""Construction of buildings carried out on own-account basis or on a fee or contract basis""}]"
24,GUJARAT,675,GIR SOMNATH,362265,9/10/2022,PRADIP RASIKLAL RATHOD,"MOCHINAGAR, OPP SINDHI VANDI, B-H. SAIBABA TEMPLE, MOCHINAGAR, VERAVAL, Veraval","[{""NIC5DigitId"":""56210"",""Description"":""Event catering""}]"
24,GUJARAT,675,GIR SOMNATH,362150,3/10/2022,M/S RAGHULEELA GROUP OF RESORTS,"404, VRAJBHUMI APPT, TA  TALALA, 404, AT  TALALA, DIST  GIRSOMNATH","[{""NIC5DigitId"":""55101"",""Description"":""Hotels and Motels, inns, resorts providing short term lodging facilities; includes accommodation in house boats""},{""NIC5DigitId"":""56101"",""Description"":""Restaurants without bars""}]"
24,GUJARAT,675,GIR SOMNATH,362265,17/08/2022,CHANDRASHILA DRY FISH,"Plot No.15, Nalia Godi, Bander Road, Plot No.15, Port Area, Veraval","[{""NIC5DigitId"":""11044"",""Description"":""Manufacture of ice""},{""NIC5DigitId"":""46303"",""Description"":""Wholesale of meat, fish & eggs""}]"
24,GUJARAT,675,GIR SOMNATH,362265,29/07/2021,MORI SEA FOOD,"0, LUCKY COLONY, TALALA ROAD, 0, NEAR SOMNATH TALKIES, VERAVAL","[{""NIC5DigitId"":""10204"",""Description"":""Processing and preserving of fish crustacean and similar foods""}]"
24,GUJARAT,675,GIR SOMNATH,362560,15/04/2024,BAPA SITARAM WELDING WORK,"59, BHADIYADAR, BHADIYADAR MAIN ROAD BHACHA, 59, UNA, UNA","[{""NIC5DigitId"":""25111"",""Description"":""Manufacture of doors, windows and their frames, shutters and rolling shutters, gates and similer articles used on buildings""}]"
24,GUJARAT,675,GIR SOMNATH,362265,12/4/2022,PIYANSHI SEA FOOD,"Quarter  No. 5, Nagar Palika Quarter, Opp Soni Vandi, Quarter  No. 5, 0, Veraval","[{""NIC5DigitId"":""47213"",""Description"":""Retail sale of meat, meat products, poultry products, fish, other seafood and products thereof""},{""NIC5DigitId"":""10209"",""Description"":""Production, processing and preservation of other fish products n.e.c.""}]"
24,GUJARAT,675,GIR SOMNATH,362265,16/11/2021,Shree Ramsagar,"0, Bhidiya, Bhidiya, 0, ., Veraval","[{""NIC5DigitId"":""47190"",""Description"":""Other retail sale in non-specialized stores""}]"
