LG_ST_Code,State,LG_DT_Code,District,Pincode,RegistrationDate,EnterpriseName,CommunicationAddress,Activities
24,GUJARAT,448,JUNAGADH,362225,21/09/2021,KAJALBEN PUNJABHAI SOLANKI,",, ,, MAKTUPUR, ,, ,, MANGROLA","[{""NIC5DigitId"":""81100"",""Description"":""Combined facilities support activities""},{""NIC5DigitId"":""82990"",""Description"":""Other business support service activities n.e.c.""}]"
24,GUJARAT,448,JUNAGADH,362315,14/07/2021,UMESH INDUSTRIES,"PLOT NO - 6, JUNAGADH - HIGHWAY, JUNAGADH - HIGHWAY, PLOT NO - 6, PLOT NO - 6, CHOKI - SORATH","[{""NIC5DigitId"":""46909"",""Description"":""Other non-specialised wholesale trade n.e.c.""}]"
24,GUJARAT,448,JUNAGADH,362001,15/09/2020,MANOJ POSHIYA,"3, NIKUNJ, ZANZARDA ROAD, 3, JUNAGADH, JUNAGADH","[{""NIC5DigitId"":""69201"",""Description"":""Accounting, bookkeeping and auditing activities""}]"
24,GUJARAT,448,JUNAGADH,362001,27/09/2021,THE PIXEL VISION,"F-8,FIRST FLOOR, MARRY GOLD IV COMPLEX, JOSHIPURA MAIN ROAD, F-8,FIRST FLOOR, SARDARPARA, JUNAGADH","[{""NIC5DigitId"":""59112"",""Description"":""Video production""},{""NIC5DigitId"":""74201"",""Description"":""Commercial and consumer photograph production""}]"
24,GUJARAT,448,JUNAGADH,362001,27/09/2021,AST & OVERSEAS,"G-18, Heena Complex,, Old S.T. Road, G-18, Ground Floor, Junagadh","[{""NIC5DigitId"":""45102"",""Description"":""Wholesale and retail sale of used motor vehicles""}]"
24,GUJARAT,448,JUNAGADH,362630,26/01/2021,SHREE RAM AUTO PARTS,"1, OPP PETROL PUMP, JUNAGADH ROAD, 1, 1, MANAVADAR","[{""NIC5DigitId"":""45403"",""Description"":""Maintenance and repair of motor cycles, mopeds, scooters and three wheelers""}]"
24,GUJARAT,448,JUNAGADH,362001,14/07/2021,M/S THE HOME SHOP,"THE HOME SHOP, Opp New Nowelty Fur., Vanthali Road, THE HOME SHOP, Vadala Fatak, Junagadh","[{""NIC5DigitId"":""52109"",""Description"":""Storage and warehousing n.e.c.[Includes general merchandise warehouses and warehousing of furniture, automobiles, gas and oil, chemicals, textiles etc. Also included is storage of goods in foreign trade zones]""},{""NIC5DigitId"":""56291"",""Description"":""Activities of food service contractors (e.g. for transportation companies)""}]"
24,GUJARAT,448,JUNAGADH,362001,21/09/2021,KORADIYA NIKUNJ DAYALAL,"ROOM NO 2, GROUND FLOOR, GATRAD KRUPA, NEAR BYPASS ROAD, SUDAMA PARK, ROOM NO 2, GANGA JADIYA PARK, JUNAGADH","[{""NIC5DigitId"":""96098"",""Description"":""General household maintenance activities like grooming of the floor, dusting, cleaning of utensils etc.""}]"
24,GUJARAT,448,JUNAGADH,362150,21/09/2021,RAM NARENDRA DEVASIBHAI,"0, GAM VISTAR, TALALA ROAD, 0, TALALA, TALALA","[{""NIC5DigitId"":""49300"",""Description"":""Transport via pipeline""}]"
24,GUJARAT,448,JUNAGADH,362001,17/07/2021,AVYUKT SURGICAL HOSPITAL,"3RD FLOOR, GARDEN ICON, ZANZARDA CROSS ROAD, 3RD FLOOR, NA, JUNAGADH","[{""NIC5DigitId"":""86100"",""Description"":""Hospital activities""},{""NIC5DigitId"":""86201"",""Description"":""Medical practice activities""},{""NIC5DigitId"":""86904"",""Description"":""Activities of nurses, masseures, physiotherapists or other para-medical practitioners""},{""NIC5DigitId"":""87100"",""Description"":""Nursing care facilities""},{""NIC5DigitId"":""86909"",""Description"":""Other human health activities n.e.c. (including independent ambulance activities)""}]"
24,GUJARAT,448,JUNAGADH,362250,29/01/2021,MAHADEV FRUIT SUPPLIYER,"., MAHADEV FRUITS SUPPLIYER, TA MALIYA HATINA, ., AT KUKASWADA, DIST JUNAGADH","[{""NIC5DigitId"":""56291"",""Description"":""Activities of food service contractors (e.g. for transportation companies)""},{""NIC5DigitId"":""56303"",""Description"":""Fruit juice bars""},{""NIC5DigitId"":""10307"",""Description"":""Canning of fruits and vegetables""}]"
24,GUJARAT,448,JUNAGADH,362255,22/09/2021,CHOVATIYA IRFAN SIDIBHAI,"24, PALDI, PALDI, 24, 1, PATAN-VERAVAL","[{""NIC5DigitId"":""43219"",""Description"":""Other electrical electrical installation n.e.c.""}]"
24,GUJARAT,448,JUNAGADH,362227,15/07/2021,M/S SEIL POLYMER,"SR.NO. 321,324/5, M/S SEIL POLYMER, VERAVAL ROAD, SR.NO. 321,324/5, PLOT NO.1A,, KESHOD","[{""NIC5DigitId"":""22209"",""Description"":""Manufacture of other plastics products n.e.c""}]"
24,GUJARAT,448,JUNAGADH,362610,26/01/2021,JAY VACHHRAJ PETROLEUM,"KHANJADHAR, KANJHA, VANTHALI, KHANJADHAR, KANJHA, Junagadh","[{""NIC5DigitId"":""47300"",""Description"":""Retail sale of automotive fuel in specialized stores [includes the activity of petrol filling stations.""},{""NIC5DigitId"":""49231"",""Description"":""Motorised road freight transport""}]"
