LG_ST_Code,State,LG_DT_Code,District,Pincode,RegistrationDate,EnterpriseName,CommunicationAddress,Activities
24,GUJARAT,449,KACHCHH,370110,9/6/2022,SUNIL HIRA SUTHAR,"Plot No.332, Swaminarayan Nagar, NR Govardhan Parvat, Plot No.332, Plot No.332, Anjar","[{""NIC5DigitId"":""49300"",""Description"":""Transport via pipeline""}]"
24,GUJARAT,449,KACHCHH,370645,7/8/2022,SAJID IBRAHIM BAKALI,"KOTHARA, KOTHARA, ABDASA, KOTHARA, ABDASA, KOTHARA","[{""NIC5DigitId"":""53200"",""Description"":""Courier activities""}]"
24,GUJARAT,449,KACHCHH,370110,7/8/2022,NANDANI BOUTIQUE,"390, AMBICA TOWNSHIP, ANJAR, 390, ANJAR, ANJAR KUTCH","[{""NIC5DigitId"":""47711"",""Description"":""Retail sale of readymade garments, hosiery goods, other articles of clothing and clothing accessories such as gloves, ties, braces etc.""},{""NIC5DigitId"":""74101"",""Description"":""Fashion design related to textiles, wearing apparel, shoes, jewelry, furniture and other fashion goods as well as other personal or household goods""},{""NIC5DigitId"":""14105"",""Description"":""Custom tailoring""}]"
24,GUJARAT,449,KACHCHH,370205,6/8/2022,UMESH PASAWAN,"1 - A, AMBEDKAR SOCIETY, ANJAR ROAD, 1 - A, AMBEDKAR SOCIETY, Adipur","[{""NIC5DigitId"":""96020"",""Description"":""Hairdressing and other beauty treatment""}]"
24,GUJARAT,449,KACHCHH,370110,27/11/2021,KUTCH CRANE SERVICE,"Plot no-132, Gurukul-1, Anjar, Plot no-132, Kachchh, Anjar","[{""NIC5DigitId"":""77303"",""Description"":""Renting and operational leasing of construction and civil-engineering machinery and equipment without operator""}]"
24,GUJARAT,449,KACHCHH,370201,27/11/2021,HONEST ENTERPRISE,"PLOT NO.679, SECTOR NO.05, SECTOR NO.05, PLOT NO.679, PLOT NO.679, GANDHIDHAM","[{""NIC5DigitId"":""82990"",""Description"":""Other business support service activities n.e.c.""}]"
24,GUJARAT,449,KACHCHH,370001,25/01/2022,KRISHNA MANDAP SERVICE,"SHOP NO 6, KRISHNA MANDAP SERVICE, SURALBHIT ROAD, SHOP NO 6, -, BHUJ","[{""NIC5DigitId"":""74102"",""Description"":""Activities of interior decorators""},{""NIC5DigitId"":""96098"",""Description"":""General household maintenance activities like grooming of the floor, dusting, cleaning of utensils etc.""}]"
24,GUJARAT,449,KACHCHH,370240,26/04/2022,YASH CONSOLE BOX,"PLOT NO - 4-5, KOMAL COMPLEX, BHARATNAGAR, PLOT NO - 4-5, SHOP NO 2, GANDHIDHAM","[{""NIC5DigitId"":""32909"",""Description"":""Manufacture of other articles n.e.c.""}]"
24,GUJARAT,449,KACHCHH,370001,15/04/2022,NIHAR BEVERAGES & ICE,"VRUNDAVAN PARK SOCIE, OLD RAILWAY STATION ROAD, BHUJ, VRUNDAVAN PARK SOCIE, 0, BHUJ","[{""NIC5DigitId"":""11043"",""Description"":""Manufacture of mineral water""}]"
24,GUJARAT,449,KACHCHH,370001,13/02/2022,IRAA AYURVEDA,"49, odhav residency, mundra relocation site, 49, -, bhuj","[{""NIC5DigitId"":""20236"",""Description"":""Manufacture of hair oil, shampoo, hair dye etc. (includes manufacture of shampoos, hair sprays, hair fixers, hair oils, hair creams, hair dyes and bleaches and preparations for permanent waving or straightening of the hair etc.)""},{""NIC5DigitId"":""20237"",""Description"":""Manufacture of cosmetics and toileteries (includes manufacture of pre- shave, shaving or after shave preparations; personal deodorants and anti- respirants; perfumed bath salts and other bath preparations; beauty or make-up preparations and preparations for the care of the skin, other than medicaments; manicure and pedicure preparations etc.)""},{""NIC5DigitId"":""20231"",""Description"":""Manufacture of soap all forms""}]"
