LG_ST_Code,State,LG_DT_Code,District,Pincode,RegistrationDate,EnterpriseName,CommunicationAddress,Activities
24,GUJARAT,451,MAHESANA,384001,16/11/2023,Quantum Bharat Technology,"204, Anmol height, Para Tower, 204, 204, Mehsana","[{""NIC5DigitId"":""62020"",""Description"":""Computer consultancy and computer facilities management activities""}]"
24,GUJARAT,451,MAHESANA,382165,24/01/2024,VINODBHAI TRIBHOVANDAS SADHU,"00, RAMJI MANDIR, KALYANPURA ROAD, 00, 00, KADI","[{""NIC5DigitId"":""58199"",""Description"":""Other publishing activities (including on-line) n.e.c.""}]"
24,GUJARAT,451,MAHESANA,384002,24/01/2024,M/S KRAZY FOODS,"A-315/A-316, TROGON-2, RADHANPUR ROAD, A-315/A-316, GANESH MOTORS, MEHSANA","[{""NIC5DigitId"":""56101"",""Description"":""Restaurants without bars""}]"
24,GUJARAT,451,MAHESANA,384315,26/02/2024,ISHVARJI THAKOR,"ISHVARJI THAKOR, 60, NR.BUS STAND, ISHVARJI THAKOR, 01, VISNAGAR","[{""NIC5DigitId"":""46302"",""Description"":""Wholesale of raw milk & dairy products""}]"
24,GUJARAT,451,MAHESANA,384001,24/01/2024,VIKRAMBHAI MAMRABHAI LUHARIYA,"LUHARIYA SOCIETY, MAGPARA SAME, MAGPARA SAME, LUHARIYA SOCIETY, LUHARIYA SOCIETY, MEHSANA","[{""NIC5DigitId"":""96098"",""Description"":""General household maintenance activities like grooming of the floor, dusting, cleaning of utensils etc.""}]"
24,GUJARAT,451,MAHESANA,384002,23/09/2021,M/S RUCHA MOTORS LLP,"Sahkar Chember, C/o. Gokul Tractor, C/o. Gokul Tractor, Sahkar Chember, C/o. Gokul Tractor, Mehsana","[{""NIC5DigitId"":""45200"",""Description"":""Maintenance and repair of motor vehicles""},{""NIC5DigitId"":""45101"",""Description"":""Wholesale and retail sale of new vehicles (passenger motor vehicles, ambulances, minibuses, jeeps, trucks, trailers and semi-trailers)""},{""NIC5DigitId"":""45300"",""Description"":""Sale of motor vehicle parts and accessories""},{""NIC5DigitId"":""45402"",""Description"":""Wholesale or retail sale of parts and accessories of motorcycles, mopeds, scooters and three wheelers""},{""NIC5DigitId"":""45403"",""Description"":""Maintenance and repair of motor cycles, mopeds, scooters and three wheelers""}]"
24,GUJARAT,451,MAHESANA,384002,17/02/2024,LION KING FASHION HUB,"A-3 A-4, JOYOS HUBTOWN, MODHERA CROSS ROAD, A-3 A-4, ,, MAHESANA","[{""NIC5DigitId"":""47510"",""Description"":""Retail sale of textiles in specialized stores""}]"
24,GUJARAT,451,MAHESANA,382870,9/11/2023,Xpark Trade,"C159, Shardul Township, TB Road, C159, C, Vijapur","[{""NIC5DigitId"":""46599"",""Description"":""Wholesale of other machinery, equipment and supplies n.e.c. including computer-controlled machine tools and computer-controlled sewing and knitting machines""},{""NIC5DigitId"":""47300"",""Description"":""Retail sale of automotive fuel in specialized stores [includes the activity of petrol filling stations.""}]"
24,GUJARAT,451,MAHESANA,384002,18/11/2023,M/S MONK INTERNATIONAL,"PLOT No. 3, GIDC, PHASE II DEDIYASAN, PLOT No. 3, MEHSANA, MEHSANA","[{""NIC5DigitId"":""46909"",""Description"":""Other non-specialised wholesale trade n.e.c.""}]"
24,GUJARAT,451,MAHESANA,382710,27/02/2024,Manilal Parlour / MANILAL PRAJAPTI,"29, Manilal Parlour, Kherva, 29, Kherva, Mahesana","[{""NIC5DigitId"":""47110"",""Description"":""Retail sale in non-specialized stores with food, beverages or tobacco predominating""}]"
24,GUJARAT,451,MAHESANA,384001,27/02/2024,DAKHANI TRAVELLING,"RAJESH AUTO MOBILES, BEHIND JILLA SAHKARI SANGH, MAHESANA, RAJESH AUTO MOBILES, MAHESANA, MAHESANA","[{""NIC5DigitId"":""79110"",""Description"":""Travel agency activities""}]"
24,GUJARAT,451,MAHESANA,384001,24/12/2023,BIND SAVANKUMAR,"0, AMBAJI PARA, SAIBABA ROAD, 0, 0, MEHSANA","[{""NIC5DigitId"":""56102"",""Description"":""Cafeterias, fast-food restaurants and other food preparation in market stalls""}]"
24,GUJARAT,451,MAHESANA,384002,7/9/2021,UMIYA ENTERPRISE,"K-102, RADHE KIRTAN, RADHANPUR ROAD, K-102, -, MEHSANA","[{""NIC5DigitId"":""42902"",""Description"":""Construction of waterways, harbours and river works, dredging of waterways""},{""NIC5DigitId"":""42909"",""Description"":""Other civil engineering projects n.e.c.""}]"
24,GUJARAT,451,MAHESANA,384002,20/09/2021,SHIV GRAPHICS,"GL 33, APOLLO ENCLAVE, MODHERA CHOKADI, GL 33, OPP JAIN TEMPLE, MEHSANA","[{""NIC5DigitId"":""18112"",""Description"":""Printing of magazines and other periodicals, books and brochures, maps, atlases, posters etc.""}]"
24,GUJARAT,451,MAHESANA,384335,23/12/2023,SHRI RAMESHKUMAR MANKABHAI RABARI,"00, VALASANA, RABARI VAS, 00, 00, VADNAGAR","[{""NIC5DigitId"":""56291"",""Description"":""Activities of food service contractors (e.g. for transportation companies)""}]"
24,GUJARAT,451,MAHESANA,384410,17/02/2024,SANJAYJI THAKOR,"THAKOR VAS, PALAJ, MAHESANA, THAKOR VAS, MAHESANA, MAHESANA","[{""NIC5DigitId"":""47214"",""Description"":""Retail sale of bakery products, dairy products and eggs""}]"
24,GUJARAT,451,MAHESANA,384335,26/02/2024,SHREEJI SAW MILL,"0, SHREEJI SAW MILL, VADNAGAR - IDAR HIGHWAY ROAD, 0, 0, VADNAGAR","[{""NIC5DigitId"":""16109"",""Description"":""Activities related to saw milling and planing of wood n.e.c.""}]"
24,GUJARAT,451,MAHESANA,384315,3/8/2022,CHAMUNDA VIDEO VISION,"TARABH, TARABH, TARABH, TARABH, TARABH, VISNAGAR","[{""NIC5DigitId"":""90009"",""Description"":""Other creative arts and and entertainment activities""}]"
24,GUJARAT,451,MAHESANA,384315,3/11/2023,CHAMUNDA FURNITURE,"0, SAHIBAG SAME, SAHIBAG SAME, 0, 0, Visnagar","[{""NIC5DigitId"":""96098"",""Description"":""General household maintenance activities like grooming of the floor, dusting, cleaning of utensils etc.""}]"
24,GUJARAT,451,MAHESANA,384002,9/2/2024,RUDRA TRADING,"0, JAY GURUDUTT SHOPING CENTER, S T WORK SHOP ROAD, 0, GROUND FLOOR, MEHSANA","[{""NIC5DigitId"":""46909"",""Description"":""Other non-specialised wholesale trade n.e.c.""}]"
24,GUJARAT,451,MAHESANA,384170,5/2/2024,RAJVI TOBACCO,"7/13/83 A, 1 ST FLOOR, UNJHA, 7/13/83 A, UNJHA, UNJHA","[{""NIC5DigitId"":""46307"",""Description"":""Wholesale of manufactured tobacco & tobacco products""}]"
24,GUJARAT,451,MAHESANA,384170,3/2/2024,NEW A ONE AMUL PARLOUR,"6, KANYA CHHATRALAY, STATION ROAD, 6, UNJHA, UNJHA","[{""NIC5DigitId"":""47110"",""Description"":""Retail sale in non-specialized stores with food, beverages or tobacco predominating""}]"
24,GUJARAT,451,MAHESANA,384003,8/1/2024,ZALA NITESH,"00, KHARIYAVAS, KHARIYAVAS, 00, 00, PALAVASNA","[{""NIC5DigitId"":""56292"",""Description"":""Operation of canteens or (e.g. for factories, offices, hospitals or schools) on a concession basis""}]"
24,GUJARAT,451,MAHESANA,384001,4/12/2023,ASTHA INVESTMENTS,"2nd Floor, Classic Empire, Mehsana - Ahmedabad Highway, 2nd Floor, ., Mehsana","[{""NIC5DigitId"":""66110"",""Description"":""Administration of financial markets""}]"
24,GUJARAT,451,MAHESANA,382715,22/02/2024,CHIRAGBHAI MOPATAJI THAKOR,"0, SADRA, SADRA, 0, SADRA, MAHESANA","[{""NIC5DigitId"":""49224"",""Description"":""Taxi operation""}]"
24,GUJARAT,451,MAHESANA,382870,19/12/2023,Laxmi tobacco,"0, Ranchhodpura, Ranchhodpura, 0, Ranchhodpura, vijapur","[{""NIC5DigitId"":""47110"",""Description"":""Retail sale in non-specialized stores with food, beverages or tobacco predominating""}]"
24,GUJARAT,451,MAHESANA,382830,20/10/2023,UMIYA PARLOUR,"VYAPAR BHAVAN, VYAPAR BHAVAN, APPROCH ROAD, VYAPAR BHAVAN, OPP :- APMC KUKARWADA, MEHSANA","[{""NIC5DigitId"":""47110"",""Description"":""Retail sale in non-specialized stores with food, beverages or tobacco predominating""}]"
24,GUJARAT,451,MAHESANA,382715,15/12/2023,DHVEN SELECTION,"KUNDAL, KUNDAL, KUNDAL, KUNDAL, -, KADI","[{""NIC5DigitId"":""14101"",""Description"":""Manufacture of all types of textile garments and clothing accessories""}]"
24,GUJARAT,451,MAHESANA,384002,19/02/2024,ONYX EXIM,"601, SAUNDARYA SKYLON, MODHERA ROAD, 601, C, MAHESANA","[{""NIC5DigitId"":""90009"",""Description"":""Other creative arts and and entertainment activities""}]"
24,GUJARAT,451,MAHESANA,382715,19/02/2024,LAXMI NARAYAN PHARMA DISTRIBUTOR,"7, NANDANVAN BUNGLOWS, NANIKADI ROAD, 7, KADI, KADI","[{""NIC5DigitId"":""46497"",""Description"":""Wholesale of pharmaceutical and medical goods""}]"
24,GUJARAT,451,MAHESANA,384325,19/03/2024,Barot ent,"First, Barot, Sang road, First, Mehesana, Kheralu","[{""NIC5DigitId"":""96030"",""Description"":""Funeral and related activities""}]"
