LG_ST_Code,State,LG_DT_Code,District,Pincode,RegistrationDate,EnterpriseName,CommunicationAddress,Activities
24,GUJARAT,669,MAHISAGAR,389230,17/11/2025,K D Caterers,"7, Purnanad Society, Charel road, 7, 1, Lunawada","[{""NIC5DigitId"":""56210"",""Description"":""Event catering""}]"
24,GUJARAT,669,MAHISAGAR,389230,17/11/2025,KHANT SALAMBHAI AMERBHAI,"00, UKEDI, UKEDI, 00, 00, LUNAWADA","[{""NIC5DigitId"":""96098"",""Description"":""General household maintenance activities like grooming of the floor, dusting, cleaning of utensils etc.""}]"
24,GUJARAT,669,MAHISAGAR,388260,17/11/2025,MILK BUISNESS AND FARMER,"0, CHIKALI JHOHA, CHIKALI JOJA, 0, VIRPUR, VIRPUR","[{""NIC5DigitId"":""45102"",""Description"":""Wholesale and retail sale of used motor vehicles""}]"
24,GUJARAT,669,MAHISAGAR,388260,13/11/2025,farming and milkbusiness,"kheroli, kheroli, kheroli, kheroli, mahisagar, virpur","[{""NIC5DigitId"":""96098"",""Description"":""General household maintenance activities like grooming of the floor, dusting, cleaning of utensils etc.""}]"
24,GUJARAT,669,MAHISAGAR,389260,13/11/2025,RUBEE SADI CENTER,"193/A/5, RUBEE SADI CENTER, SANT ROAD, 193/A/5, -, RUBEE SADI CENTER","[{""NIC5DigitId"":""47711"",""Description"":""Retail sale of readymade garments, hosiery goods, other articles of clothing and clothing accessories such as gloves, ties, braces etc.""},{""NIC5DigitId"":""47820"",""Description"":""Retail sale via stalls and markets of textiles, clothing and footwear""},{""NIC5DigitId"":""46411"",""Description"":""Wholesale of textiles, fabrics, yarn, household linen, articles of clothing, floor coverings and tapestry, sports clothes""},{""NIC5DigitId"":""46419"",""Description"":""Wholesale of other clothing items n.e.c.""}]"
24,GUJARAT,669,MAHISAGAR,388270,13/11/2025,CHAMUDA HARDWARE AND BULDING MATERIALS,"SHOP NO.5, MARUTI BUSINESS PARK, LALSAR, SHOP NO.5, LALSAR, LUNAWADA","[{""NIC5DigitId"":""47190"",""Description"":""Other retail sale in non-specialized stores""}]"
24,GUJARAT,669,MAHISAGAR,388255,13/11/2025,Laxmi Electric and Electronic,"Darjiwad, Main bazar, Balasinor, Darjiwad, 1, Balasinor","[{""NIC5DigitId"":""95210"",""Description"":""Repair of consumer electronics""}]"
24,GUJARAT,669,MAHISAGAR,388260,20/11/2025,THAKOR CHANDRIKABEN VAJESINH,"RAJENA, RAJENA, VIRPUR, RAJENA, VIRPUR, VIRPUR","[{""NIC5DigitId"":""14105"",""Description"":""Custom tailoring""}]"
24,GUJARAT,669,MAHISAGAR,389235,20/11/2025,UDABHAI NANABHAI KHANT,"0, khant faliyu, 0, 0, 0, 0","[{""NIC5DigitId"":""49110"",""Description"":""Passenger rail transport""}]"
24,GUJARAT,669,MAHISAGAR,389260,20/11/2025,BIRSA LEGAL SERVICES,"43, SURPUR, UKHRELI ROAD, 43, SANTRAMPUR, SANTRAMPUR","[{""NIC5DigitId"":""69100"",""Description"":""Legal activities""}]"
