LG_ST_Code,State,LG_DT_Code,District,Pincode,RegistrationDate,EnterpriseName,CommunicationAddress,Activities
24,GUJARAT,673,MORBI,363655,17/11/2025,sanjari sels,"0, davalshavas, davalshavas, 0, 0, amran","[{""NIC5DigitId"":""14101"",""Description"":""Manufacture of all types of textile garments and clothing accessories""}]"
24,GUJARAT,673,MORBI,363641,17/11/2025,HARESH SAVJIBHAI MUDHOTARIYA,"Labhnagar society 2, Home no 20, Dharampur road, Labhnagar society 2, 02, Morbi","[{""NIC5DigitId"":""49231"",""Description"":""Motorised road freight transport""}]"
24,GUJARAT,673,MORBI,363641,13/11/2025,PUJA ENTERPRICE,"GF SHOP NO 1, PATEL SHOPPING, RAVAPAR KENAL ROAD, GF SHOP NO 1, OPP AVANI CHOKADI, MORBI","[{""NIC5DigitId"":""46633"",""Description"":""Wholesale of hardware and sanitary fittings and fixtures and flat glass including tools such as hammers, saws, screwdrivers and other hand tools""}]"
24,GUJARAT,673,MORBI,363621,13/11/2025,Kadivar ashokbhai keshubhai,"Devipujak vas, Wankaner, Devipujak vas, Devipujak vas, Wankaner, Morbi","[{""NIC5DigitId"":""49231"",""Description"":""Motorised road freight transport""}]"
24,GUJARAT,673,MORBI,363621,13/11/2025,A P CATTLE FEED,"HOUSE NO. 40,, NEAR GRAM PANCHAYAT  OFFICE, KERALA ROAD,, HOUSE NO. 40,, HOUSE NO. 40,, WANKANER,","[{""NIC5DigitId"":""46201"",""Description"":""Wholesale of cereals & pulses""},{""NIC5DigitId"":""46204"",""Description"":""Wholesale of straw, fodder & other animal\/poultry feed""},{""NIC5DigitId"":""46209"",""Description"":""Whole sale of other agriculture raw materials n.e.c.""}]"
24,GUJARAT,673,MORBI,363641,13/11/2025,MARUTI PAAN & COLDRINGS,"-, -, SANALA BAYPASS ROAD, -, -, MORBI","[{""NIC5DigitId"":""47110"",""Description"":""Retail sale in non-specialized stores with food, beverages or tobacco predominating""}]"
24,GUJARAT,673,MORBI,363621,13/11/2025,DEKAVADIYA ILIYAS FATEBHAI,"338, -, BANGLA STREET AREA, 338, -, WANKANER","[{""NIC5DigitId"":""46209"",""Description"":""Whole sale of other agriculture raw materials n.e.c.""}]"
24,GUJARAT,673,MORBI,363641,13/11/2025,DHARMENDRASINH RUPUBHA ZALA,"DARBAR GADH, SHAKAT SHANALA, MORBI, DARBAR GADH, MORBI, MORBI","[{""NIC5DigitId"":""49223"",""Description"":""Rental of private cars with driver""}]"
24,GUJARAT,673,MORBI,363641,13/11/2025,MAITRIK CERAMIKA,"Flat No.601, Swarg Vihar, Lilapar Canal Road, Flat No.601, B/h Ramco Bunglow, Tejas Park, Morbi","[{""NIC5DigitId"":""46909"",""Description"":""Other non-specialised wholesale trade n.e.c.""}]"
24,GUJARAT,673,MORBI,363621,20/11/2025,Kuldevi Kirana Store,"-, At Matel Sartanpar Road, Ta - Wankaner, -, Back Side Gate,, -","[{""NIC5DigitId"":""47110"",""Description"":""Retail sale in non-specialized stores with food, beverages or tobacco predominating""}]"
