LG_ST_Code,State,LG_DT_Code,District,Pincode,RegistrationDate,EnterpriseName,CommunicationAddress,Activities
24,GUJARAT,452,NARMADA,393145,14/07/2021,PAINTER M.KHATRI,"1, 0, shak market road, 1, 0, rajpipla","[{""NIC5DigitId"":""73100"",""Description"":""Advertising""}]"
24,GUJARAT,452,NARMADA,393040,2/6/2021,ANGEL BEAUTY PARLOUR,"SAHYOG NAGAR, SAHYOG NAGAR, MOZDA ROAD, SAHYOG NAGAR, DEDIYA PADA, NARMADA","[{""NIC5DigitId"":""96020"",""Description"":""Hairdressing and other beauty treatment""}]"
24,GUJARAT,452,NARMADA,393145,30/09/2021,SHRI JALARAM TRANSPORT CO.,"162, SHRI JALARAM TRANSPORT CO., RAJPIPLA TA NANDOD, 162, 0, RAJPIPLA","[{""NIC5DigitId"":""49232"",""Description"":""Non-motorised road freight transport""}]"
24,GUJARAT,452,NARMADA,393145,24/11/2020,RITESH VASAVA,"juna station, na, na, juna station, na, rajpipla","[{""NIC5DigitId"":""52294"",""Description"":""Weighing of goods""}]"
24,GUJARAT,452,NARMADA,393150,17/02/2022,TRIVEDI VIJAYKUMAR,"JIOR, PATI, NARMADA, JIOR, NARAMADA, NARMADA","[{""NIC5DigitId"":""49219"",""Description"":""Other urban or suburban passenger transport n.e.c.""},{""NIC5DigitId"":""49223"",""Description"":""Rental of private cars with driver""}]"
24,GUJARAT,452,NARMADA,393050,25/02/2022,AMARSINGBHAI PRABHATSING VASAVA,"176,, MANDIR FALIYU, NARMADA ,TAWAL, 176,, PANCHPIPRI, TAWAL","[{""NIC5DigitId"":""46109"",""Description"":""Activities of other commission agents n.e.c. (including commission agents working in emerging areas for wholesale trade""}]"
24,GUJARAT,452,NARMADA,390020,6/10/2020,CONCEPTSHIELD INDIA PVT LTD,"202, Sanket Heights, Sunpharma Road, 202, Sunpharma Road, Vadodara","[{""NIC5DigitId"":""22209"",""Description"":""Manufacture of other plastics products n.e.c""}]"
24,GUJARAT,452,NARMADA,393025,13/04/2021,MANISHBHAI CHAUDHARI,"00, KUMBHAR FALIYU, SELAMBA, 00, 00, NARMADA","[{""NIC5DigitId"":""77299"",""Description"":""Renting of other personal and household goods n.e.c.""}]"
24,GUJARAT,452,NARMADA,393025,17/07/2021,SP GENRAL STORE,"302, SP genral store, Nishal faliyu javli, 302, 1, Sagbara","[{""NIC5DigitId"":""47110"",""Description"":""Retail sale in non-specialized stores with food, beverages or tobacco predominating""},{""NIC5DigitId"":""47611"",""Description"":""Retail sale of books of all kinds""},{""NIC5DigitId"":""17093"",""Description"":""Manufacture of printing, writing and photocopying paper ready for use""}]"
24,GUJARAT,452,NARMADA,393025,28/06/2022,PATIL VIKASBHAI PRAKASHBHAI,"MAIN ROAD FALIYU, GHANSERA, SAGBARA, MAIN ROAD FALIYU, SELAMBA, NARMADA","[{""NIC5DigitId"":""78200"",""Description"":""Temporary employment agency activities""}]"
