LG_ST_Code,State,LG_DT_Code,District,Pincode,RegistrationDate,EnterpriseName,CommunicationAddress,Activities
24,GUJARAT,453,NAVSARI,396521,17/11/2025,MEHULKUMAR CHANDRAKANT LAD,"0, KHUBHARVAD, CHIKHLI, 0, 0, CHIKHLI","[{""NIC5DigitId"":""49232"",""Description"":""Non-motorised road freight transport""}]"
24,GUJARAT,453,NAVSARI,396580,17/11/2025,Abdulaiyan Abdulrauf Shaikh,"0, 0, NAVSARI, 0, 0, NAVSARI","[{""NIC5DigitId"":""49231"",""Description"":""Motorised road freight transport""}]"
24,GUJARAT,453,NAVSARI,396463,17/11/2025,Yadav Shailendrakumar Syambahadur,"1953, jashoda nagar, sisodra, 1953, -, navsari","[{""NIC5DigitId"":""49231"",""Description"":""Motorised road freight transport""}]"
24,GUJARAT,453,NAVSARI,396060,13/11/2025,Sunilbhai Dineshbhai Patel,"S/O Dineshbhai Patel, 62 Nishal Faliya, Dholumber, S/O Dineshbhai Patel, Chikhli, Navsari","[{""NIC5DigitId"":""74102"",""Description"":""Activities of interior decorators""}]"
24,GUJARAT,453,NAVSARI,396590,13/11/2025,VANRAJ CARTING,"KAMDI FALIYU, SARA, SARA, KAMDI FALIYU, VANSDA, NAVSARI","[{""NIC5DigitId"":""47521"",""Description"":""Retail sale of building material such as bricks, wood, sanitary equipment""}]"
24,GUJARAT,453,NAVSARI,396560,13/11/2025,GREEN GARDEN RESTAURANT,"-, -, KHAREL ROAD, -, NEAR CANAL, CHIKHLI","[{""NIC5DigitId"":""56101"",""Description"":""Restaurants without bars""}]"
24,GUJARAT,453,NAVSARI,396450,13/11/2025,BHARATBHAI CHANDUBHAI PATIL,"65, SAI BANGLOWS, RAMNAGAR, EROO, 65, -, NAVSARI","[{""NIC5DigitId"":""47990"",""Description"":""Other retail sale not in stores, stalls or markets""}]"
24,GUJARAT,453,NAVSARI,396433,13/11/2025,RR PHOTOGRAPHY,"SADAK FALIYA, SARPORE, NAVSARI, SADAK FALIYA, SADAK FALIYA, CHIKHLI GJ","[{""NIC5DigitId"":""74209"",""Description"":""Other photographic activities""}]"
24,GUJARAT,453,NAVSARI,396450,13/11/2025,SACHIN PRAKASH KHEDKAR,"0, SURYANAGAR, REVANAGAR ROAD, 0, 0, NAVSARI","[{""NIC5DigitId"":""43303"",""Description"":""Interior and exterior painting, glazing, plastering and decorating of buildings or civil engineering structures""}]"
24,GUJARAT,453,NAVSARI,396350,20/11/2025,sanjay bharatkumar rana,"397, vankarwad, gadat, 397, 0, gandevi","[{""NIC5DigitId"":""47110"",""Description"":""Retail sale in non-specialized stores with food, beverages or tobacco predominating""}]"
24,GUJARAT,453,NAVSARI,396445,20/11/2025,AJ COMPRESSOR,"00, BAOMBAY COMPRESSOR, DIGI MOHALLO, ZARAVAD,, 00, 00, NAVSARI","[{""NIC5DigitId"":""33140"",""Description"":""Repair of electrical equipment""},{""NIC5DigitId"":""33190"",""Description"":""Repair of other equipment""}]"
24,GUJARAT,453,NAVSARI,396430,22/10/2025,Naru kirana store,"14 endhal, Vishwakarma, Navsari, 14 endhal, Gandevi, Navsari","[{""NIC5DigitId"":""47190"",""Description"":""Other retail sale in non-specialized stores""}]"
24,GUJARAT,453,NAVSARI,396475,23/10/2025,ALATTAS PERFUME,"3059, saiyadhuzaifa, NOORANI NAGAR, 3059, 3059, VESMA","[{""NIC5DigitId"":""20234"",""Description"":""Manufacture of perfumes and cologne de-eau""}]"
24,GUJARAT,453,NAVSARI,396040,20/11/2025,SABAR AUTO MULTI BRAND,"0, SHREE RANG COMPLEX, OPP APMC MARKET, 0, -, NAVSARI","[{""NIC5DigitId"":""45101"",""Description"":""Wholesale and retail sale of new vehicles (passenger motor vehicles, ambulances, minibuses, jeeps, trucks, trailers and semi-trailers)""}]"
24,GUJARAT,453,NAVSARI,396060,20/11/2025,BIPINBHAI LALLUBHAI CHAUDHARI,"15, MAL FALIYU, BANSDA, 15, VANSDA, VANSDA","[{""NIC5DigitId"":""10801"",""Description"":""Manufacture of cattle feed""}]"
24,GUJARAT,453,NAVSARI,396445,20/11/2025,PREMA JI CHA,"., NEAR NEW S.T. BUS DEPO, CHARPUL ROAD, ., ., NAVSARI","[{""NIC5DigitId"":""56302"",""Description"":""Tea\/coffee shops""}]"
24,GUJARAT,453,NAVSARI,396521,4/10/2025,RAKESH TRADERS,"161207, NAVA NAGAR, HOND, 161207, 161207, CHIKHLI","[{""NIC5DigitId"":""38300"",""Description"":""Materials recovery""}]"
24,GUJARAT,453,NAVSARI,396445,4/10/2025,SHRI JAY JALARAM KRIPA INVESTMENTS,"202, SACHI ARCADE, NR PRAJAPATI ASHRAM, 202, KUMBHARWAD, NAVSARI","[{""NIC5DigitId"":""64990"",""Description"":""Other financial service activities, except insurance and pension funding activities, n.e.c""}]"
24,GUJARAT,453,NAVSARI,396580,4/10/2025,GENERAL FARM AND NURSERY TRUST GANGPUR,"0, 0, 0, 0, 1, NAVSARI","[{""NIC5DigitId"":""10611"",""Description"":""Flour milling""},{""NIC5DigitId"":""10795"",""Description"":""Grinding and processing of spices""},{""NIC5DigitId"":""10799"",""Description"":""Other semi-processed, processed or instant foods n.e.c. except farinaceous products and malted foods and manufacturing activities like manufacture of egg powder, sambar powder etc. (this excludes the activities covered under 10619)""}]"
24,GUJARAT,453,NAVSARI,396590,4/10/2025,Jay ambe restaurant,"669 BHINAR KAJIYA FA, P D COMPLEX, UNAI to vansda rode, 669 BHINAR KAJIYA FA, 699 BHINAR KAJIYA FA, BHINAR","[{""NIC5DigitId"":""56102"",""Description"":""Cafeterias, fast-food restaurants and other food preparation in market stalls""}]"
24,GUJARAT,453,NAVSARI,396521,4/10/2025,JHULELAL PLASTIC,"2nd FLOOR, D A ITALIYA CHIKHLI KANYA SHALA SCHOOL, NAVSARI, 2nd FLOOR, CHIKHLI, NAVSARI","[{""NIC5DigitId"":""47592"",""Description"":""Retail sale of household utensils and cutlery, crockery, glassware, china and pottery""},{""NIC5DigitId"":""47593"",""Description"":""Retail sale of gas stoves, cooking\/kitchen appliances""},{""NIC5DigitId"":""47599"",""Description"":""Retail sale of other household appliances n.e.c. ( security systems, such as locking devices, safes, and vaults, without installation or maintenance services etc. , wooden, cork and wickerwork goods, sewing and knitting machine and other household utensils and durables n.e.c.)""}]"
24,GUJARAT,453,NAVSARI,396475,4/10/2025,MAITRI CATERERS,"3000, NANI KHADKI, VESMA ROAD, 3000, NANI KHADKI, NAVSARI","[{""NIC5DigitId"":""10740"",""Description"":""Manufacture of macaroni, noodles, couscous and similar farinaceous products""}]"
24,GUJARAT,453,NAVSARI,396590,5/9/2025,MILK TRADING,"AA, DESAI FALIYU, DESAI FALIYU, AA, AA, BHINAR","[{""NIC5DigitId"":""45200"",""Description"":""Maintenance and repair of motor vehicles""}]"
24,GUJARAT,453,NAVSARI,396521,5/9/2025,JK FURNITURE,"JK FURNITURE, JAYESH VAGARAM SUTHAR, JUNA VALSAD ROAD, JK FURNITURE, CHIKHLI, CHIKHLI","[{""NIC5DigitId"":""31001"",""Description"":""Manufacture of furniture made of wood""}]"
24,GUJARAT,453,NAVSARI,396421,5/9/2025,MULTANI MUSEF IMTIYAZ,"10, HALIMA VILLA, -, 10, -, NAVSARI","[{""NIC5DigitId"":""49231"",""Description"":""Motorised road freight transport""}]"
24,GUJARAT,453,NAVSARI,396445,3/10/2025,arkilo,"W. No. 8/2108, Anurag Plus, Madhumati Colony, Nr. Sayaji Liabrary, Digi Street, W. No. 8/2108, -, Navsari","[{""NIC5DigitId"":""62099"",""Description"":""Other information technology and computer service activities n.e.c""},{""NIC5DigitId"":""70200"",""Description"":""Management consultancy activities""},{""NIC5DigitId"":""71100"",""Description"":""Architectural and engineering activities and related technical consultancy""}]"
24,GUJARAT,453,NAVSARI,396321,3/10/2025,JIYANSH FARM AND NURSERY,"670, JIYANSH FARM AND NURSERY, AMBHARUN FALIYU, 670, VANSDA, NAVSARI","[{""NIC5DigitId"":""46205"",""Description"":""Wholesale of flowers and plants""},{""NIC5DigitId"":""01631"",""Description"":""Preparation of crops for primary markets, i.e. cleaning, trimming, grading, disinfecting""}]"
