LG_ST_Code,State,LG_DT_Code,District,Pincode,RegistrationDate,EnterpriseName,CommunicationAddress,Activities
24,GUJARAT,454,PANCH MAHALS,389350,24/08/2020,M/S YAMUNA CABLE ACCESSORIES PRIVATE LIMITED,"PLOT NO 113, GIDC PHASE II MASWAD, HALOL, PLOT NO 113, HALOL, HALOL","[{""NIC5DigitId"":""22207"",""Description"":""Manufacture of moulded industrial accessories of plastics [including electrical insulating fitting of plastics]""},{""NIC5DigitId"":""27320"",""Description"":""Manufacture of other electronic and electric wires and cables (insulated wire and cable made of steel, copper, aluminium)""},{""NIC5DigitId"":""27320"",""Description"":""Manufacture of other electronic and electric wires and cables (insulated wire and cable made of steel, copper, aluminium)""},{""NIC5DigitId"":""27320"",""Description"":""Manufacture of other electronic and electric wires and cables (insulated wire and cable made of steel, copper, aluminium)""}]"
24,GUJARAT,454,PANCH MAHALS,389001,4/8/2021,J.K.PANCHAL,"7/168, KHARAKUVA FALIYU, NADISAR, 7/168, 0, GODHRA","[{""NIC5DigitId"":""49231"",""Description"":""Motorised road freight transport""}]"
24,GUJARAT,454,PANCH MAHALS,389001,24/10/2020,M/S RAJ MANUFACTURING,"NA, RAJ MANUFACTURING, CHIKHODHARA, NA, OPP AMAN GAS POINT, GODHRA","[{""NIC5DigitId"":""32909"",""Description"":""Manufacture of other articles n.e.c.""}]"
24,GUJARAT,454,PANCH MAHALS,389001,26/03/2022,B.B.C. BRICKS,"0, B.B.C. BRICKS, CIVIL LINES ROAD, BAHARPURA, 0, GODHRA, GODHRA","[{""NIC5DigitId"":""08108"",""Description"":""Mining of clays (kaolin, ball clay, wollastonite, bentonite, fuller's earth, fire clay etc. )""}]"
24,GUJARAT,454,PANCH MAHALS,389001,17/08/2022,Hiteshkumar Ganeshlal Nai,"6/48+49, Jay Jalaram Nagar-2, Vavadi Bujarg, 6/48+49, B/H Shreeji Nagar, Godhra","[{""NIC5DigitId"":""96020"",""Description"":""Hairdressing and other beauty treatment""}]"
24,GUJARAT,454,PANCH MAHALS,389330,9/10/2022,Sai Beauty Care & Academy,"A2, Maruti Nandan Society, Nr REM School, A2, 2, Kalol","[{""NIC5DigitId"":""85491"",""Description"":""Academic tutoring services""},{""NIC5DigitId"":""96020"",""Description"":""Hairdressing and other beauty treatment""}]"
24,GUJARAT,454,PANCH MAHALS,389350,9/10/2022,EKANSH POULTRY FARM,"162/163, INDRAPRASTH RESIDENCY, GODHRA ROAD, 162/163, 162/163, HALOL","[{""NIC5DigitId"":""46203"",""Description"":""Wholesale of live animals and poultry""}]"
24,GUJARAT,454,PANCH MAHALS,389001,25/11/2022,HARISHCHANDRASINH SOLANKI,"Nava ghara, Bahi, Shehera, Nava ghara, Nava ghara, PANCHMAHALS","[{""NIC5DigitId"":""96098"",""Description"":""General household maintenance activities like grooming of the floor, dusting, cleaning of utensils etc.""}]"
24,GUJARAT,454,PANCH MAHALS,389011,7/10/2022,Vanzara Transport,"25, Ramdev Mandir Faliyu, Shahera, 25, Pasnal, Godhra","[{""NIC5DigitId"":""49232"",""Description"":""Non-motorised road freight transport""}]"
24,GUJARAT,454,PANCH MAHALS,389230,9/2/2021,SHEKH MAHEBUBHUSEN ABDULVHAB,"02, BEDA FALI, VASIYA DARWAJA, 02, 02, LUNAWADA","[{""NIC5DigitId"":""49223"",""Description"":""Rental of private cars with driver""}]"
