LG_ST_Code,State,LG_DT_Code,District,Pincode,RegistrationDate,EnterpriseName,CommunicationAddress,Activities
24,GUJARAT,455,PATAN,384151,6/7/2021,APANA HAIR DRESRS,"1, PRAJAPATI COMPLEX, DETHALI ROAD, 1, 0, SIDDHPUR","[{""NIC5DigitId"":""96020"",""Description"":""Hairdressing and other beauty treatment""}]"
24,GUJARAT,455,PATAN,384151,14/09/2021,SHREEE KRISHNA ELECTRONICS,"S-13, PRAMUKH PLAZA, S J ROAD, S-13, LAXMI MARKET, SIDHPUR","[{""NIC5DigitId"":""95221"",""Description"":""Repair and servicing of household appliances ( refrigerators, stoves, washing machines, clothes dryers, room air conditioners, etc. )""}]"
24,GUJARAT,455,PATAN,384265,27/05/2021,MELABHAI MATAMBHAI BHARVAD,"0, BHARVAD VAS, BHARVAD VAS, 0, 0, PATAN","[{""NIC5DigitId"":""49231"",""Description"":""Motorised road freight transport""}]"
24,GUJARAT,455,PATAN,384240,18/02/2021,M/S CHANDRIKABEN DAIRY FARM,"210/p1, DESAI VAS, HARIJ THARA ROAD, 210/p1, -, HARIJ","[{""NIC5DigitId"":""01620"",""Description"":""Support activities for animal production""}]"
24,GUJARAT,455,PATAN,384265,7/7/2021,SUPER SEWING MACHINE REPAIRING,"8/6/37, BUKADI, MODI NI SHERI, 8/6/37, 00, PATAN","[{""NIC5DigitId"":""33129"",""Description"":""Repair and maintenance of other special purpose machinery of division 28 (weighing equipment, vending machines, cash registers, photocopy machines, calculators, typewriters etc.)""}]"
24,GUJARAT,455,PATAN,384255,31/03/2021,AANART HORTICULTURE AGRO VENTURE,"32, UNCHADO PATEL VAS, CHANDRUMANA, 32, CHANDRUMANA, PATAN","[{""NIC5DigitId"":""32909"",""Description"":""Manufacture of other articles n.e.c.""},{""NIC5DigitId"":""10795"",""Description"":""Grinding and processing of spices""}]"
24,GUJARAT,455,PATAN,384265,23/12/2021,Devyani Jeshti Intellectual property Organisation,"22, Shyam villa, Chansma Highway Road, 22, 22, Patan","[{""NIC5DigitId"":""70200"",""Description"":""Management consultancy activities""}]"
24,GUJARAT,455,PATAN,384245,16/08/2022,MAHADEVBHAI GALALBHAI RABARI,"RABARIVAS, S/O GALALBHAI, UPALIYASARA, RABARIVAS, UPALIYASARA, PATAN","[{""NIC5DigitId"":""49231"",""Description"":""Motorised road freight transport""}]"
24,GUJARAT,455,PATAN,385340,7/2/2022,RAGHUVANSHI MOBILE,"00, OPP. SABJAIL, ., 00, ., .","[{""NIC5DigitId"":""46524"",""Description"":""Wholesale of telephone, mobile phone and communications equipment and parts""}]"
24,GUJARAT,455,PATAN,385360,27/07/2021,SHRI RANABHAI BHIKHABHAI AYAR,"18, AHIRVAS, BUS STOP ROAD, 18, NA, PATAN","[{""NIC5DigitId"":""77100"",""Description"":""Renting and leasing of motor vehicles""}]"
