LG_ST_Code,State,LG_DT_Code,District,Pincode,RegistrationDate,EnterpriseName,CommunicationAddress,Activities
24,GUJARAT,456,PORBANDAR,360575,17/11/2025,EKTABEN PARINBHAI GALORIYA,"plot no 46, limboch co opretive housing society, porbandar, plot no 46, opp rokadiya temple, porbandar","[{""NIC5DigitId"":""10209"",""Description"":""Production, processing and preservation of other fish products n.e.c.""}]"
24,GUJARAT,456,PORBANDAR,360575,17/11/2025,TAILORING BUSINESS,"SHREE RAM STREET, NEAR BHIMABHAI HOUSE, MARUTI NAGAR 4 STREET, SHREE RAM STREET, JANTA SOCIETY, PORBANDAR","[{""NIC5DigitId"":""95292"",""Description"":""Repair and alteration of clothing""}]"
24,GUJARAT,456,PORBANDAR,360579,17/11/2025,Kodiyatar Bharat,"Nagka, Nagka, Porbandar, Nagka, 01, Porbandar","[{""NIC5DigitId"":""49232"",""Description"":""Non-motorised road freight transport""}]"
24,GUJARAT,456,PORBANDAR,360575,13/11/2025,THE VILLA FAMILY SPA,"THE VILLA FAMILY SPA, ABOVE ASHAPURA, JALARAM COLONY NATIONAL HIGHWA, THE VILLA FAMILY SPA, PORBANDAR, PORBANDAR","[{""NIC5DigitId"":""96020"",""Description"":""Hairdressing and other beauty treatment""},{""NIC5DigitId"":""96095"",""Description"":""Activities of sauna and steam baths, massage salons etc.""}]"
24,GUJARAT,456,PORBANDAR,360575,13/11/2025,SILVER SAPPHIRE FOODS (INDIA) PRIVATE LIMITED,"BLOCK 5, KUBER NAGAR, CHHAYA, BLOCK 5, OPP MADHAVANI, PORBANDAR","[{""NIC5DigitId"":""10209"",""Description"":""Production, processing and preservation of other fish products n.e.c.""}]"
24,GUJARAT,456,PORBANDAR,360575,13/11/2025,GANDHI YOGESH RAMESHBHAI,"0, YOGESH GANDHI, NEAR MADICAL SHOP, 0, SHITALA CHOWK, PORBANDAR","[{""NIC5DigitId"":""47211"",""Description"":""Retail sale of cereals and pulses, tea, coffee, spices and flour""}]"
24,GUJARAT,456,PORBANDAR,360545,20/11/2025,TRUCK BUSINESS,"ADITPARA, -, -, ADITPARA, -, PORBANDAR","[{""NIC5DigitId"":""49219"",""Description"":""Other urban or suburban passenger transport n.e.c.""}]"
24,GUJARAT,456,PORBANDAR,362230,20/11/2025,ULVA GIGA RANABHAI,"bhuva keda, ULVA GIGA RANABHAI, bhuva keda, bhuva keda, bhuva keda, Porbandar","[{""NIC5DigitId"":""52219"",""Description"":""Other land transport services n.e.c""}]"
24,GUJARAT,456,PORBANDAR,360575,20/11/2025,BHARAT BATUK MAKVANA,"., BEHIND GHAS GODOWN, KHAPAT, ., MAFATIYA PARA, PORBANDAR","[{""NIC5DigitId"":""49232"",""Description"":""Non-motorised road freight transport""}]"
24,GUJARAT,456,PORBANDAR,360550,20/11/2025,ANMOL NASTA GRUH,"NEAR MUNDAMASJID, RANAVAV, -, NEAR MUNDAMASJID, -, PORBANDAR","[{""NIC5DigitId"":""47219"",""Description"":""Retail sale of other food products n.e.c.""}]"
24,GUJARAT,456,PORBANDAR,360575,4/10/2025,SUNIL SEA FOOD,"0, BANDAR AREA, SUBHASHNAGAR AREA, 0, TERMINAL GATE, PORBANDAR","[{""NIC5DigitId"":""10205"",""Description"":""Processing and canning of fish""},{""NIC5DigitId"":""10209"",""Description"":""Production, processing and preservation of other fish products n.e.c.""}]"
24,GUJARAT,456,PORBANDAR,360545,3/10/2025,ANIMAL HUSBANDRY BUSINESS,"OLD RABARI KEDO, ADITYANA, -, OLD RABARI KEDO, -, PORBANDAR","[{""NIC5DigitId"":""01493"",""Description"":""Raising of silk worms, production of silk worm cocoons""}]"
24,GUJARAT,456,PORBANDAR,362650,3/10/2025,FARMAKING AUTOMATION,"112, 2, Mahobatpara Saran Road, 112, 112, Mahobatpara","[{""NIC5DigitId"":""46539"",""Description"":""Wholesale of other agriculture machinery n.e.c.""}]"
24,GUJARAT,456,PORBANDAR,360575,3/10/2025,DEVRATN FISH,"OPP GMB WORK SHOP, LAKADI BANDAR, LAKADI BANDAR, OPP GMB WORK SHOP, LAKADI BANDAR, PORBANDAR","[{""NIC5DigitId"":""46303"",""Description"":""Wholesale of meat, fish & eggs""}]"
24,GUJARAT,456,PORBANDAR,360575,3/10/2025,BAROT ROHIT RAMESHBHAI,"N/A, N/A, SHITLA CHOWK, N/A, OPP MIRA PIR, PORBANDAR","[{""NIC5DigitId"":""20219"",""Description"":""Manufacture of other agrochemical products n.e.c.""},{""NIC5DigitId"":""01612"",""Description"":""Operation of agricultural irrigation equipment""}]"
24,GUJARAT,456,PORBANDAR,360575,11/9/2025,PRATAP CERAMIC,"., PRATAP CERAMIC, BIRLA ROAD, ., BEHIND BULLET SHOWROOM, PORBANDAR","[{""NIC5DigitId"":""47190"",""Description"":""Other retail sale in non-specialized stores""}]"
24,GUJARAT,456,PORBANDAR,360575,11/9/2025,RAVI DINESHCHANDRA JOSHI,"ASHOK, STREET NO 1, RAVALIYA PLOT, ASHOK, -, PORBANDAR","[{""NIC5DigitId"":""69202"",""Description"":""Tax consultancy""}]"
24,GUJARAT,456,PORBANDAR,362650,11/9/2025,Construction,"S/o jivabhai vankarv, Kutiyan, Porbandar Gujarat, S/o jivabhai vankarv, Gujarat, Kutiyan","[{""NIC5DigitId"":""08931"",""Description"":""Salt mining, quarrying, screening etc.""}]"
24,GUJARAT,456,PORBANDAR,360575,11/9/2025,MAHI FISH,"FISH MARKET, LATI BAZAR, PORBANDAR, FISH MARKET, PORBANDAR, PORBANDAR","[{""NIC5DigitId"":""46303"",""Description"":""Wholesale of meat, fish & eggs""}]"
24,GUJARAT,456,PORBANDAR,362650,11/9/2025,Lph,"1, Raju Modhavadiya, Main Road, 1, 1, Kutiyana","[{""NIC5DigitId"":""47230"",""Description"":""Retail sale of tobacco products in specialized stores""}]"
