LG_ST_Code,State,LG_DT_Code,District,Pincode,RegistrationDate,EnterpriseName,CommunicationAddress,Activities
24,GUJARAT,457,RAJKOT,360490,30/09/2022,SHRI BABUBHAI SAMATBHAI MODHAVADIYA,"JAWAHAR SOCIETY, STREET NO 1 PORBANDARROAD, UPLETA, JAWAHAR SOCIETY, UPLETA, UPLETA","[{""NIC5DigitId"":""49300"",""Description"":""Transport via pipeline""}]"
24,GUJARAT,457,RAJKOT,360002,30/09/2022,DIVYANSHI ENTERPRISE,"PLOT NO 84, RADHE SYAM SOCIETY STREET NO 2, KHOTHARIYA ROAD, PLOT NO 84, KISHAN GAU SHAKA MAIN ROAD, Rajkot","[{""NIC5DigitId"":""43900"",""Description"":""Other specialized construction activities""}]"
24,GUJARAT,457,RAJKOT,360001,18/10/2022,SATNAM STICH WORK,"304, MUDIT HIGHTS APPARTMENT, 150 FEET RING ROAD, 304, NEAR AYODHYA CHOWK, RAJKOT","[{""NIC5DigitId"":""13999"",""Description"":""Manufacture of other textiles\/textile products n.e.c.""}]"
24,GUJARAT,457,RAJKOT,360003,18/10/2022,ANIRUDDHSINH KHUMANSINH JADEJA,"-, -, BHAVNAGAR ROAD, -, SHIV DHARA KARKHANI NI BAHUMA, RAJKOT","[{""NIC5DigitId"":""56302"",""Description"":""Tea\/coffee shops""}]"
24,GUJARAT,457,RAJKOT,360490,22/02/2023,ALFA ENTERPRISE,"NIGAHE KARAM, KHAVJA NAGAR, MAIN ROAD, NIGAHE KARAM, UPLETA, RAJKOT","[{""NIC5DigitId"":""52211"",""Description"":""Car parking including motorcycle and bicycle parking""},{""NIC5DigitId"":""56210"",""Description"":""Event catering""},{""NIC5DigitId"":""93290"",""Description"":""Other amusement and recreation activities n.e.c.""},{""NIC5DigitId"":""37001"",""Description"":""The operation and maintenance of sewer systems""}]"
24,GUJARAT,457,RAJKOT,360024,22/11/2022,S & S ENGINEERS,"SURVEY NO.- 20, PLOT NO.- 1, SIDC MAIN ROAD, SURVEY NO.- 20, OPP-GUJARAT HOUSING BOARD, VERAVAL - SHAPAR","[{""NIC5DigitId"":""25999"",""Description"":""Manufacture of other fabricated metal products n.e.c.""}]"
24,GUJARAT,457,RAJKOT,363642,22/11/2022,LUXERO CERAMIC,"LUXERO CERAMIC, SHRI HARI CHAMBER, NH8A, LUXERO CERAMIC, SHOPNO.2, MORBI","[{""NIC5DigitId"":""47739"",""Description"":""Other retail sale of new goods in specialized stores n.e.c (weapons and ammunition, non food products)""}]"
24,GUJARAT,457,RAJKOT,360001,12/8/2022,AAI SHRI KHODIYAR DAIRY FARM,"STREET NO 3, AAI SHRI KHODIYAR DAIRY FARM, RAJKOT, STREET NO 3, 100 VARIYA PLOT, RAJKOT","[{""NIC5DigitId"":""56291"",""Description"":""Activities of food service contractors (e.g. for transportation companies)""}]"
24,GUJARAT,457,RAJKOT,360002,2/1/2023,ARJUN ENGINEERING,"ARJUN ENGINEERING, BAJARANG INDUSTRIAL AREA, SWATI MAIN ROAD, ARJUN ENGINEERING, KOTHARIYA, RAJKOT","[{""NIC5DigitId"":""82990"",""Description"":""Other business support service activities n.e.c.""}]"
24,GUJARAT,457,RAJKOT,360001,6/6/2022,Sakariya Sanjay Jesingbhai,"-, Gaytri Palace,Kailashwadi  Chowk, Junction Plot, -, Opp. collector Bunglow, Rajkot","[{""NIC5DigitId"":""10509"",""Description"":""Manufacture of other dairy products n.e.c.""}]"
24,GUJARAT,457,RAJKOT,360001,31/03/2022,SHREE ENTERPRISE,"JUNCTION PLOT, VINAYAK, JUNCTION PLOT, JUNCTION PLOT, OPPOSITE RAILWAY STATION, RAJKOT","[{""NIC5DigitId"":""25939"",""Description"":""Manufacture of general hardware (saws and sawblades, including circular sawbl ades and chainsaw blades, moulding boxes, vices, clamps etc.)""}]"
