LG_ST_Code,State,LG_DT_Code,District,Pincode,RegistrationDate,EnterpriseName,CommunicationAddress,Activities
24,GUJARAT,458,SABAR KANTHA,383220,22/12/2023,MR BRIX ENTERPRIZE,"12, ILOL, ILOL, 12, 12, HIMMATNAGAR","[{""NIC5DigitId"":""49212"",""Description"":""Urban or suburban tramways""}]"
24,GUJARAT,458,SABAR KANTHA,383255,21/03/2024,MILK BUSINESS,"00, BUS STEND SAME, PAROYA, 00, 00, KHEDBHRAMA","[{""NIC5DigitId"":""47990"",""Description"":""Other retail sale not in stores, stalls or markets""}]"
24,GUJARAT,458,SABAR KANTHA,383450,20/12/2023,SURESHBHAI AMRABHAI VAGHARI,"Zinzava, Zinzava, Zinzava, Zinzava, Zinzava, Idar","[{""NIC5DigitId"":""49232"",""Description"":""Non-motorised road freight transport""}]"
24,GUJARAT,458,SABAR KANTHA,383215,20/12/2023,Rathod Dilipsinh,"1, Madhavsinhnu fariyu, Madhavsinhnu fariyu, 1, 1, Prantij","[{""NIC5DigitId"":""96098"",""Description"":""General household maintenance activities like grooming of the floor, dusting, cleaning of utensils etc.""}]"
24,GUJARAT,458,SABAR KANTHA,383010,26/01/2024,RINKU HANDWORK AND FASHION ACCESSORIES,"00, KANIYOL, KANIYOL, 00, HIMMATNAGAR, KANIYOL","[{""NIC5DigitId"":""13991"",""Description"":""Embroidery work and making of laces and fringes""},{""NIC5DigitId"":""13992"",""Description"":""Zari work and other ornamental trimmings""},{""NIC5DigitId"":""14101"",""Description"":""Manufacture of all types of textile garments and clothing accessories""},{""NIC5DigitId"":""14105"",""Description"":""Custom tailoring""}]"
24,GUJARAT,458,SABAR KANTHA,383220,10/2/2022,M/S ALVI GRAVURE,"BLOCK SURVEY NO 2029, PLOT NO 4, ILOL ROAD, BLOCK SURVEY NO 2029, OLD BLOCK SURVEY NO 381/3, HIMATNAGAR","[{""NIC5DigitId"":""18129"",""Description"":""Other service activities related to printing n.e.c.""}]"
24,GUJARAT,458,SABAR KANTHA,383001,25/01/2024,M/S PARIMAL COAL CORPORATION,"U-52, AKASHGANGA COMPLEX, HIMATNAGAR, U-52, HIMATNAGAR, HIMATNAGAR","[{""NIC5DigitId"":""46909"",""Description"":""Other non-specialised wholesale trade n.e.c.""}]"
24,GUJARAT,458,SABAR KANTHA,383215,26/02/2024,MAHAVIR GROCERY AND PROVISION,"16, MARKET YARD, TALOD MODASA ROAD, 16, 16, TALOD","[{""NIC5DigitId"":""47219"",""Description"":""Retail sale of other food products n.e.c.""}]"
24,GUJARAT,458,SABAR KANTHA,383430,26/02/2024,DWARKESH AGRO,"GROUND FLOOR, SHOP NO - 4 CITI COMPLEX, IDAR ROAD, GROUND FLOOR, 04, IDAR","[{""NIC5DigitId"":""96098"",""Description"":""General household maintenance activities like grooming of the floor, dusting, cleaning of utensils etc.""}]"
24,GUJARAT,458,SABAR KANTHA,383001,24/01/2024,Rudra Tech,"223/3, PARBADA, RTO OFFICE, 223/3, POST SAVAGADH, HIMMATNAGAR","[{""NIC5DigitId"":""62020"",""Description"":""Computer consultancy and computer facilities management activities""}]"
24,GUJARAT,458,SABAR KANTHA,383240,25/01/2024,GANESH KIRANA,"Jagatpura, Jagatpura gam, Bhiloda Road, Jagatpura, Jagatpura, Himmatnagar","[{""NIC5DigitId"":""56103"",""Description"":""Ice cream mobile vendors, mobile food carts""}]"
24,GUJARAT,458,SABAR KANTHA,383315,25/01/2024,AGRI MILK,"82, CHAUHAN MAHOLLO, JUNA VADVASA, 82, JUNA VADVASA, MODASA","[{""NIC5DigitId"":""96030"",""Description"":""Funeral and related activities""}]"
24,GUJARAT,458,SABAR KANTHA,383001,26/02/2024,Khumansinh Store,"14, Hajipur, Hajipur, 14, 7, Himatnagar","[{""NIC5DigitId"":""10791"",""Description"":""Processing and blending of tea including manufacture of instant tea""}]"
24,GUJARAT,458,SABAR KANTHA,382010,3/11/2023,T & J GROUP,"482/P/1, Salal Grampanchayat, Pratij, 482/P/1, -, SABAR KANTHA","[{""NIC5DigitId"":""10801"",""Description"":""Manufacture of cattle feed""}]"
24,GUJARAT,458,SABAR KANTHA,383001,1/12/2023,DHARMENDRAKUMAR KANTILAL KADIA,"58, AKSHAR SOCIETY, 58 akshar society, motipura op, 58, 0, himatnagar","[{""NIC5DigitId"":""61103"",""Description"":""Activities of the cable operators""},{""NIC5DigitId"":""61104"",""Description"":""Activities of providing internet access by the operator of the wired infrastructure""},{""NIC5DigitId"":""61900"",""Description"":""Other telecommunications activities""}]"
24,GUJARAT,458,SABAR KANTHA,383001,1/12/2023,ARUNABEN DHARMENDRAKUMAR KADIYA,"58, akshar society, motipura op, 58 akshar society, motipura op, 58, 0, himatnagar","[{""NIC5DigitId"":""61103"",""Description"":""Activities of the cable operators""},{""NIC5DigitId"":""61104"",""Description"":""Activities of providing internet access by the operator of the wired infrastructure""}]"
24,GUJARAT,458,SABAR KANTHA,383205,3/1/2024,S.K.SHAH LAW LIBARY,"01, CIVIL COURT, PRANTIJ, 01, PRANTIJ, PRANTIJ","[{""NIC5DigitId"":""74909"",""Description"":""Other professional, scientific and technical activities n.e.c.""}]"
24,GUJARAT,458,SABAR KANTHA,383120,3/2/2024,ROSSETE- 925 SILVER JEWELLERY STORE,"934, BAZAR VISTAR, BAZAR VISTAR, 934, PRANTIJ, HIMATNAGAR","[{""NIC5DigitId"":""47733"",""Description"":""Retail sale of jewellery and immitation jewellery""}]"
24,GUJARAT,458,SABAR KANTHA,383220,3/2/2024,AJWAA ENTERPRISE,"01, KGN COMPLEX, OPP, MALIVADA GRAM PANCHAYAT, 01, 0, HIMATNAGAR","[{""NIC5DigitId"":""31009"",""Description"":""Manufacture of other furniture n.e.c.""}]"
24,GUJARAT,458,SABAR KANTHA,383220,3/1/2024,OD PRAKASHBHAI,"12, ILOL, ILOL, 12, 12, HIMMATNAGAR","[{""NIC5DigitId"":""70100"",""Description"":""Activities of head offices""}]"
