LG_ST_Code,State,LG_DT_Code,District,Pincode,RegistrationDate,EnterpriseName,CommunicationAddress,Activities
24,GUJARAT,459,SURAT,394325,17/01/2026,Vasantkumar natvarlal makwana,"407, Shree krishna homes, Ramnagar, 407, .., Surat","[{""NIC5DigitId"":""47890"",""Description"":""Retail sale via stalls and markets of other goods""}]"
24,GUJARAT,459,SURAT,395004,17/01/2026,Prajapati Holidays,"302, Krishna Complex, Ramjinagar, 302, 86, Surat","[{""NIC5DigitId"":""79110"",""Description"":""Travel agency activities""}]"
24,GUJARAT,459,SURAT,394540,17/01/2026,KARUNA TEXTILE,"PLOT NO: 154 TO 156, SUNRISE INTEGRATED TEXTILE PARK, SAYAN SUGAR ROAD, PLOT NO: 154 TO 156, -, Olpad","[{""NIC5DigitId"":""13122"",""Description"":""Weaving, manufacture of silk and silk mixture fabrics.""}]"
24,GUJARAT,459,SURAT,395006,17/01/2026,SHILPABEN JAYESHBHAI DHADUK,"57, NATIONAL PARK SOCIETY, VARACHHA ROAD, 57, ., SURAT","[{""NIC5DigitId"":""13991"",""Description"":""Embroidery work and making of laces and fringes""}]"
24,GUJARAT,459,SURAT,395006,17/01/2026,SHAY LUXE,"PLOT NO. 18 GF, RANG NAGAR SOC, VARACHHA ROAD, PLOT NO. 18 GF, -, SURAT","[{""NIC5DigitId"":""32111"",""Description"":""Manufacture of jewellery of gold, silver and other precious or base metal metal clad with precious metals or precious or semi-precious stones, or of combinations of precious metal and precious or semi-precious stones or of other materials""}]"
24,GUJARAT,459,SURAT,394101,27/12/2025,Zalhalaat Enterprise,"3 sunrise villa,, beside Nyalkaran party plot, sunrise villa street, 3 sunrise villa,, 3, Surat","[{""NIC5DigitId"":""47110"",""Description"":""Retail sale in non-specialized stores with food, beverages or tobacco predominating""}]"
24,GUJARAT,459,SURAT,394520,27/12/2025,HARIKRUSHN ENTERPRISE,"A-1003, SHATABDI HARITAGE, OUTER RING ROAD, A-1003, VARIYAV, SURAT","[{""NIC5DigitId"":""46492"",""Description"":""Wholesale of metal, porcelain and glass utensils; crockery and chinaware""}]"
24,GUJARAT,459,SURAT,394110,27/12/2025,KAKADIYA KAUSHIK HIMMATBHAI,"GF BLK 459 PL -5, HIGH -BOND INDUSTRIES, NH.48, GF BLK 459 PL -5, PIPODRA, SURAT","[{""NIC5DigitId"":""22201"",""Description"":""Manufacture of semi-finished of plastic proudcts (plastic plates, sheets,blocks,film,foil,strip etc.)""}]"
24,GUJARAT,459,SURAT,395010,27/12/2025,shree ganesh consaltancy,"105, MIDS SQURE, GODADARA ROAD, 105, 1, SURAT","[{""NIC5DigitId"":""33133"",""Description"":""Repair and maintenance of optical instruments and equipment of class 2670""}]"
24,GUJARAT,459,SURAT,395006,27/12/2025,JAY MAHAKALI FABRICATION,"GODOWN NO. 6, LAXMIKRUPA COMPOUND, VRAJ CHOWK, SARTHANA JAKATNAKA, GODOWN NO. 6, BEHIND SARTHANA POLICE STATION, SURAT","[{""NIC5DigitId"":""41001"",""Description"":""Construction of buildings carried out on own-account basis or on a fee or contract basis""}]"
