LG_ST_Code,State,LG_DT_Code,District,Pincode,RegistrationDate,EnterpriseName,CommunicationAddress,Activities
24,GUJARAT,460,SURENDRANAGAR,363510,5/3/2021,UPENDRASINH ANIRUDDHSINH PARMAR,"CHHATRIPA, AT : MULI, UPENDRASINH PARMAR, MULI, CHHATRIPA, AT : MULI, 1, MULI","[{""NIC5DigitId"":""49231"",""Description"":""Motorised road freight transport""}]"
24,GUJARAT,460,SURENDRANAGAR,363030,19/08/2021,VORA BROTHERS,"PLOT NO 2406/5, 4TH PHASE, WADHWAN, PLOT NO 2406/5, GIDC WADHWAN, SURENDRANAGAR","[{""NIC5DigitId"":""73200"",""Description"":""Market research and public opinion polling""}]"
24,GUJARAT,460,SURENDRANAGAR,363030,2/2/2021,Anand Tangaliya Art,"NA, NA, New Vankar Vas, NA, Wadhwan, Wadhwan","[{""NIC5DigitId"":""13121"",""Description"":""Weaving, manufacture of cotton and cotton mixture fabrics.""}]"
24,GUJARAT,460,SURENDRANAGAR,363530,30/09/2021,HARESHBHAI RATABHAI KHATANA,"1, 1, MAIN ROAD, 1, 1, THANGADH","[{""NIC5DigitId"":""52294"",""Description"":""Weighing of goods""}]"
24,GUJARAT,460,SURENDRANAGAR,363035,28/01/2021,VINAYAK MARKETING,"APMC MARKETING, BIG GODOWN 03, WADHWAN, APMC MARKETING, NEAR GIDC, Surendranagar","[{""NIC5DigitId"":""46909"",""Description"":""Other non-specialised wholesale trade n.e.c.""}]"
24,GUJARAT,460,SURENDRANAGAR,363310,22/09/2021,AGRICULTURE,"Dhranghdhra, 0, Main road, Dhranghdhra, 0, Dhranghdhra","[{""NIC5DigitId"":""74209"",""Description"":""Other photographic activities""}]"
24,GUJARAT,460,SURENDRANAGAR,363520,27/01/2021,MULTANI MUSTUFA RASULBHAI,"SHOP NO.6, NILKANTH COMPLEX, CHOTILA, SHOP NO.6, FIRST FLOOR, SURENDRA NAGAR","[{""NIC5DigitId"":""49231"",""Description"":""Motorised road freight transport""}]"
24,GUJARAT,460,SURENDRANAGAR,363310,21/09/2021,bhagvati provision store,"0, juna ghanshyamgadh, 0, 0, 0, surendranagar","[{""NIC5DigitId"":""47110"",""Description"":""Retail sale in non-specialized stores with food, beverages or tobacco predominating""}]"
24,GUJARAT,460,SURENDRANAGAR,382755,26/01/2021,ZALA NEPALSINH CHHATRUBHA,"01, RASANI PARTY, ZINZUWADA, 01, 01, ZINZUWADA","[{""NIC5DigitId"":""08932"",""Description"":""Salt production by evaporation of sea water or other saline waters""}]"
24,GUJARAT,460,SURENDRANAGAR,363030,11/12/2021,HARDIK NILESHBHAI PATADIYA,"2107, GIDC, GIDC, 2107, 2107, SURENDRANAGAR","[{""NIC5DigitId"":""24109"",""Description"":""Manufacture of other basic iron and steel n.e.c""}]"
24,GUJARAT,460,SURENDRANAGAR,382750,8/2/2022,Divan Imamsha,"At dasada, Rabarivas, Rabarivas, At dasada, Surendranagar, Surendranagar","[{""NIC5DigitId"":""49229"",""Description"":""Other non urban passenger land transport n.e.c.""}]"
24,GUJARAT,460,SURENDRANAGAR,363310,18/04/2021,KUNPARA MANSUKHBHAI GANDABHAI,"01, NIMAKNAGAR, NIMAKNAGAR, 01, 1, NIMAKNAGAR","[{""NIC5DigitId"":""08932"",""Description"":""Salt production by evaporation of sea water or other saline waters""}]"
24,GUJARAT,460,SURENDRANAGAR,363310,19/04/2021,SALT,"RANN, -, -, RANN, -, SURENDRANAGAR","[{""NIC5DigitId"":""08932"",""Description"":""Salt production by evaporation of sea water or other saline waters""}]"
24,GUJARAT,460,SURENDRANAGAR,382418,26/01/2021,SANKETKUMAR BHARATBHAI TRENTIYA,"B 303, RAGHVENDR AVENUE, VASTRAL ROAD MAHADEVNAGAR, B 303, B, AHMEDBAD","[{""NIC5DigitId"":""13999"",""Description"":""Manufacture of other textiles\/textile products n.e.c.""}]"
24,GUJARAT,460,SURENDRANAGAR,363035,13/06/2022,vijay enterprise dairy bekers and cake shop,"shop no 1, soni society, 80 feet road, shop no 1, -, surendranagar","[{""NIC5DigitId"":""47214"",""Description"":""Retail sale of bakery products, dairy products and eggs""}]"
24,GUJARAT,460,SURENDRANAGAR,363530,30/09/2021,DILIPBHAI PRABHUBHAI GHODAKIYA,"THANGADH, THANGADH, NAVAGAM ROAD, THANGADH, THANGADH, THANGADH","[{""NIC5DigitId"":""96098"",""Description"":""General household maintenance activities like grooming of the floor, dusting, cleaning of utensils etc.""}]"
24,GUJARAT,460,SURENDRANAGAR,363020,13/06/2022,SINDHABHAI KUKABHAI BHARAVAD,"ward 14, joravar nagar, bh railwaygate, ward 14, joravarnagara, surendranagar","[{""NIC5DigitId"":""49231"",""Description"":""Motorised road freight transport""}]"
24,GUJARAT,460,SURENDRANAGAR,363520,10/4/2022,SHRI MANSUKHBHAI SAVABHAI MAKWANA,"SHIV SHAKTI SOCIETY, KUMBHARA, NATIONAL HIGHWAY 8 KUMBHARA, SHIV SHAKTI SOCIETY, -, CHOTILA","[{""NIC5DigitId"":""88900"",""Description"":""Other social work activities without accommodation n.e.c.""}]"
24,GUJARAT,460,SURENDRANAGAR,382760,26/07/2021,M/S RAJNI CHEMFOOD INDUSTRIES,"Plot No 163, Rajni Chemfood Industries, Nr. Railway Station, Plot No 163, -, Kharagoda","[{""NIC5DigitId"":""10798"",""Description"":""Processing of salt into food-grade salt, e.g. iodized salt""},{""NIC5DigitId"":""46309"",""Description"":""Wholesale of other basic\/manufactured food stuffs n.e.c.""}]"
24,GUJARAT,460,SURENDRANAGAR,363001,6/2/2021,NIRAV DILIPKUMAR DAVE,"206, PAVAN PARISAR, GHAR HO TO AISA COMPOUND, OLD JUNCTION ROAD, 206, SURENDRANAGAR, SURENDRANAGAR","[{""NIC5DigitId"":""74901"",""Description"":""Business brokerage activities""}]"
24,GUJARAT,460,SURENDRANAGAR,363430,21/09/2021,JAY GOPAL STONE INDUSTRIES,"JUNA JASHAPAR ROAD, SAYLA, SAYLA, JUNA JASHAPAR ROAD, SAYLA, SURENDRANAGAR","[{""NIC5DigitId"":""08999"",""Description"":""Mining of laterite, diatomite and silicious fossil meals (e.g. diatomite); and other natural fluxes; natural asphalt or bitumen and other mining n.e.c.""}]"
24,GUJARAT,460,SURENDRANAGAR,363330,28/06/2022,ZALA OMDEVSINH HARPALSINH,"1, OMDEVSINH, GIRNARI NAGAR, 1, HALVAD, HALVAD","[{""NIC5DigitId"":""82990"",""Description"":""Other business support service activities n.e.c.""}]"
24,GUJARAT,460,SURENDRANAGAR,382765,20/10/2021,KHODIYAR GENERAL STORE,"1/12, Khodiyar General Store, Kamalpur, 1/12, a-3, Surendranagar","[{""NIC5DigitId"":""47110"",""Description"":""Retail sale in non-specialized stores with food, beverages or tobacco predominating""}]"
24,GUJARAT,460,SURENDRANAGAR,363035,25/02/2022,DIVINE WIRE INDUSTRIES,"SHED NO 27, DIVYABHOOMI DEVELOPER, R.S.NO.38, PLOT NO 12/3, GF, MULCHAND ROAD, SHED NO 27, WADHWAN, WADHWAN","[{""NIC5DigitId"":""24108"",""Description"":""Manufacture of wire of steel by cold drawing or stretching""}]"
24,GUJARAT,460,SURENDRANAGAR,382755,23/02/2022,SHRI KISHANBHAI JETHABHAI JEDANI,"410, ZEDANIVAS, NR,PRATHAMIK SCHOOL, 410, NA, SURENDRANAGAR","[{""NIC5DigitId"":""49300"",""Description"":""Transport via pipeline""}]"
24,GUJARAT,460,SURENDRANAGAR,363435,23/02/2022,ADHYA SHAKTI HINGLAJ AGRO,"Nr DARVAJA, Gundiyala, Gundiyala, Nr DARVAJA, Wadhwancity, Surendranagar","[{""NIC5DigitId"":""20219"",""Description"":""Manufacture of other agrochemical products n.e.c.""}]"
24,GUJARAT,460,SURENDRANAGAR,363330,28/06/2022,CHAMUNDA KIRANA STORE,"AT. SATAPAR, TAL. DHRANGADHRA, DIST. SURENDRANAGAR, AT. SATAPAR, ., SURENDRANAGAR","[{""NIC5DigitId"":""47219"",""Description"":""Retail sale of other food products n.e.c.""}]"
24,GUJARAT,460,SURENDRANAGAR,363020,27/12/2021,DABHI GHANSHYAMBHAI MANSUKHBHAI,"STREET NO.14, SANJIVANI SOCIETY, RATANPAR ROAD, STREET NO.14, 00, SURENDRANAGAR","[{""NIC5DigitId"":""96098"",""Description"":""General household maintenance activities like grooming of the floor, dusting, cleaning of utensils etc.""}]"
24,GUJARAT,460,SURENDRANAGAR,363421,20/06/2022,SHIV DIGITAL STUDIYO AND PRINTING PRESS,"10, BEHIND DHARTI HOTEL, UMIYA SOCIETY, Limbdi, 10, Limbdi, SURENDRANAGAR","[{""NIC5DigitId"":""88900"",""Description"":""Other social work activities without accommodation n.e.c.""}]"
24,GUJARAT,460,SURENDRANAGAR,363510,29/09/2021,VIKRAMBHAI KARSHANBHAI RABARI,"Main Bajar, Bhaduka, Bhaduka, Main Bajar, Surendranagar, Surendranagar","[{""NIC5DigitId"":""49231"",""Description"":""Motorised road freight transport""}]"
24,GUJARAT,460,SURENDRANAGAR,363110,15/04/2022,AMARSHIBHAI CHATURBHAI THAKOR,"1, 1, 1, 1, 1, SURENDRANAGAR","[{""NIC5DigitId"":""52294"",""Description"":""Weighing of goods""}]"
24,GUJARAT,460,SURENDRANAGAR,363520,22/03/2022,SHRI VISHAL RAMJIBHAI PARMAR,"0, RIDHISIDHI COMPLEX, KHANDI PLOT, 0, 0, CHOTILA","[{""NIC5DigitId"":""14101"",""Description"":""Manufacture of all types of textile garments and clothing accessories""}]"
24,GUJARAT,460,SURENDRANAGAR,382765,27/07/2022,Maheshbhai sadliya,"At upariyala, Near jain derasar, Jain derasar, At upariyala, Surendranagar, Surendranagar","[{""NIC5DigitId"":""49229"",""Description"":""Other non urban passenger land transport n.e.c.""}]"
24,GUJARAT,460,SURENDRANAGAR,363310,16/11/2021,Mohsin Poultry Farm,"., Prem Mandhir Town Ship, Railway Colony Backside, ., Prem Mandhir Town Ship, Dhrangadhra","[{""NIC5DigitId"":""75000"",""Description"":""Veterinary activities""}]"
