LG_ST_Code,State,LG_DT_Code,District,Pincode,RegistrationDate,EnterpriseName,CommunicationAddress,Activities
24,GUJARAT,641,TAPI,394650,31/01/2022,HARSIDHDHI BUILDERS,"247/248, SAINATH SOCIETY, NAVIVASAHAT, KANPURA, 247/248, 0, VYARA","[{""NIC5DigitId"":""49231"",""Description"":""Motorised road freight transport""},{""NIC5DigitId"":""42101"",""Description"":""Construction and maintenance of motorways, streets, roads, other vehicular and pedestrian ways, highways, bridges, tunnels and subways""}]"
24,GUJARAT,641,TAPI,394670,3/11/2023,M/S SHOURYA CORRECTIVE CARE SOLUTION (OPC) PRIVATE LIMITED,"Shop No. 127, Laxmi Mall, Bazaar Road, Nr. Vegetable Market, Bazzar Road, Shop No. 127, Shop No. 127, Songadh","[{""NIC5DigitId"":""45401"",""Description"":""Wholesale or retail sale of new motorcycles, mopeds, scooters and three wheelers""}]"
24,GUJARAT,641,TAPI,394655,29/11/2023,DD CONSULTANCY,"01, DAXIN FALIYU, POST DHAT, 01, VYARA, VYARA","[{""NIC5DigitId"":""74909"",""Description"":""Other professional, scientific and technical activities n.e.c.""}]"
24,GUJARAT,641,TAPI,394640,16/11/2023,CANTEEN DELIGHTS,"31-32, Aman Park, Valod, tapi, 31-32, TAPI, TAPI","[{""NIC5DigitId"":""56292"",""Description"":""Operation of canteens or (e.g. for factories, offices, hospitals or schools) on a concession basis""}]"
24,GUJARAT,641,TAPI,394370,10/6/2024,MAHAKALI TEA STOLE,"00, KHODADA, MAIN ROAD, 00, 00, KHODADA","[{""NIC5DigitId"":""56292"",""Description"":""Operation of canteens or (e.g. for factories, offices, hospitals or schools) on a concession basis""}]"
24,GUJARAT,641,TAPI,394160,9/6/2024,AQSANAAZ TRADERS,"00, MEMON VAD, MEMON VAD, 00, 0, SURAT","[{""NIC5DigitId"":""61900"",""Description"":""Other telecommunications activities""}]"
24,GUJARAT,641,TAPI,394375,9/1/2024,KESHAV CATTLE FEED,"877, AT BHADBHUNJA, POST BHADBHUNJA, 877, UCHCHHAL, TA UCHCHHAL","[{""NIC5DigitId"":""75000"",""Description"":""Veterinary activities""}]"
24,GUJARAT,641,TAPI,394650,29/03/2022,SAI RAM ALUMINIUM,"MUSA ROAD, OPP SARKARI LIBRARY, MUSA ROAD, MUSA ROAD, 1, VYARA","[{""NIC5DigitId"":""24202"",""Description"":""Manufacture of Aluminium from alumina and by other methods and products of aluminium and alloys""}]"
24,GUJARAT,641,TAPI,394680,25/03/2021,MARVIN INFOTECH & XEROX,"AT. NINDVADA, POST.BHATVADA, SONGADH MANDVI BY PASS ROAD, AT. NINDVADA, SONGADH, SONGADH","[{""NIC5DigitId"":""95111"",""Description"":""Repair and maintenance of computer and peripheral equipment""}]"
24,GUJARAT,641,TAPI,394650,20/01/2024,ROYAL BLUE HOLIDAYS,"401, MOTI COMPLEX, VYARA, 401, VYARA, VYARA","[{""NIC5DigitId"":""55101"",""Description"":""Hotels and Motels, inns, resorts providing short term lodging facilities; includes accommodation in house boats""},{""NIC5DigitId"":""79120"",""Description"":""Tour operator activities""}]"
24,GUJARAT,641,TAPI,394670,22/10/2023,HONEY AUTO GAREGA,"117, JK PEPAR LTD, CPM COLNLIY, 117, 117, SONGDHA","[{""NIC5DigitId"":""33150"",""Description"":""Repair of transport equipment, except motor vehicles""}]"
