LG_ST_Code,State,LG_DT_Code,District,Pincode,RegistrationDate,EnterpriseName,CommunicationAddress,Activities
24,GUJARAT,461,VADODARA,390007,24/04/2024,K N JWELLERS,"B 2  race course, Tower, Vadodara, B 2  race course, Vadodara, Vadodara","[{""NIC5DigitId"":""32111"",""Description"":""Manufacture of jewellery of gold, silver and other precious or base metal metal clad with precious metals or precious or semi-precious stones, or of combinations of precious metal and precious or semi-precious stones or of other materials""}]"
24,GUJARAT,461,VADODARA,391740,26/03/2024,SHRI NAGJIBHAI YERAM MIR,"2521/2, jay ranchhodbhai society near, dashrath, 2521/2, dashrath, vadodara","[{""NIC5DigitId"":""49232"",""Description"":""Non-motorised road freight transport""}]"
24,GUJARAT,461,VADODARA,390009,8/4/2024,PAVANPUTRA MEDICO,"GF SHOP NO 24, UMA VIDYALAYA NOVINO, UMA VIDYALAYA NOVINO, GF SHOP NO 24, 24, VADODARA","[{""NIC5DigitId"":""47721"",""Description"":""Retail sale of pharmaceuticals, medical and orthopaedic goods and toilet articles""}]"
24,GUJARAT,461,VADODARA,391243,24/04/2024,MAA ENTERPRISE,"GHAR NO 46, NIJANAND SOCIETY 2, NEAR VADSALA ROAD, GHAR NO 46, ITOLA, VADODARA","[{""NIC5DigitId"":""96092"",""Description"":""Pet care services such as boarding, grooming and training pets etc.""}]"
24,GUJARAT,461,VADODARA,391445,6/4/2024,KALIDAS MILK CENTER,"000, KHATRI FALIYU, SADHI, 000, 000, VADODARA","[{""NIC5DigitId"":""96093"",""Description"":""Shoe shiners, porters, valet car parkers etc.""}]"
24,GUJARAT,461,VADODARA,390013,6/4/2024,BHOOMI ENGINEERING,"4TH FLOOR D-401, AATMIYA HEIGHTS, MANEJA CROSSING, 4TH FLOOR D-401, MANEJA CROSSING, VADODARA","[{""NIC5DigitId"":""71100"",""Description"":""Architectural and engineering activities and related technical consultancy""},{""NIC5DigitId"":""25999"",""Description"":""Manufacture of other fabricated metal products n.e.c.""}]"
24,GUJARAT,461,VADODARA,390019,23/04/2024,Jalaram pan corner,"505 shreeji aura, Sephyaer school vagodia road, Vagodia road Vadodara, 505 shreeji aura, 05, Vadodara","[{""NIC5DigitId"":""56302"",""Description"":""Tea\/coffee shops""}]"
24,GUJARAT,461,VADODARA,391410,2/4/2024,pest control,"258, VANKARVAS, VADODARA, 258, AT POST BIL, VADODARA","[{""NIC5DigitId"":""87900"",""Description"":""Other residential care activities n.e.c.""}]"
24,GUJARAT,461,VADODARA,390018,29/03/2024,Shree Kuber Enterprise,"3, AMBICA CHAMBER, BAHUCHARAJI ROAD, 3, 0, VADODARA","[{""NIC5DigitId"":""17019"",""Description"":""Manufacture of other primary paper materials including composite paper and paper board n.e.c.""}]"
24,GUJARAT,461,VADODARA,391440,5/4/2024,SHREE GAYATRI ELECTRIC STORE,"0, KOTHI FALIYA, Sundaran Sweet Corner, 0, 0, VADODARA","[{""NIC5DigitId"":""47594"",""Description"":""Retail sale of refrigerators, washing machines and other electrical\/electronic household goods""}]"
24,GUJARAT,461,VADODARA,391770,27/03/2024,VANSHIKA SONOGRAPHY CENTRE,"302 THIRD FLOOR, ADHIK COMPLEX, OPP RELIENCE PETROL PUMP, 302 THIRD FLOOR, SAVLI, VADODARA","[{""NIC5DigitId"":""86100"",""Description"":""Hospital activities""}]"
24,GUJARAT,461,VADODARA,390005,8/4/2024,NATIONAL CONSTRUCTION,"2ND FLOOR, SAMANVAY SILICON, STATION ROAD, 2ND FLOOR, A-215, VADODARA","[{""NIC5DigitId"":""42909"",""Description"":""Other civil engineering projects n.e.c.""}]"
24,GUJARAT,461,VADODARA,391240,23/04/2024,SPS Rebar Cut And Bend,"AAA-4, SAI SARJAN SOCITY, JUNABAZAR, AAA-4, 4, VADODARA","[{""NIC5DigitId"":""33123"",""Description"":""Repair and maintenance of metal cutting and metal forming machine tools and accessories, power-driven hand-tools and other machine tools""}]"
