source_id,publisher,dataset_name,source_url,priority,expected_use,access_date,source_as_of_date,licence,How the data can be downloaded or extracted,fields_used,transformation,status,notes,Any issue or limitation
OGD_UDYAM_DISTRICT,Open Government Data Platform India,District-wise Total MSME Registered Enterprises under Udyam Registration,https://www.data.gov.in/resource/district-wise-total-msme-registered-enterprises-under-udyam-registration-till-last-date,primary,District totals and available geographic identifiers,30/07/2026,30/07/2026,Government Open Data License – India (GODL-India),"Direct download with CSV/JSON button on the resource page or needs a free API key from data.gov.in, added as api-key in the request.","state_name,state_id,district_name,lg_dt_code,medium,micro,small,total",,pending_validation,"Confirm downloadable format, columns, latest update date, Gujarat coverage and licence",NO
MSME_SMARTBOARD,Ministry of Micro Small and Medium Enterprises,MSME Performance Smartboard,https://dashboard.msme.gov.in/,primary,"State-level category, activity, gender, registration and employment context",,,,,,,pending_validation,Record the exact as-of date separately for every figure used,
MSME_UDYAM_STATEWISE,Ministry of Micro Small and Medium Enterprises,State Wise Udyam Registration,https://dashboard.msme.gov.in/Udyam_Statewise.aspx,primary,Gujarat state totals and reconciliation,,,,,,,pending_validation,Validate column definitions including Udyam and UAP totals,
MSME_ANNUAL_REPORT_2025_26,Ministry of Micro Small and Medium Enterprises,Annual Report 2025-26,https://www.msme.gov.in/static/uploads/2026/05/1bfda06b460e72543530b40817573495.pdf,secondary,"Definitions, policy context and dated national statistics",21/07/2026,21/07/2026,Government Open Data License – India (GODL-India),Direct download with pdf file ,"Financial Year, Budget Estimates, Actual Expenditure, Scheme Name, 
Beneficiaries, Grievances Received, Disposal Rate, State, 
Enterprise Type, Employment",,pending_validation,Use only clearly dated and relevant figures,NO
GUJARAT_RAMP_SIP,Ministry of Micro Small and Medium Enterprises,Gujarat RAMP Strategic Investment Plan,https://ramp.msme.gov.in/ramp/pdf-documents/sip-states/gujarat.pdf,secondary,Gujarat MSME context and limitations,,,,,,,pending_validation,Do not merge historical figures with newer live snapshots,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
