page_id,visual_id,canvas_width,canvas_height,x,y,width,height,z_order,visible
executive_overview,p1_total_card,1280,720,24,80,236,110,1,True
executive_overview,p1_micro_card,1280,720,270,80,180,110,2,True
executive_overview,p1_small_card,1280,720,460,80,180,110,3,True
executive_overview,p1_medium_card,1280,720,650,80,180,110,4,True
executive_overview,p1_district_count,1280,720,840,80,180,110,5,True
executive_overview,p1_top_district,1280,720,1030,80,226,110,6,True
executive_overview,p1_top10_chart,1280,720,24,210,820,486,7,True
executive_overview,p1_category_share,1280,720,864,210,392,486,8,True
district_comparison,p2_district_slicer,1280,720,24,80,260,90,1,True
district_comparison,p2_average_card,1280,720,304,80,300,90,2,True
district_comparison,p2_selected_share,1280,720,624,80,300,90,3,True
district_comparison,p2_rank_chart,1280,720,24,190,600,300,4,True
district_comparison,p2_contribution_chart,1280,720,644,190,612,300,5,True
district_comparison,p2_rank_table,1280,720,24,510,1232,186,6,True
category_analysis,p3_category_cards,1280,720,24,80,1232,100,1,True
category_analysis,p3_stacked_chart,1280,720,24,200,600,300,2,True
category_analysis,p3_medium_share,1280,720,644,200,612,300,3,True
category_analysis,p3_dominant_slicer,1280,720,24,520,300,176,4,True
category_analysis,p3_share_matrix,1280,720,344,520,912,176,5,True
data_availability,p4_source_status,1280,720,24,80,760,220,1,True
data_availability,p4_checksum,1280,720,804,80,452,220,2,True
data_availability,p4_activity_notice,1280,720,24,320,392,376,3,True
data_availability,p4_employment_notice,1280,720,436,320,392,376,4,True
data_availability,p4_interpretation_notice,1280,720,848,320,408,376,5,True
sources_methodology,p5_source_details,1280,720,24,80,600,220,1,True
sources_methodology,p5_bundle_details,1280,720,644,80,612,220,2,True
sources_methodology,p5_methodology,1280,720,24,320,392,376,3,True
sources_methodology,p5_field_dictionary,1280,720,436,320,500,376,4,True
sources_methodology,p5_governance,1280,720,956,320,300,376,5,True
