page_id,source_visual_id,target_visual_id,interaction,rationale
executive_overview,p1_top10_chart,p1_total_card,cross_highlight,Keep analytical visuals synchronized within the current report page.
executive_overview,p1_top10_chart,p1_micro_card,cross_highlight,Keep analytical visuals synchronized within the current report page.
executive_overview,p1_top10_chart,p1_small_card,cross_highlight,Keep analytical visuals synchronized within the current report page.
executive_overview,p1_top10_chart,p1_medium_card,cross_highlight,Keep analytical visuals synchronized within the current report page.
executive_overview,p1_top10_chart,p1_district_count,cross_highlight,Keep analytical visuals synchronized within the current report page.
executive_overview,p1_top10_chart,p1_top_district,cross_highlight,Keep analytical visuals synchronized within the current report page.
executive_overview,p1_top10_chart,p1_category_share,cross_highlight,Keep analytical visuals synchronized within the current report page.
executive_overview,p1_category_share,p1_total_card,cross_highlight,Keep analytical visuals synchronized within the current report page.
executive_overview,p1_category_share,p1_micro_card,cross_highlight,Keep analytical visuals synchronized within the current report page.
executive_overview,p1_category_share,p1_small_card,cross_highlight,Keep analytical visuals synchronized within the current report page.
executive_overview,p1_category_share,p1_medium_card,cross_highlight,Keep analytical visuals synchronized within the current report page.
executive_overview,p1_category_share,p1_district_count,cross_highlight,Keep analytical visuals synchronized within the current report page.
executive_overview,p1_category_share,p1_top_district,cross_highlight,Keep analytical visuals synchronized within the current report page.
executive_overview,p1_category_share,p1_top10_chart,cross_highlight,Keep analytical visuals synchronized within the current report page.
district_comparison,p2_district_slicer,p2_rank_chart,filter,Keep analytical visuals synchronized within the current report page.
district_comparison,p2_district_slicer,p2_contribution_chart,filter,Keep analytical visuals synchronized within the current report page.
district_comparison,p2_district_slicer,p2_rank_table,filter,Keep analytical visuals synchronized within the current report page.
district_comparison,p2_district_slicer,p2_average_card,filter,Keep analytical visuals synchronized within the current report page.
district_comparison,p2_district_slicer,p2_selected_share,filter,Keep analytical visuals synchronized within the current report page.
district_comparison,p2_rank_chart,p2_contribution_chart,cross_highlight,Keep analytical visuals synchronized within the current report page.
district_comparison,p2_rank_chart,p2_rank_table,cross_highlight,Keep analytical visuals synchronized within the current report page.
district_comparison,p2_rank_chart,p2_average_card,cross_highlight,Keep analytical visuals synchronized within the current report page.
district_comparison,p2_rank_chart,p2_selected_share,cross_highlight,Keep analytical visuals synchronized within the current report page.
district_comparison,p2_contribution_chart,p2_rank_chart,cross_highlight,Keep analytical visuals synchronized within the current report page.
district_comparison,p2_contribution_chart,p2_rank_table,cross_highlight,Keep analytical visuals synchronized within the current report page.
district_comparison,p2_contribution_chart,p2_average_card,cross_highlight,Keep analytical visuals synchronized within the current report page.
district_comparison,p2_contribution_chart,p2_selected_share,cross_highlight,Keep analytical visuals synchronized within the current report page.
district_comparison,p2_rank_table,p2_rank_chart,cross_highlight,Keep analytical visuals synchronized within the current report page.
district_comparison,p2_rank_table,p2_contribution_chart,cross_highlight,Keep analytical visuals synchronized within the current report page.
district_comparison,p2_rank_table,p2_average_card,cross_highlight,Keep analytical visuals synchronized within the current report page.
district_comparison,p2_rank_table,p2_selected_share,cross_highlight,Keep analytical visuals synchronized within the current report page.
category_analysis,p3_stacked_chart,p3_category_cards,cross_highlight,Keep analytical visuals synchronized within the current report page.
category_analysis,p3_stacked_chart,p3_share_matrix,cross_highlight,Keep analytical visuals synchronized within the current report page.
category_analysis,p3_stacked_chart,p3_medium_share,cross_highlight,Keep analytical visuals synchronized within the current report page.
category_analysis,p3_share_matrix,p3_category_cards,cross_highlight,Keep analytical visuals synchronized within the current report page.
category_analysis,p3_share_matrix,p3_stacked_chart,cross_highlight,Keep analytical visuals synchronized within the current report page.
category_analysis,p3_share_matrix,p3_medium_share,cross_highlight,Keep analytical visuals synchronized within the current report page.
category_analysis,p3_medium_share,p3_category_cards,cross_highlight,Keep analytical visuals synchronized within the current report page.
category_analysis,p3_medium_share,p3_stacked_chart,cross_highlight,Keep analytical visuals synchronized within the current report page.
category_analysis,p3_medium_share,p3_share_matrix,cross_highlight,Keep analytical visuals synchronized within the current report page.
category_analysis,p3_dominant_slicer,p3_category_cards,filter,Keep analytical visuals synchronized within the current report page.
category_analysis,p3_dominant_slicer,p3_stacked_chart,filter,Keep analytical visuals synchronized within the current report page.
category_analysis,p3_dominant_slicer,p3_share_matrix,filter,Keep analytical visuals synchronized within the current report page.
category_analysis,p3_dominant_slicer,p3_medium_share,filter,Keep analytical visuals synchronized within the current report page.
