ranking_group,ranking_position,state_name,state_id,district_name,lg_dt_code,medium,micro,small,total,district_rank_total,district_rank_total_ascending,micro_share_pct,small_share_pct,medium_share_pct,gujarat_total_share_pct,dominant_category,top_10_flag,bottom_10_flag
TOP,1,GUJARAT,24,AHMADABAD,438,1221,589495,13045,603761,1,33,97.6371,2.1606,0.2022,19.9375,MICRO,True,False
TOP,2,GUJARAT,24,SURAT,459,719,576838,11299,588856,2,32,97.9591,1.9188,0.1221,19.4453,MICRO,True,False
TOP,3,GUJARAT,24,RAJKOT,457,465,275078,5119,280662,3,31,98.0104,1.8239,0.1657,9.2681,MICRO,True,False
TOP,4,GUJARAT,24,VADODARA,461,279,219538,3211,223028,4,30,98.4352,1.4397,0.1251,7.3649,MICRO,True,False
TOP,5,GUJARAT,24,KACHCHH,449,199,111827,2535,114561,5,29,97.6135,2.2128,0.1737,3.7831,MICRO,True,False
TOP,6,GUJARAT,24,VALSAD,462,141,86624,1619,88384,6,28,98.0087,1.8318,0.1595,2.9186,MICRO,True,False
TOP,7,GUJARAT,24,BHAVNAGAR,443,92,86210,1334,87636,7,27,98.3728,1.5222,0.105,2.8939,MICRO,True,False
TOP,8,GUJARAT,24,BANAS KANTHA,441,59,79196,1073,80328,8,26,98.5908,1.3358,0.0734,2.6526,MICRO,True,False
TOP,9,GUJARAT,24,JAMNAGAR,447,98,74079,1433,75610,9,25,97.9751,1.8953,0.1296,2.4968,MICRO,True,False
TOP,10,GUJARAT,24,ANAND,440,36,74597,704,75337,10,24,99.0177,0.9345,0.0478,2.4878,MICRO,True,False
BOTTOM,1,GUJARAT,24,DANG,444,0,2392,12,2404,33,1,99.5008,0.4992,0.0,0.0794,MICRO,False,True
BOTTOM,2,GUJARAT,24,NARMADA,452,1,8543,52,8596,32,2,99.3834,0.6049,0.0116,0.2839,MICRO,False,True
BOTTOM,3,GUJARAT,24,CHHOTAUDEPUR,668,4,12021,87,12112,31,3,99.2487,0.7183,0.033,0.4,MICRO,False,True
BOTTOM,4,GUJARAT,24,TAPI,641,10,13560,145,13715,30,4,98.8699,1.0572,0.0729,0.4529,MICRO,False,True
BOTTOM,5,GUJARAT,24,MAHISAGAR,669,1,13984,55,14040,29,5,99.6011,0.3917,0.0071,0.4636,MICRO,False,True
BOTTOM,6,GUJARAT,24,BOTAD,676,16,17171,294,17481,28,6,98.2266,1.6818,0.0915,0.5773,MICRO,False,True
BOTTOM,7,GUJARAT,24,DEVBHOOMI DWARKA,674,8,17696,184,17888,27,7,98.9267,1.0286,0.0447,0.5907,MICRO,False,True
BOTTOM,8,GUJARAT,24,PORBANDAR,456,12,20152,247,20411,26,8,98.7311,1.2101,0.0588,0.674,MICRO,False,True
BOTTOM,9,GUJARAT,24,ARVALLI,672,3,21974,206,22183,25,9,99.0578,0.9286,0.0135,0.7325,MICRO,False,True
BOTTOM,10,GUJARAT,24,GIR SOMNATH,675,6,30935,348,31289,24,10,98.8686,1.1122,0.0192,1.0332,MICRO,False,True
