state_name,state_id,district_name,lg_dt_code,medium,micro,small,total
PUDUCHERRY,34,MAHE,600,2,725,27,754
PUDUCHERRY,34,PONDICHERRY,600,50,51144,533,51727
PUDUCHERRY,34,YANAM,600,4,797,22,823
RAJASTHAN,8,Anoopgarh,100,0,4145,10,4155
RAJASTHAN,8,GANGANAGAR,100,66,108399,824,109289
RAJASTHAN,8,Dudu,102,0,1245,4,1249
RAJASTHAN,8,JAIPUR,102,593,577400,7484,585477
RAJASTHAN,8,Jaipur Gramin,102,1,20425,47,20473
RAJASTHAN,8,JALORE,104,5,44185,235,44425
RAJASTHAN,8,Sanchor,104,0,1994,7,2001
RAJASTHAN,8,JODHPUR,107,118,191123,2359,193600
RAJASTHAN,8,Jodhpur Gramin,107,2,6153,19,6174
RAJASTHAN,8,Gangapurcity,113,0,2231,7,2238
RAJASTHAN,8,SAWAI MADHOPUR,113,3,35523,232,35758
RAJASTHAN,8,Neem Ka Thana,114,1,3436,12,3449
RAJASTHAN,8,SIKAR,114,18,126221,611,126850
RAJASTHAN,8,AJMER,86,73,152657,1373,154103
RAJASTHAN,8,Kekri,86,0,1724,4,1728
RAJASTHAN,8,BHILWARA,92,87,134872,1178,136137
RAJASTHAN,8,Shahpura,92,0,1387,2,1389
